Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.1503, 100300, $0.1855, $0.1855, $0.15
07/30/2020, $0.16, 35158, $0.145, $0.2185, $0.145
07/29/2020, $0.22, 40388, $0.13, $0.23, $0.13
07/28/2020, $0.21, 106586, $0.2386, $0.2398, $0.17
07/27/2020, $0.2, 78590, $0.27, $0.31, $0.1859
07/24/2020, $0.2701, 53082, $0.2201, $0.3, $0.22
07/23/2020, $0.23, 53236, $0.267, $0.268, $0.215
07/22/2020, $0.274, 11395, $0.28, $0.2999, $0.274
07/21/2020, $0.2886, 16500, $0.271, $0.3, $0.27
07/20/2020, $0.29, 36652, $0.3125, $0.3125, $0.25
07/17/2020, $0.27, 47705, $0.3, $0.3, $0.21
07/16/2020, $0.2901, 33377, $0.28, $0.3186, $0.28
07/15/2020, $0.2952, 82600, $0.328, $0.34, $0.29
07/14/2020, $0.325, 84470, $0.321, $0.38, $0.3
07/13/2020, $0.32, 145389, $0.4, $0.42, $0.32
07/10/2020, $0.38, 147124, $0.37, $0.38, $0.3275
07/09/2020, $0.36, 163887, $0.405, $0.405, $0.3
07/08/2020, $0.381, 178518, $0.478, $0.478, $0.33
07/07/2020, $0.4126, 422235, $0.6899, $0.6899, $0.3501
07/06/2020, $0.62, 1510331, $0.9159, $0.95, $0.5406
07/02/2020, $0.3, 134952, $0.33, $0.39, $0.28
07/01/2020, $0.2895, 57597, $0.37, $0.37, $0.28
06/30/2020, $0.3799, 232237, $0.251, $0.39, $0.25
06/29/2020, $0.25, 104504, $0.23, $0.26, $0.23
06/26/2020, $0.2099, 118151, $0.2002, $0.2499, $0.1821
06/25/2020, $0.217, 41708, $0.2101, $0.2455, $0.2
06/24/2020, $0.2151, 55686, $0.2101, $0.25, $0.21
06/23/2020, $0.27, 195079, $0.3499, $0.3499, $0.2201
06/22/2020, $0.3184, 70423, $0.38, $0.38, $0.28
06/19/2020, $0.3733, 233723, $0.3499, $0.375, $0.27
06/18/2020, $0.25, 263769, $0.5199, $0.5199, $0.2385
06/17/2020, $0.39, 972075, $0.44, $0.9248, $0.33
06/16/2020, $0.281, 621991, $0.175, $0.3119, $0.174
06/15/2020, $0.174, 161065, $0.121, $0.189, $0.1133
06/12/2020, $0.2, 20346, $0.27, $0.27, $0.12
06/11/2020, $0.25, 50254, $0.22, $0.25, $0.19
06/10/2020, $0.28, 56350, $0.17, $0.29, $0.17
06/09/2020, $0.16, 6466, $0.1415, $0.16, $0.1415
06/08/2020, $0.12, 33200, $0.089, $0.1319, $0.089
06/05/2020, $0.07, 780, $0.07, $0.07, $0.07
06/04/2020, $0.089, 630, $0.0889, $0.089, $0.0888
06/03/2020, $0.0889, 2290, $0.08, $0.0889, $0.08
06/02/2020, $0.0799, 20900, $0.08, $0.08, $0.0799
06/01/2020, $0.0799, 4000, $0.08, $0.08, $0.0799
05/29/2020, $0.06, N/A, $0.06, $0.06, $0.06
05/28/2020, $0.06, 3175, $0.06, $0.06, $0.06
05/27/2020, $0.0799, N/A, $0.0799, $0.0799, $0.0799
05/26/2020, $0.0799, N/A, $0.0799, $0.0799, $0.0799
05/22/2020, $0.0799, N/A, $0.0799, $0.0799, $0.0799
05/21/2020, $0.0799, 825, $0.08, $0.08, $0.0799
05/20/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/19/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/18/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/15/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/14/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/13/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/12/2020, $0.08, 10498, $0.06, $0.08, $0.06
05/11/2020, $0.05, N/A, $0.05, $0.05, $0.05
