Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.51, 329493, $3.7, $3.725, $3.43
07/30/2020, $3.64, 2201812, $3.62, $3.77, $3.5
07/29/2020, $3.62, 586902, $4.04, $4.06, $3.61
07/28/2020, $4.02, 197383, $4.03, $4.1, $3.95
07/27/2020, $4.05, 142591, $4.11, $4.18, $3.93
07/24/2020, $4.1, 183563, $3.95, $4.18, $3.89
07/23/2020, $4.02, 269655, $4.2, $4.32, $3.96
07/22/2020, $4.18, 316718, $3.97, $4.39, $3.95
07/21/2020, $3.94, 414527, $4.2, $4.2, $3.85
07/20/2020, $4.16, 148895, $4.14, $4.26, $4.13
07/17/2020, $4.12, 182350, $4.3, $4.35, $4.07
07/16/2020, $4.3, 463928, $4.2, $4.36, $4.05
07/15/2020, $4.27, 490419, $4.19, $4.29, $4.17
07/14/2020, $4.005, 205874, $3.89, $4.015, $3.85
07/13/2020, $3.89, 624629, $4.247, $4.29, $3.84
07/10/2020, $4.2, 877062, $3.78, $4.32, $3.78
07/09/2020, $3.85, 3904715, $3.68, $4.13, $3.67
07/08/2020, $3.56, 291532, $3.52, $3.61, $3.27
07/07/2020, $3.56, 1545180, $3.72, $3.8, $3.4
07/06/2020, $3.18, 1082652, $3.17, $3.26, $2.98
07/02/2020, $3.16, 412401, $3.42, $3.42, $2.94
07/01/2020, $3.41, 273639, $3.61, $3.64, $3.37
06/30/2020, $3.62, 191198, $3.84, $3.865, $3.45
06/29/2020, $3.84, 191027, $3.86, $3.91, $3.72
06/26/2020, $3.84, 184894, $3.74, $3.86, $3.6102
06/25/2020, $3.75, 215922, $3.75, $3.8235, $3.61
06/24/2020, $3.72, 305574, $3.53, $3.72, $3.39
06/23/2020, $3.56, 570669, $3.27, $3.57, $3.27
06/22/2020, $3.37, 127099, $3.44, $3.48, $3.29
06/19/2020, $3.43, 215462, $3.3, $3.45, $3.25
06/18/2020, $3.28, 159945, $3.24, $3.29, $3.13
06/17/2020, $3.24, 124917, $3.22, $3.3, $3.16
06/16/2020, $3.21, 226938, $3.09, $3.25, $3.03
06/15/2020, $2.92, 65833, $2.85, $2.99, $2.81
06/12/2020, $2.9, 116122, $3.05, $3.13, $2.83
06/11/2020, $3, 142584, $3.16, $3.1999, $2.85
06/10/2020, $3.3, 243670, $3.08, $3.32, $2.93
06/09/2020, $3.11, 95338, $3.07, $3.23, $3.05
06/08/2020, $3.14, 134768, $3.03, $3.16, $2.95
06/05/2020, $2.95, 101026, $2.98, $3.09, $2.8656
06/04/2020, $2.95, 317914, $2.71, $3.06, $2.6904
06/03/2020, $2.72, 57001, $2.73, $2.79, $2.65
06/02/2020, $2.76, 96406, $2.73, $2.88, $2.69
06/01/2020, $2.68, 211264, $2.7, $2.81, $2.5301
05/29/2020, $2.56, 95141, $2.63, $2.89, $2.53
05/28/2020, $2.61, 106491, $2.53, $2.63, $2.48
05/27/2020, $2.555, 71524, $2.47, $2.555, $2.36
05/26/2020, $2.46, 67044, $2.511, $2.57, $2.43
05/22/2020, $2.47, 33423, $2.49, $2.5, $2.36
05/21/2020, $2.44, 57591, $2.55, $2.55, $2.43
05/20/2020, $2.52, 104151, $2.5, $2.565, $2.3147
05/19/2020, $2.46, 38612, $2.49, $2.56, $2.42
05/18/2020, $2.47, 78378, $2.49, $2.59, $2.41
05/15/2020, $2.42, 29097, $2.34, $2.45, $2.29
05/14/2020, $2.35, 31686, $2.3899, $2.3899, $2.28
05/13/2020, $2.4, 106579, $2.48, $2.53, $2.25
05/12/2020, $2.43, 153425, $2.45, $2.64, $2.43
05/11/2020, $2.45, 75680, $2.47, $2.52, $2.415
