Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.77, 254265, $2.8, $2.8, $2.725
07/30/2020, $2.78, 153152, $2.8, $2.8, $2.7
07/29/2020, $2.81, 245604, $2.69, $2.81, $2.69
07/28/2020, $2.7, 183056, $2.72, $2.73, $2.68
07/27/2020, $2.71, 212927, $2.74, $2.74, $2.67
07/24/2020, $2.76, 194891, $2.77, $2.79, $2.7
07/23/2020, $2.75, 151464, $2.78, $2.79, $2.73
07/22/2020, $2.79, 262705, $2.78, $2.8, $2.71
07/21/2020, $2.76, 344440, $2.81, $2.83, $2.74
07/20/2020, $2.78, 190915, $2.81, $2.825, $2.75
07/17/2020, $2.81, 119811, $2.82, $2.84, $2.78
07/16/2020, $2.81, 266760, $2.88, $2.88, $2.77
07/15/2020, $2.9, 301578, $2.88, $2.94, $2.825
07/14/2020, $2.84, 135012, $2.82, $2.8534, $2.74
07/13/2020, $2.81, 417860, $2.89, $2.8999, $2.76
07/10/2020, $2.9, 208642, $2.83, $2.9, $2.82
07/09/2020, $2.82, 237575, $2.91, $2.9402, $2.75
07/08/2020, $2.92, 194527, $2.93, $2.96, $2.905
07/07/2020, $2.89, 170817, $2.95, $2.9581, $2.871
07/06/2020, $2.94, 347713, $2.98, $2.9899, $2.9
07/02/2020, $2.91, 171026, $2.93, $3, $2.91
07/01/2020, $2.91, 358252, $2.82, $2.95, $2.82
06/30/2020, $2.8, 384536, $2.8, $2.83, $2.73
06/29/2020, $2.74, 227916, $2.8, $2.82, $2.7
06/26/2020, $2.77, 265820, $2.77, $2.81, $2.73
06/25/2020, $2.77, 87779, $2.71, $2.79, $2.6957
06/24/2020, $2.72, 256911, $2.82, $2.831, $2.67
06/23/2020, $2.87, 221731, $2.9, $2.9075, $2.82
06/22/2020, $2.84, 617832, $2.75, $2.85, $2.68
06/19/2020, $2.695, 957778, $3.11, $3.14, $2.69
06/18/2020, $3.07, 388329, $3.14, $3.17, $3.01
06/17/2020, $3.14, 392879, $3.32, $3.35, $3.11
06/16/2020, $3.32, 222133, $3.39, $3.48, $3.31
06/15/2020, $3.3, 389957, $3.29, $3.45, $3.22
06/12/2020, $3.33, 453928, $3.28, $3.37, $3.08
06/11/2020, $3.21, 838628, $3.33, $3.35, $3.12
06/10/2020, $3.43, 552122, $3.54, $3.565, $3.27
06/09/2020, $3.56, 448038, $3.72, $3.74, $3.4501
06/08/2020, $3.71, 583950, $3.53, $3.71, $3.5
06/05/2020, $3.44, 463906, $3.5, $3.59, $3.39
06/04/2020, $3.33, 560784, $3.52, $3.54, $3.31
06/03/2020, $3.53, 466411, $3.42, $3.57, $3.41
06/02/2020, $3.32, 642298, $3.26, $3.44, $3.26
06/01/2020, $3.23, 506870, $3.01, $3.27, $3.01
05/29/2020, $2.98, 441802, $3.08, $3.14, $2.91
05/28/2020, $2.98, 828689, $2.99, $3.24, $2.9
05/27/2020, $2.99, 623339, $2.82, $3.015, $2.82
05/26/2020, $2.81, 517896, $2.71, $2.83, $2.6749
05/22/2020, $2.6, 179572, $2.59, $2.6269, $2.52
05/21/2020, $2.57, 272771, $2.48, $2.58, $2.46
05/20/2020, $2.44, 226593, $2.45, $2.5, $2.4143
05/19/2020, $2.4, 255379, $2.38, $2.45, $2.31
05/18/2020, $2.37, 342253, $2.31, $2.4, $2.26
05/15/2020, $2.25, 399217, $2.4, $2.43, $2.24
05/14/2020, $2.39, 251183, $2.38, $2.4519, $2.33
05/13/2020, $2.4, 320765, $2.55, $2.55, $2.38
05/12/2020, $2.61, 514636, $2.61, $2.6732, $2.58
05/11/2020, $2.6, 502322, $2.54, $2.65, $2.5
