Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.99, 704538, $2.01, $2.05, $1.91
07/30/2020, $2.03, 566016, $1.99, $2.05, $1.94
07/29/2020, $2.01, 588387, $2.04, $2.0541, $1.97
07/28/2020, $2.02, 410062, $2.07, $2.0899, $2.01
07/27/2020, $2.09, 519427, $2.08, $2.12, $2.01
07/24/2020, $2.06, 360647, $2.05, $2.08, $2
07/23/2020, $2.04, 383743, $2.12, $2.14, $2.02
07/22/2020, $2.11, 283700, $2.14, $2.16, $2.06
07/21/2020, $2.14, 543493, $2.17, $2.235, $2.12
07/20/2020, $2.16, 512492, $2.05, $2.17, $2.05
07/17/2020, $2.05, 475117, $2.04, $2.15, $2.04
07/16/2020, $2.04, 372341, $2.08, $2.09, $2.03
07/15/2020, $2.09, 402500, $2.09, $2.14, $2.06
07/14/2020, $2.09, 402071, $2.02, $2.09, $2
07/13/2020, $2.02, 915161, $2.06, $2.18, $2.01
07/10/2020, $2.03, 495966, $2.01, $2.06, $1.98
07/09/2020, $1.98, 720710, $2.1, $2.11, $1.97
07/08/2020, $2.1, 582557, $2.09, $2.11, $2.02
07/07/2020, $2.08, 1301733, $2.02, $2.17, $1.97
07/06/2020, $2.03, 685365, $2.04, $2.08, $1.98
07/02/2020, $2.05, 950649, $2.07, $2.09, $1.98
07/01/2020, $2.085, 278076, $2.09, $2.16, $2.06
06/30/2020, $2.11, 719815, $2.08, $2.1365, $2.03
06/29/2020, $2.11, 788380, $2.15, $2.2, $2.03
06/26/2020, $2.16, 4762723, $2.2, $2.28, $2.12
06/25/2020, $2.23, 953880, $2.34, $2.34, $2.17
06/24/2020, $2.34, 1088151, $2.3, $2.34, $2.13
06/23/2020, $2.31, 1519839, $2.25, $2.47, $2.25
06/22/2020, $2.25, 702355, $2.33, $2.345, $2.22
06/19/2020, $2.3, 1268943, $2.48, $2.5, $2.3
06/18/2020, $2.44, 947059, $2.36, $2.45, $2.295
06/17/2020, $2.39, 1569022, $2.2, $2.4075, $2.17
06/16/2020, $2.17, 1236650, $2.35, $2.38, $2.17
06/15/2020, $2.28, 2006808, $2.09, $2.3, $1.95
06/12/2020, $1.94, 805743, $2.02, $2.06, $1.92
06/11/2020, $1.96, 1225457, $1.94, $2.04, $1.9
06/10/2020, $2, 1362923, $2.15, $2.17, $1.945
06/09/2020, $2.13, 601202, $2.19, $2.25, $2.1
06/08/2020, $2.19, 1081841, $2.22, $2.26, $2.13
06/05/2020, $2.19, 690788, $2.08, $2.2, $2.07
06/04/2020, $2.09, 911919, $2.19, $2.215, $2.03
06/03/2020, $2.22, 1309333, $2.24, $2.3, $2.11
06/02/2020, $2.22, 1374473, $2.03, $2.25, $2.03
06/01/2020, $1.98, 1013887, $2, $2.13, $1.97
05/29/2020, $1.99, 1159108, $2, $2.07, $1.91
05/28/2020, $1.98, 1955448, $2.12, $2.14, $1.95
05/27/2020, $2.08, 1109550, $2.16, $2.18, $2.05
05/26/2020, $2.15, 1962174, $2.41, $2.415, $2.11
05/22/2020, $2.34, 1988419, $2.4, $2.48, $2.25
05/21/2020, $2.65, 1550156, $2.65, $2.82, $2.61
05/20/2020, $2.61, 1215787, $2.62, $2.67, $2.51
05/19/2020, $2.52, 1460137, $2.35, $2.58, $2.33
05/18/2020, $2.37, 612043, $2.31, $2.37, $2.23
05/15/2020, $2.27, 304285, $2.26, $2.28, $2.18
05/14/2020, $2.27, 406738, $2.22, $2.2899, $2.11
05/13/2020, $2.25, 1276659, $2.27, $2.27, $2.03
05/12/2020, $2.22, 856348, $2.34, $2.34, $2.2
05/11/2020, $2.34, 574721, $2.29, $2.35, $2.16
