Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.5, 795806, $3.62, $3.62, $3.41
07/30/2020, $3.66, 930852, $3.04, $3.71, $3.0203
07/29/2020, $3.07, 507870, $2.74, $3.16, $2.74
07/28/2020, $2.73, 125460, $2.71, $2.79, $2.6801
07/27/2020, $2.71, 240247, $2.79, $2.79, $2.66
07/24/2020, $2.76, 445667, $2.44, $2.79, $2.41
07/23/2020, $2.47, 725915, $2.64, $2.65, $2.41
07/22/2020, $2.6, 487689, $2.47, $2.645, $2.38
07/21/2020, $2.41, 462198, $2.31, $2.54, $2.3
07/20/2020, $2.18, 174090, $2.22, $2.27, $2.16
07/17/2020, $2.24, 116283, $2.19, $2.26, $2.1601
07/16/2020, $2.18, 110416, $2.23, $2.24, $2.1321
07/15/2020, $2.23, 354381, $2.16, $2.27, $2.1261
07/14/2020, $2.09, 246008, $2.08, $2.12, $2.02
07/13/2020, $2.08, 291832, $2.15, $2.1725, $2.06
07/10/2020, $2.12, 194424, $2.08, $2.16, $2.04
07/09/2020, $2.07, 415682, $2.14, $2.14, $2.035
07/08/2020, $2.14, 201947, $2.16, $2.1818, $2.12
07/07/2020, $2.15, 221502, $2.2, $2.2, $2.11
07/06/2020, $2.2, 230507, $2.25, $2.3, $2.1899
07/02/2020, $2.2, 319443, $2.2, $2.3058, $2.1599
07/01/2020, $2.14, 231176, $2.29, $2.39, $2.14
06/30/2020, $2.28, 201833, $2.36, $2.4, $2.26
06/29/2020, $2.36, 656223, $2.17, $2.42, $2.145
06/26/2020, $2.15, 2777134, $2.16, $2.19, $2
06/25/2020, $2.18, 914914, $2.18, $2.205, $2
06/24/2020, $2.21, 869056, $2.14, $2.24, $2.06
06/23/2020, $2.16, 1124809, $2.39, $2.4, $2.115
06/22/2020, $2.35, 439465, $2.37, $2.42, $2.27
06/19/2020, $2.38, 807779, $2.41, $2.47, $2.31
06/18/2020, $2.4, 343570, $2.4, $2.43, $2.315
06/17/2020, $2.42, 270677, $2.51, $2.5508, $2.4
06/16/2020, $2.5, 718898, $2.62, $2.74, $2.41
06/15/2020, $2.57, 591971, $2.53, $2.65, $2.41
06/12/2020, $2.62, 351879, $2.77, $2.77, $2.5101
06/11/2020, $2.44, 912729, $2.48, $2.715, $2.28
06/10/2020, $2.76, 542831, $2.99, $2.99, $2.75
06/09/2020, $3.04, 957497, $2.93, $3.14, $2.805
06/08/2020, $3.14, 955563, $3, $3.26, $2.97
06/05/2020, $2.89, 1148624, $3.12, $3.14, $2.85
06/04/2020, $2.85, 2057384, $2.55, $2.89, $2.51
06/03/2020, $2.28, 820019, $2.26, $2.45, $2.26
06/02/2020, $2.21, 401897, $2.06, $2.27, $2.06
06/01/2020, $2.07, 300068, $2.1, $2.15, $2.06
05/29/2020, $2.1, 404947, $2.1, $2.18, $2.05
05/28/2020, $2.12, 876805, $2.27, $2.45, $2.0601
05/27/2020, $2.3, 1532326, $1.8, $2.345, $1.79
05/26/2020, $1.78, 653528, $1.95, $1.9632, $1.78
05/22/2020, $1.82, 746007, $2, $2, $1.8
05/21/2020, $1.98, 407911, $2.03, $2.04, $1.96
05/20/2020, $2.04, 395838, $2.09, $2.13, $2.02
05/19/2020, $2.1, 534031, $2.29, $2.32, $2.06
05/18/2020, $2.24, 322314, $2.2, $2.25, $2.0962
05/15/2020, $2.05, 412159, $2.21, $2.21, $2.02
05/14/2020, $2.21, 343985, $2.2, $2.34, $2.1
05/13/2020, $2.25, 673655, $2.75, $2.79, $2.205
05/12/2020, $2.95, 316537, $3.02, $3.11, $2.91
05/11/2020, $2.99, 318857, $2.93, $3.13, $2.84
