Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.68, 31667, $2.71, $2.75, $2.6773
07/30/2020, $2.676, 15940, $2.58, $2.6768, $2.5602
07/29/2020, $2.62, 43553, $2.67, $2.7, $2.561
07/28/2020, $2.67, 81471, $2.565, $2.71, $2.4773
07/27/2020, $2.5, 49788, $2.54, $2.6, $2.46
07/24/2020, $2.46, 104630, $2.675, $2.7319, $2.43
07/23/2020, $2.5601, 45730, $2.55, $2.59, $2.51
07/22/2020, $2.6, 49759, $2.55, $2.62, $2.52
07/21/2020, $2.57, 108828, $2.61, $2.8, $2.54
07/20/2020, $2.66, 63507, $2.72, $2.72, $2.53
07/17/2020, $2.67, 34755, $2.52, $2.67, $2.466
07/16/2020, $2.57, 35511, $2.565, $2.65, $2.46
07/15/2020, $2.54, 81748, $2.76, $2.82, $2.53
07/14/2020, $2.65, 158613, $2.43, $2.735, $2.41
07/13/2020, $2.57, 93080, $2.69, $2.69, $2.43
07/10/2020, $2.58, 39608, $2.49, $2.84, $2.4899
07/09/2020, $2.51, 176402, $2.66, $2.75, $2.44
07/08/2020, $2.85, 601411, $2.26, $2.98, $2.26
07/07/2020, $2.26, 145846, $2.34, $2.37, $2.17
07/06/2020, $2.32, 44694, $2.37, $2.39, $2.22
07/02/2020, $2.36, 168933, $2.14, $2.48, $2.07
07/01/2020, $2.14, 19172, $2.12, $2.3, $2.12
06/30/2020, $2.1435, 40541, $2.2001, $2.39, $2.14
06/29/2020, $2.26, 80562, $2.15, $2.46, $2.15
06/26/2020, $2.23, 58034, $2.28, $2.4, $2.2
06/25/2020, $2.31, 87604, $2.2, $2.47, $2.2
06/24/2020, $2.2, 64433, $2.22, $2.25, $2.14
06/23/2020, $2.28, 93974, $2.21, $2.49, $2.1488
06/22/2020, $2.25, 82992, $2.29, $2.3734, $2.11
06/19/2020, $2.27, 120161, $2.2, $2.45, $2.18
06/18/2020, $2.18, 27850, $2.1593, $2.24, $2.1166
06/17/2020, $2.14, 117517, $2.63, $2.63, $1.98
06/16/2020, $2.53, 100334, $2.66, $2.78, $2.47
06/15/2020, $2.6, 20211, $2.6, $2.65, $2.57
06/12/2020, $2.67, 51618, $2.69, $2.7881, $2.67
06/11/2020, $2.64, 42977, $2.74, $2.7899, $2.57
06/10/2020, $2.66, 66374, $2.93, $2.93, $2.6006
06/09/2020, $2.9, 85248, $2.66, $2.99, $2.66
06/08/2020, $2.73, 55034, $2.69, $2.78, $2.55
06/05/2020, $2.58, 58620, $2.61, $2.67, $2.54
06/04/2020, $2.65, 17045, $2.69, $2.69, $2.56
06/03/2020, $2.68, 23831, $2.76, $2.8, $2.62
06/02/2020, $2.67, 28402, $2.66, $2.76, $2.65
06/01/2020, $2.7, 7575, $2.58, $2.705, $2.58
05/29/2020, $2.6, 79757, $2.67, $2.67, $2.53
05/28/2020, $2.67, 26961, $2.85, $2.92, $2.63
05/27/2020, $2.83, 115754, $2.63, $2.93, $2.63
05/26/2020, $2.65, 120841, $2.79, $2.79, $2.63
05/22/2020, $2.74, 65463, $2.62, $2.9, $2.62
05/21/2020, $2.675, 41975, $2.79, $2.85, $2.6489
05/20/2020, $2.8412, 71896, $2.8, $2.91, $2.69
05/19/2020, $2.87, 80703, $2.71, $2.9516, $2.585
05/18/2020, $2.69, 55748, $2.69, $2.73, $2.54
05/15/2020, $2.7, 14922, $2.83, $2.84, $2.627
05/14/2020, $2.8, 74201, $2.5225, $2.83, $2.5225
05/13/2020, $2.6, 29058, $2.57, $2.65, $2.5373
05/12/2020, $2.58, 54857, $2.7, $2.88, $2.54
05/11/2020, $2.67, 47834, $2.66, $2.85, $2.66
