Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.37, 41912, $4.3, $4.39, $4.2857
07/30/2020, $4.3, 121945, $4.3, $4.42, $4.23
07/29/2020, $4.44, 258586, $4.05, $4.58, $4.02
07/28/2020, $4.01, 15373, $4.07, $4.19, $3.95
07/27/2020, $4.11, 21006, $3.87, $4.14, $3.87
07/24/2020, $3.87, 21735, $3.91, $4.03, $3.84
07/23/2020, $3.94, 31540, $4.07, $4.07, $3.92
07/22/2020, $4.08, 34990, $4.13, $4.21, $4.03
07/21/2020, $4.14, 25540, $4.17, $4.2838, $4.12
07/20/2020, $4.17, 11891, $4.22, $4.25, $4.09
07/17/2020, $4.22, 51499, $4.28, $4.33, $4.19
07/16/2020, $4.3, 36472, $4.13, $4.33, $3.99
07/15/2020, $4.16, 57460, $4.01, $4.18, $4.01
07/14/2020, $3.96, 82552, $3.9, $4.04, $3.83
07/13/2020, $3.88, 39111, $4.09, $4.09, $3.85
07/10/2020, $4.09, 57123, $3.83, $4.11, $3.83
07/09/2020, $3.78, 67042, $3.81, $3.86, $3.72
07/08/2020, $3.83, 79574, $3.84, $3.9, $3.735
07/07/2020, $3.82, 117712, $4.21, $4.22, $3.7801
07/06/2020, $4.22, 73996, $4.24, $4.395, $4.18
07/02/2020, $4.29, 40083, $4.4, $4.46, $4.27
07/01/2020, $4.36, 208758, $4.23, $4.44, $4.16
06/30/2020, $4.23, 123475, $4.33, $4.4, $4.17
06/29/2020, $4.21, 240436, $4.98, $4.98, $4.2
06/26/2020, $4.87, 1362052, $5.49, $5.5, $4.87
06/25/2020, $5.59, 189228, $5.1, $5.61, $5.1
06/24/2020, $5.09, 92794, $4.94, $5.25, $4.87
06/23/2020, $4.9, 71868, $5.01, $5.05, $4.9
06/22/2020, $4.94, 87952, $5.325, $5.3418, $4.87
06/19/2020, $5.28, 96547, $5.47, $5.594, $5.24
06/18/2020, $5.47, 77179, $6, $6.11, $5.47
06/17/2020, $5.98, 64392, $5.86, $6.22, $5.81
06/16/2020, $5.84, 58001, $5.75, $5.87, $5.69
06/15/2020, $5.72, 44467, $5.48, $5.85, $5.42
06/12/2020, $5.65, 31023, $5.5201, $5.99, $5.5201
06/11/2020, $5.41, 47739, $5.87, $5.97, $5.31
06/10/2020, $5.96, 55349, $5.93, $6.1, $5.86
06/09/2020, $5.86, 80149, $5.74, $6, $5.46
06/08/2020, $5.77, 98549, $5.2, $5.83, $5.175
06/05/2020, $5.17, 118337, $5.21, $5.31, $5.1
06/04/2020, $5.16, 69659, $5.19, $5.2, $5.06
06/03/2020, $5.2, 63162, $5.21, $5.24, $5.07
06/02/2020, $5.18, 37207, $5.23, $5.39, $5.14
06/01/2020, $5.15, 37095, $5.13, $5.3, $5.11
05/29/2020, $5.12, 29466, $5.22, $5.2536, $5.12
05/28/2020, $5.26, 20793, $5.09, $5.5, $5.08
05/27/2020, $5.45, 83234, $5.45, $5.63, $5.39
05/26/2020, $5.44, 81836, $5.34, $5.51, $5.09
05/22/2020, $5.3, 61925, $5.11, $5.5, $5.09
05/21/2020, $5.13, 34560, $5, $5.23, $4.96
05/20/2020, $5.07, 47288, $4.97, $5.07, $4.77
05/19/2020, $5.01, 54343, $5.14, $5.27, $4.97
05/18/2020, $5.2, 33792, $5.21, $5.21, $5
05/15/2020, $5.12, 93228, $5.16, $5.4859, $4.98
05/14/2020, $5.12, 66414, $5.19, $5.23, $4.96
05/13/2020, $5.17, 74981, $5.4, $5.4, $4.87
05/12/2020, $5.48, 76760, $5.5, $5.7, $4.89
05/11/2020, $5.56, 93201, $5.57, $5.96, $5.47
