Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.18, 885330, $3.17, $3.2, $3.09
07/30/2020, $3.2, 1251735, $2.96, $3.21, $2.96
07/29/2020, $2.99, 556081, $3.01, $3.03, $2.96
07/28/2020, $3.01, 573696, $2.96, $3.02, $2.935
07/27/2020, $2.98, 675341, $2.95, $2.98, $2.8801
07/24/2020, $2.95, 628832, $3.05, $3.06, $2.94
07/23/2020, $3.07, 1596824, $3.04, $3.08, $2.9801
07/22/2020, $3.06, 805048, $3.07, $3.08, $2.98
07/21/2020, $3.05, 2096699, $3.06, $3.07, $3.01
07/20/2020, $3.06, 795202, $3, $3.06, $2.975
07/17/2020, $3.01, 1434882, $2.93, $3.01, $2.9
07/16/2020, $2.9, 494456, $2.9, $2.92, $2.86
07/15/2020, $2.9, 1145294, $2.82, $2.93, $2.81
07/14/2020, $2.765, 1487928, $2.7, $2.78, $2.68
07/13/2020, $2.71, 830633, $2.81, $2.81, $2.71
07/10/2020, $2.805, 474043, $2.83, $2.83, $2.755
07/09/2020, $2.83, 853230, $2.85, $2.855, $2.76
07/08/2020, $2.84, 839047, $2.9, $2.91, $2.82
07/07/2020, $2.875, 794661, $2.95, $2.96, $2.845
07/06/2020, $2.93, 1443619, $2.99, $2.99, $2.8
07/02/2020, $2.91, 729383, $3.03, $3.03, $2.89
07/01/2020, $2.98, 1286556, $2.93, $3.05, $2.91
06/30/2020, $2.91, 618333, $2.88, $2.92, $2.85
06/29/2020, $2.85, 1480242, $2.81, $2.93, $2.79
06/26/2020, $2.8, 1557722, $2.98, $3.02, $2.79
06/25/2020, $2.95, 1078641, $2.96, $2.99, $2.88
06/24/2020, $2.95, 1609862, $3, $3.02, $2.83
06/23/2020, $3.01, 1592556, $3.14, $3.14, $3
06/22/2020, $3.09, 1699914, $3.04, $3.13, $2.95
06/19/2020, $3.03, 5869221, $3.16, $3.19, $3.03
06/18/2020, $3.14, 625806, $3.2, $3.23, $3.11
06/17/2020, $3.23, 338113, $3.28, $3.31, $3.21
06/16/2020, $3.27, 484866, $3.31, $3.32, $3.22
06/15/2020, $3.24, 833605, $3.17, $3.26, $3.14
06/12/2020, $3.26, 907724, $3.29, $3.295, $3.11
06/11/2020, $3.2, 878295, $3.26, $3.34, $3.2
06/10/2020, $3.34, 802537, $3.25, $3.4, $3.24
06/09/2020, $3.25, 895533, $3.36, $3.4159, $3.23
06/08/2020, $3.4, 732482, $3.33, $3.43, $3.32
06/05/2020, $3.33, 794858, $3.4, $3.47, $3.28
06/04/2020, $3.32, 1195098, $3.15, $3.39, $3.15
06/03/2020, $3.19, 730342, $3.27, $3.27, $3.17
06/02/2020, $3.24, 388010, $3.25, $3.25, $3.15
06/01/2020, $3.23, 919227, $3.24, $3.3, $3.22
05/29/2020, $3.27, 839467, $3.27, $3.3, $3.19
05/28/2020, $3.28, 990477, $3.31, $3.365, $3.26
05/27/2020, $3.32, 958535, $3.33, $3.35, $3.22
05/26/2020, $3.325, 1127179, $3.41, $3.41, $3.27
05/22/2020, $3.31, 621687, $3.32, $3.33, $3.23
05/21/2020, $3.29, 1141500, $3.26, $3.325, $3.205
05/20/2020, $3.3, 811965, $3.2, $3.34, $3.17
05/19/2020, $3.17, 732153, $3.22, $3.27, $3.17
05/18/2020, $3.2, 890629, $3.24, $3.31, $3.115
05/15/2020, $3.18, 1183983, $3.09, $3.255, $3.085
05/14/2020, $3.15, 1785380, $3, $3.15, $2.81
05/13/2020, $3, 2047192, $2.9828, $3.0216, $2.8558
05/12/2020, $3.0086, 1203589, $3.1293, $3.1724, $3.0086
05/11/2020, $3.1293, 903791, $2.931, $3.1552, $2.931
