Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.3, 14912, $1.29, $1.36, $1.2766
07/30/2020, $1.29, 15521, $1.27, $1.38, $1.26
07/29/2020, $1.3, 5966, $1.37, $1.37, $1.3
07/28/2020, $1.37, 7853, $1.3, $1.38, $1.2901
07/27/2020, $1.3657, 23046, $1.3, $1.39, $1.25
07/24/2020, $1.31, 11674, $1.4274, $1.4274, $1.3
07/23/2020, $1.38, 22936, $1.46, $1.4699, $1.312
07/22/2020, $1.41, 19121, $1.4, $1.4702, $1.33
07/21/2020, $1.42, 52088, $1.54, $1.55, $1.39
07/20/2020, $1.48, 10937, $1.58, $1.58, $1.4401
07/17/2020, $1.6, 27409, $1.51, $1.69, $1.51
07/16/2020, $1.47, 43751, $1.61, $1.6288, $1.39
07/15/2020, $1.73, 106490, $1.3, $1.73, $1.3
07/14/2020, $1.35, 20830, $1.33, $1.38, $1.29
07/13/2020, $1.26, 35988, $1.42, $1.42, $1.26
07/10/2020, $1.36, 36921, $1.453, $1.46, $1.32
07/09/2020, $1.35, 8164, $1.49, $1.4967, $1.35
07/08/2020, $1.45, 43099, $1.65, $1.65, $1.41
07/07/2020, $1.55, 10498, $1.49, $1.57, $1.46
07/06/2020, $1.5279, 23865, $1.58, $1.58, $1.45
07/02/2020, $1.49, 18380, $1.59, $1.68, $1.49
07/01/2020, $1.59, 17653, $1.72, $1.72, $1.57
06/30/2020, $1.63, 18376, $1.78, $1.78, $1.6298
06/29/2020, $1.61, 40243, $1.69, $1.72, $1.54
06/26/2020, $1.71, 35846, $1.78, $1.78, $1.62
06/25/2020, $1.79, 30457, $1.61, $1.84, $1.61
06/24/2020, $1.6, 86448, $1.72, $1.96, $1.6
06/23/2020, $1.72, 72553, $1.85, $1.88, $1.7
06/22/2020, $1.88, 162487, $1.67, $1.93, $1.59
06/19/2020, $1.69, 167397, $1.86, $1.8734, $1.65
06/18/2020, $1.89, 2389434, $1.76, $2.81, $1.58
06/17/2020, $1.5, 268384, $1.3499, $1.8017, $1.2501
06/16/2020, $1.2836, 77793, $1.3, $1.31, $1.21
06/15/2020, $1.25, 50287, $1.26, $1.31, $1.2
06/12/2020, $1.29, 159265, $1.75, $1.76, $1.21
06/11/2020, $1.65, 347127, $1.42, $2.04, $1.32
06/10/2020, $2.1, 2723482, $1.13, $2.61, $1.1
06/09/2020, $1.0844, 69556, $0.979, $1.16, $0.9545
06/08/2020, $0.945, 9332, $0.9765, $0.98, $0.93
06/05/2020, $0.93, 17140, $0.977, $0.98, $0.93
06/04/2020, $0.93, 2109, $0.9308, $0.9773, $0.93
06/03/2020, $0.95, 3598, $0.9201, $1.02, $0.9201
06/02/2020, $0.9299, 1492, $0.9975, $0.9975, $0.9299
06/01/2020, $0.95, 10862, $0.9401, $1.03, $0.9401
05/29/2020, $0.9893, 2220, $1.02, $1.02, $0.942
05/28/2020, $1.03, 15499, $1.03, $1.03, $0.9434
05/27/2020, $1.03, 2064, $1.03, $1.03, $0.9201
05/26/2020, $1.03, 126548, $0.8873, $1.03, $0.8873
05/22/2020, $0.86, 19029, $0.9046, $0.9599, $0.8201
05/21/2020, $0.9045, 9511, $0.9201, $0.9401, $0.8617
05/20/2020, $0.99, 149129, $0.9798, $1.25, $0.8971
05/19/2020, $0.9, 3741, $0.9, $0.945, $0.9
05/18/2020, $0.85, 3191, $0.804, $0.85, $0.804
05/15/2020, $0.85, 7623, $0.8514, $0.9884, $0.85
05/14/2020, $0.9, 20363, $0.9347, $0.9435, $0.8501
05/13/2020, $0.9999, 2788, $0.97, $1, $0.94
05/12/2020, $0.97, 5241, $0.972, $0.98, $0.92
05/11/2020, $0.931, 10292, $0.967, $0.9799, $0.911
