Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.82, 64301, $0.8032, $0.84, $0.792
07/30/2020, $0.8046, 54073, $0.81, $0.83, $0.7972
07/29/2020, $0.81, 51907, $0.8, $0.827, $0.799
07/28/2020, $0.81, 36676, $0.8, $0.84, $0.78
07/27/2020, $0.8249, 251448, $0.8683, $0.8683, $0.76
07/24/2020, $0.8347, 116977, $0.83, $0.84, $0.75
07/23/2020, $0.8029, 100141, $0.8085, $0.8299, $0.78
07/22/2020, $0.8299, 141675, $0.85, $0.85, $0.7602
07/21/2020, $0.81, 224141, $0.78, $0.84, $0.7436
07/20/2020, $0.78, 202479, $0.767, $0.79, $0.73
07/17/2020, $0.7279, 764170, $0.73, $0.73, $0.6878
07/16/2020, $0.7298, 124586, $0.73, $0.768, $0.69
07/15/2020, $0.7323, 198879, $0.73, $0.745, $0.71
07/14/2020, $0.7284, 254641, $0.724, $0.7477, $0.7
07/13/2020, $0.724, 314350, $0.7622, $0.798, $0.7058
07/10/2020, $0.78, 246695, $0.791, $0.813, $0.76
07/09/2020, $0.808, 19866, $0.8093, $0.81, $0.7881
07/08/2020, $0.8003, 74354, $0.8308, $0.89, $0.7901
07/07/2020, $0.8021, 24921, $0.8282, $0.848, $0.8011
07/06/2020, $0.8505, 108505, $0.84, $0.9, $0.8166
07/02/2020, $0.8439, 195675, $0.77, $0.898, $0.77
07/01/2020, $0.8, 114640, $0.833, $0.898, $0.79
06/30/2020, $0.8375, 51826, $0.9082, $0.91, $0.8243
06/29/2020, $0.865, 126116, $0.755, $0.8858, $0.755
06/26/2020, $0.7702, 218673, $0.9009, $0.9009, $0.77
06/25/2020, $0.82, 70833, $0.88, $0.93, $0.82
06/24/2020, $0.8801, 217033, $0.9316, $1, $0.88
06/23/2020, $0.92, 126357, $0.912, $0.99, $0.89
06/22/2020, $0.89, 68576, $0.8524, $0.946, $0.8524
06/19/2020, $0.8879, 35195, $0.9598, $0.9598, $0.86
06/18/2020, $0.901, 124860, $0.94, $1.1, $0.901
06/17/2020, $0.93, 54259, $0.943, $1.05, $0.93
06/16/2020, $0.942, 57803, $1.01, $1.06, $0.942
06/15/2020, $0.9608, 44357, $1.02, $1.07, $0.95
06/12/2020, $1.04, 52158, $0.972, $1.13, $0.95
06/11/2020, $0.962, 96906, $1.07, $1.08, $0.9198
06/10/2020, $1.085, 165647, $1.11, $1.13, $1.01
06/09/2020, $1.13, 129444, $1.16, $1.2199, $1.05
06/08/2020, $1.155, 281113, $0.91, $1.23, $0.91
06/05/2020, $0.91, 90576, $0.87, $0.92, $0.85
06/04/2020, $0.8528, 56535, $0.8411, $0.8528, $0.82
06/03/2020, $0.82, 98977, $0.83, $0.8417, $0.796
06/02/2020, $0.8131, 91429, $0.84, $0.84, $0.7901
06/01/2020, $0.7969, 67761, $0.7507, $0.8, $0.75
05/29/2020, $0.77, 120282, $0.79, $0.8, $0.75
05/28/2020, $0.7775, 49919, $0.79, $0.819, $0.7775
05/27/2020, $0.78, 45252, $0.8, $0.8099, $0.78
05/26/2020, $0.79, 101262, $0.8085, $0.8623, $0.79
05/22/2020, $0.77, 132789, $0.82, $0.8799, $0.75
05/21/2020, $0.81, 111078, $0.87, $0.88, $0.81
05/20/2020, $0.87, 58816, $0.85, $0.88, $0.8259
05/19/2020, $0.8498, 31387, $0.7603, $0.85, $0.7603
05/18/2020, $0.8452, 70488, $0.764, $0.88, $0.764
05/15/2020, $0.77, 26968, $0.8009, $0.82, $0.7601
05/14/2020, $0.77, 23177, $0.78, $0.78, $0.75
05/13/2020, $0.7885, 41191, $0.8715, $0.9069, $0.7554
05/12/2020, $0.83, 138930, $0.9433, $0.9699, $0.83
05/11/2020, $0.922, 121435, $0.98, $0.99, $0.8999
