Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.7341, 293, $4.7341, $4.7341, $4.7341
07/30/2020, $4.8, 3918, $4.74, $4.8, $4.737
07/29/2020, $4.77, 2362, $4.82, $4.82, $4.75
07/28/2020, $4.82, 1512, $4.82, $4.82, $4.82
07/27/2020, $4.8899, 12752, $4.9, $5.06, $4.71
07/24/2020, $4.715, 10528, $4.85, $4.9433, $4.7
07/23/2020, $5.0984, 1220, $5.0369, $5.0984, $5.0369
07/22/2020, $4.83, 242, $4.83, $4.83, $4.83
07/21/2020, $5.0806, 11059, $4.8101, $5.0806, $4.71
07/20/2020, $4.9899, 2257, $4.94, $4.9899, $4.61
07/17/2020, $5.055, 3134, $4.926, $5.055, $4.9
07/16/2020, $5.07, 1113, $5.1489, $5.1489, $5.07
07/15/2020, $5.015, 1870, $5.24, $5.24, $4.7901
07/14/2020, $4.75, 1091, $5.28, $5.28, $4.75
07/13/2020, $4.805, 3534, $5.044, $5.044, $4.63
07/10/2020, $4.53, 8524, $4.63, $4.7, $4.5038
07/09/2020, $4.75, 760, $4.725, $4.75, $4.725
07/08/2020, $4.8868, N/A, $4.8868, $4.8868, $4.8868
07/07/2020, $4.8868, 7775, $4.93, $4.99, $4.8
07/06/2020, $4.9046, 2319, $4.862, $4.9525, $4.862
07/02/2020, $4.81, 3921, $4.96, $5.007, $4.81
07/01/2020, $4.8999, 9385, $5, $5, $4.8001
06/30/2020, $4.9693, 2081, $5.06, $5.06, $4.9693
06/29/2020, $4.97, 9186, $5.27, $5.2701, $4.935
06/26/2020, $4.9351, N/A, $4.9351, $4.9351, $4.9351
06/25/2020, $4.9351, 118, $4.9351, $4.9351, $4.9351
06/24/2020, $4.965, 7394, $4.8001, $5.15, $4.8001
06/23/2020, $5.16, 2101, $5, $5.21, $4.8
06/22/2020, $5.17, 5148, $5.025, $5.17, $4.8
06/19/2020, $5.14, 13074, $4.93, $5.14, $4.8
06/18/2020, $5.22, 692, $5.2899, $5.2899, $5.22
06/17/2020, $5.04, 4781, $4.93, $5.04, $4.8
06/16/2020, $4.93, 2725, $5.23, $5.23, $4.8
06/15/2020, $5.3, 1912, $5.3265, $5.3265, $5.3
06/12/2020, $5.39, 1975, $5.67, $5.9699, $5.38
06/11/2020, $5.19, 4845, $5.01, $5.21, $5
06/10/2020, $5.11, 1382, $5.199, $5.2, $5.11
06/09/2020, $5.25, 2433, $5.11, $5.2527, $5.11
06/08/2020, $5.35, 4951, $5, $5.35, $5
06/05/2020, $5.145, 4460, $5.14, $5.15, $5
06/04/2020, $5, 3279, $5.118, $5.14, $5
06/03/2020, $5.05, 120, $5.05, $5.05, $5.05
06/02/2020, $5.1349, N/A, $5.1349, $5.1349, $5.1349
06/01/2020, $5.1349, 5579, $4.8001, $5.1349, $4.8001
05/29/2020, $4.8, 9386, $4.99, $4.99, $4.8
05/28/2020, $4.975, 2878, $4.963, $4.975, $4.963
05/27/2020, $4.97, 6241, $4.82, $4.97, $4.8
05/26/2020, $4.97, 2406, $4.8, $4.97, $4.8
05/22/2020, $4.8, 1254, $4.8, $4.8, $4.8
05/21/2020, $4.81, 1614, $4.81, $5, $4.8
05/20/2020, $5.14, 1552, $5.08, $5.33, $4.8
05/19/2020, $4.4, N/A, $4.4, $4.4, $4.4
05/18/2020, $4.4, 1415, $4.35, $4.4001, $4.35
05/15/2020, $4.36, 7073, $4.38, $4.8, $4.35
05/14/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/13/2020, $4.5, 422, $4.5, $4.5, $4.5
05/12/2020, $4.48, 1450, $4.46, $4.48, $4.46
05/11/2020, $4.4, 4841, $4.3257, $4.5, $4.3257
