Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.57, 439106, $2.78, $2.78, $2.56
07/30/2020, $2.76, 553409, $2.64, $2.8, $2.6
07/29/2020, $2.68, 367981, $2.87, $2.87, $2.6
07/28/2020, $2.86, 243158, $2.78, $2.905, $2.76
07/27/2020, $2.78, 493168, $2.95, $3.0201, $2.75
07/24/2020, $2.92, 232222, $2.97, $3.02, $2.92
07/23/2020, $2.95, 367868, $3.02, $3.185, $2.95
07/22/2020, $3, 291938, $2.96, $3.02, $2.92
07/21/2020, $2.96, 2910327, $2.98, $3.128, $2.9
07/20/2020, $3.28, 172681, $3.23, $3.34, $3.23
07/17/2020, $3.23, 224988, $3.49, $3.5, $3.22
07/16/2020, $3.51, 427634, $3.21, $3.52, $3.1573
07/15/2020, $3.22, 546510, $3.01, $3.3102, $2.9881
07/14/2020, $2.93, 485465, $2.93, $2.98, $2.83
07/13/2020, $2.94, 282523, $3.1, $3.1101, $2.925
07/10/2020, $3.06, 340273, $2.91, $3.14, $2.9
07/09/2020, $2.91, 265233, $3.11, $3.1325, $2.9
07/08/2020, $3.06, 503256, $3.32, $3.34, $3.01
07/07/2020, $3.32, 592127, $3.22, $3.36, $3.12
07/06/2020, $3.23, 599524, $3.1, $3.24, $2.95
07/02/2020, $3.06, 192829, $3.15, $3.257, $3.05
07/01/2020, $3.11, 244571, $3.1, $3.17, $3.02
06/30/2020, $3.1, 351212, $3.18, $3.2276, $3.05
06/29/2020, $3.19, 322966, $3.21, $3.29, $3.1
06/26/2020, $3.18, 1021645, $3.29, $3.32, $3.065
06/25/2020, $3.29, 227976, $3.19, $3.33, $3.1774
06/24/2020, $3.22, 240079, $3.25, $3.38, $3.16
06/23/2020, $3.27, 345315, $3.4, $3.49, $3.22
06/22/2020, $3.37, 260942, $3.26, $3.37, $3.13
06/19/2020, $3.29, 661676, $3.33, $3.33, $3.13
06/18/2020, $3.3, 441263, $3.02, $3.32, $3.01
06/17/2020, $3.02, 326451, $3.23, $3.28, $2.95
06/16/2020, $3.21, 297786, $3.1, $3.22, $3.03
06/15/2020, $3.08, 196075, $2.93, $3.1501, $2.93
06/12/2020, $3.04, 271266, $3.04, $3.11, $2.94
06/11/2020, $2.92, 465049, $3.09, $3.25, $2.89
06/10/2020, $3.25, 164787, $3.4, $3.42, $3.23
06/09/2020, $3.4, 276437, $3.25, $3.49, $3.25
06/08/2020, $3.27, 380331, $3.4, $3.44, $3.25
06/05/2020, $3.34, 311760, $3.41, $3.5, $3.31
06/04/2020, $3.3, 490055, $3.43, $3.5, $3.17
06/03/2020, $3.48, 238508, $3.48, $3.59, $3.38
06/02/2020, $3.45, 514785, $3.54, $3.54, $3.29
06/01/2020, $3.48, 573917, $3.56, $3.59, $3.295
05/29/2020, $3.6, 615882, $3.18, $3.6389, $3.15
05/28/2020, $3.22, 512081, $3.46, $3.53, $3.19
05/27/2020, $3.4, 448198, $3.34, $3.42, $3.12
05/26/2020, $3.3, 474776, $3.19, $3.33, $3.065
05/22/2020, $3.07, 180020, $3.15, $3.15, $3.02
05/21/2020, $3.12, 256150, $3.08, $3.18, $2.99
05/20/2020, $3.05, 353161, $2.89, $3.086, $2.83
05/19/2020, $2.81, 230197, $2.96, $3.01, $2.79
05/18/2020, $2.98, 498535, $2.86, $3.03, $2.7937
05/15/2020, $2.72, 202539, $2.79, $2.82, $2.71
05/14/2020, $2.79, 326353, $2.76, $2.94, $2.67
05/13/2020, $2.87, 540035, $2.94, $3.095, $2.68
05/12/2020, $2.98, 629410, $3.25, $3.25, $2.98
05/11/2020, $3.18, 745934, $2.88, $3.24, $2.77
