Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.21, 195122, $1.26, $1.26, $1.19
07/30/2020, $1.26, 691766, $1.27, $1.29, $1.18
07/29/2020, $1.27, 204708, $1.26, $1.3097, $1.26
07/28/2020, $1.26, 180449, $1.3, $1.3, $1.23
07/27/2020, $1.26, 397245, $1.31, $1.35, $1.26
07/24/2020, $1.3, 151703, $1.3, $1.3165, $1.281
07/23/2020, $1.31, 460762, $1.3, $1.3571, $1.28
07/22/2020, $1.33, 817779, $1.32, $1.43, $1.26
07/21/2020, $1.33, 194147, $1.34, $1.35, $1.3174
07/20/2020, $1.34, 193307, $1.32, $1.36, $1.32
07/17/2020, $1.34, 539216, $1.35, $1.39, $1.3
07/16/2020, $1.35, 869821, $1.35, $1.43, $1.33
07/15/2020, $1.365, 1011834, $1.3, $1.39, $1.3
07/14/2020, $1.3, 217175, $1.35, $1.37, $1.25
07/13/2020, $1.37, 300897, $1.38, $1.38, $1.33
07/10/2020, $1.39, 1378317, $1.33, $1.441, $1.3
07/09/2020, $1.33, 92135, $1.35, $1.38, $1.31
07/08/2020, $1.34, 145004, $1.32, $1.379, $1.3
07/07/2020, $1.33, 161573, $1.39, $1.4, $1.32
07/06/2020, $1.4, 234465, $1.32, $1.41, $1.32
07/02/2020, $1.31, 135621, $1.35, $1.365, $1.28
07/01/2020, $1.35, 102351, $1.32, $1.39, $1.317
06/30/2020, $1.3, 390453, $1.43, $1.4715, $1.3
06/29/2020, $1.43, 202131, $1.45, $1.4799, $1.42
06/26/2020, $1.46, 217267, $1.5, $1.54, $1.45
06/25/2020, $1.52, 214798, $1.55, $1.55, $1.5
06/24/2020, $1.54, 298528, $1.52, $1.58, $1.51
06/23/2020, $1.56, 615031, $1.59, $1.65, $1.52
06/22/2020, $1.63, 287497, $1.67, $1.69, $1.62
06/19/2020, $1.7, 1269015, $1.72, $1.74, $1.6
06/18/2020, $1.72, 4067874, $1.61, $1.9699, $1.52
06/17/2020, $1.55, 974397, $1.57, $1.65, $1.49
06/16/2020, $1.67, 2912703, $1.53, $1.77, $1.47
06/15/2020, $1.49, 512936, $1.46, $1.55, $1.42
06/12/2020, $1.5, 2973554, $1.55, $1.9, $1.46
06/11/2020, $1.44, 1091097, $1.56, $1.56, $1.3901
06/10/2020, $1.55, 1103302, $1.48, $1.65, $1.45
06/09/2020, $1.465, 100544, $1.5, $1.5199, $1.4101
06/08/2020, $1.5, 171723, $1.47, $1.52, $1.36
06/05/2020, $1.48, 135403, $1.5, $1.51, $1.4627
06/04/2020, $1.5, 146073, $1.52, $1.54, $1.48
06/03/2020, $1.5297, 105913, $1.55, $1.57, $1.51
06/02/2020, $1.5, 79776, $1.57, $1.59, $1.48
06/01/2020, $1.57, 96825, $1.52, $1.59, $1.51
05/29/2020, $1.51, 155247, $1.61, $1.615, $1.45
05/28/2020, $1.6297, 257829, $1.71, $1.71, $1.6
05/27/2020, $1.71, 606495, $1.68, $2.09, $1.6701
05/26/2020, $1.6997, 107541, $1.78, $1.78, $1.69
05/22/2020, $1.69, 116065, $1.75, $1.76, $1.67
05/21/2020, $1.76, 105269, $1.71, $1.787, $1.7
05/20/2020, $1.75, 262813, $1.88, $1.9, $1.7141
05/19/2020, $1.86, 171750, $1.92, $1.97, $1.85
05/18/2020, $1.92, 165927, $1.99, $2.0719, $1.915
05/15/2020, $1.98, 372008, $2.02, $2.06, $1.8601
05/14/2020, $2.05, 424239, $2.24, $2.25, $2
05/13/2020, $2.25, 1371542, $2.3, $2.5, $2.01
05/12/2020, $1.87, 1010029, $1.79, $2.09, $1.7799
05/11/2020, $1.77, 116190, $1.71, $1.79, $1.7
