Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.63, 360722, $3.7, $3.76, $3.54
07/30/2020, $3.75, 299185, $3.7, $3.78, $3.6
07/29/2020, $3.75, 439942, $3.75, $3.84, $3.66
07/28/2020, $3.76, 433682, $3.66, $3.81, $3.62
07/27/2020, $3.69, 452477, $3.53, $3.71, $3.49
07/24/2020, $3.56, 441761, $3.52, $3.57, $3.49
07/23/2020, $3.53, 459852, $3.6, $3.605, $3.49
07/22/2020, $3.65, 258369, $3.62, $3.68, $3.57
07/21/2020, $3.62, 448121, $3.54, $3.69, $3.5
07/20/2020, $3.51, 508861, $3.64, $3.73, $3.49
07/17/2020, $3.67, 308059, $3.78, $3.82, $3.6
07/16/2020, $3.79, 285200, $3.75, $3.84, $3.65
07/15/2020, $3.8, 606495, $3.59, $3.82, $3.56
07/14/2020, $3.5, 477658, $3.36, $3.56, $3.36
07/13/2020, $3.45, 939204, $3.52, $3.59, $3.4
07/10/2020, $3.51, 669015, $3.47, $3.59, $3.41
07/09/2020, $3.5, 819532, $3.51, $3.56, $3.38
07/08/2020, $3.51, 1288136, $3.47, $3.535, $3.31
07/07/2020, $3.485, 821884, $3.58, $3.6, $3.44
07/06/2020, $3.61, 991091, $3.53, $3.68, $3.49
07/02/2020, $3.52, 802005, $3.66, $3.85, $3.5
07/01/2020, $3.66, 658034, $3.62, $3.79, $3.5
06/30/2020, $3.62, 1218131, $3.62, $3.67, $3.49
06/29/2020, $3.65, 1137880, $3.45, $3.67, $3.45
06/26/2020, $3.51, 1483714, $3.48, $3.53, $3.27
06/25/2020, $3.51, 1039245, $3.46, $3.595, $3.37
06/24/2020, $3.51, 925210, $3.71, $3.7156, $3.46
06/23/2020, $3.79, 661212, $3.64, $3.83, $3.5301
06/22/2020, $3.63, 854369, $3.6, $3.67, $3.42
06/19/2020, $3.62, 787736, $3.79, $3.83, $3.51
06/18/2020, $3.75, 898594, $3.55, $3.88, $3.5
06/17/2020, $3.52, 669195, $3.56, $3.71, $3.46
06/16/2020, $3.58, 1274501, $3.99, $4.04, $3.56
06/15/2020, $3.67, 3853931, $3.6, $4.06, $3.46
06/12/2020, $3.8, 1272000, $3.71, $3.81, $3.55
06/11/2020, $3.36, 2806329, $2.83, $3.3854, $2.81
06/10/2020, $3.65, 1262728, $3.96, $3.9723, $3.44
06/09/2020, $3.91, 1176297, $4.1, $4.11, $3.8
06/08/2020, $4.25, 2270587, $4.05, $4.29, $4
06/05/2020, $3.675, 6022272, $4.45, $4.46, $3.61
06/04/2020, $4.02, 2892554, $3.73, $4.15, $3.51
06/03/2020, $3.6, 1924825, $3.52, $3.65, $3.365
06/02/2020, $3.45, 12999040, $2.95, $3.74, $2.9014
06/01/2020, $2.82, 1119961, $2.62, $2.995, $2.5897
05/29/2020, $2.61, 913475, $2.62, $2.66, $2.465
05/28/2020, $2.67, 1195851, $2.85, $2.85, $2.55
05/27/2020, $2.79, 1351385, $2.91, $2.94, $2.6101
05/26/2020, $2.8, 1610539, $2.85, $2.88, $2.7
05/22/2020, $2.64, 676507, $2.64, $2.66, $2.4401
05/21/2020, $2.62, 1986224, $2.71, $2.71, $2.47
05/20/2020, $2.65, 935404, $2.58, $2.73, $2.56
05/19/2020, $2.52, 1613684, $2.63, $2.65, $2.425
05/18/2020, $2.61, 890815, $2.49, $2.62, $2.41
05/15/2020, $2.37, 723132, $2.23, $2.455, $2.16
05/14/2020, $2.23, 847102, $2.1, $2.3, $2.095
05/13/2020, $2.14, 799351, $2.31, $2.34, $2.1
05/12/2020, $2.29, 2419113, $2.1, $2.72, $2.03
05/11/2020, $2.1, 846203, $2.07, $2.11, $1.99
