Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.61, 9550, $4.87, $4.87, $4.61
07/30/2020, $4.92, 41670, $4.55, $4.95, $4.52
07/29/2020, $4.54, 29020, $4.71, $4.8699, $4.51
07/28/2020, $4.65, 25989, $4.695, $4.8439, $4.6
07/27/2020, $4.64, 49682, $4.79, $4.98, $4.52
07/24/2020, $4.9, 13476, $4.95, $5.0184, $4.8315
07/23/2020, $4.94, 8799, $4.97, $5.1, $4.94
07/22/2020, $5.02, 51627, $5.1, $5.1857, $4.96
07/21/2020, $5.09, 13850, $5.05, $5.1999, $5.045
07/20/2020, $5.02, 15663, $5.15, $5.16, $5.02
07/17/2020, $5.17, 17525, $5.17, $5.25, $5.07
07/16/2020, $5.18, 19077, $5.17, $5.25, $5.06
07/15/2020, $5.2073, 22151, $4.88, $5.26, $4.88
07/14/2020, $4.89, 19109, $5.24, $5.24, $4.89
07/13/2020, $5.2, 15770, $5.23, $5.23, $5.1
07/10/2020, $5.219, 20229, $5.3, $5.4199, $5.185
07/09/2020, $5.3, 20736, $5.32, $5.4372, $5.14
07/08/2020, $5.305, 10789, $5.381, $5.4, $5.21
07/07/2020, $5.34, 51959, $5.5, $5.5, $5.12
07/06/2020, $5.5, 18579, $5.75, $5.79, $5.36
07/02/2020, $5.79, 28030, $6.094, $6.15, $5.7
07/01/2020, $6.05, 108442, $5.52, $6.35, $5.52
06/30/2020, $5.55, 37085, $5.38, $5.62, $5.38
06/29/2020, $5.42, 21206, $5.69, $5.69, $5.34
06/26/2020, $5.65, 20054, $5.36, $5.65, $5.21
06/25/2020, $5.35, 9378, $5.39, $5.45, $5.35
06/24/2020, $5.4, 15012, $5.48, $5.5, $5.35
06/23/2020, $5.49, 9846, $5.43, $5.49, $5.34
06/22/2020, $5.39, 20077, $5.45, $5.5204, $5.3064
06/19/2020, $5.48, 20317, $5.41, $5.49, $5.3
06/18/2020, $5.54, 15387, $5.51, $5.72, $5.3
06/17/2020, $5.51, 8022, $5.7499, $5.7499, $5.42
06/16/2020, $5.58, 18835, $5.43, $5.655, $5.4
06/15/2020, $5.4, 19636, $5.6, $5.6, $5.3899
06/12/2020, $5.605, 19444, $5.8399, $5.8399, $5.53
06/11/2020, $5.475, 22108, $5.82, $5.82, $5.345
06/10/2020, $5.84, 21341, $5.945, $5.99, $5.8301
06/09/2020, $5.99, 24676, $6, $6, $5.84
06/08/2020, $6, 62169, $6, $6, $5.75
06/05/2020, $5.86, 25643, $6, $6, $5.83
06/04/2020, $5.82, 45093, $6.05, $6.05, $5.67
06/03/2020, $6.025, 30901, $6.06, $6.06, $5.7673
06/02/2020, $6.05, 43586, $6.02, $6.14, $5.85
06/01/2020, $6.05, 82174, $5.9, $6.49, $5.83
05/29/2020, $5.8, 9152, $5.58, $5.8, $5.5177
05/28/2020, $5.52, 24144, $5.57, $5.62, $5.37
05/27/2020, $5.63, 91428, $5.39, $5.65, $5.22
05/26/2020, $5.36, 25876, $5.24, $5.3757, $5.1011
05/22/2020, $5.15, 9913, $5.02, $5.15, $5.02
05/21/2020, $5, 15585, $5.08, $5.16, $4.94
05/20/2020, $4.99, 15342, $5.14, $5.19, $4.9
05/19/2020, $5.0602, 9671, $5.05, $5.19, $4.98
05/18/2020, $4.98, 20326, $5.08, $5.16, $4.93
05/15/2020, $4.9, 20261, $5, $5.1412, $4.9
05/14/2020, $5, 67642, $5.18, $5.24, $4.89
05/13/2020, $5.24, 7961, $5.4, $5.6099, $5.2
05/12/2020, $5.39, 38952, $5.62, $5.82, $5.25
05/11/2020, $5.66, 14488, $5.71, $5.8, $5.66
