Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.9507, 5904, $0.9501, $0.9563, $0.95
07/30/2020, $0.953, 12812, $0.98, $0.98, $0.9501
07/29/2020, $0.9801, 4779, $1.0001, $1.0027, $0.9701
07/28/2020, $0.9959, 7212, $0.9716, $1, $0.96
07/27/2020, $0.974, 3514, $0.99, $0.99, $0.965
07/24/2020, $0.99, 118786, $0.99, $1.0107, $0.93
07/23/2020, $0.98, 94823, $1.05, $1.05, $0.9752
07/22/2020, $1, 66413, $0.9662, $1.04, $0.96
07/21/2020, $0.9961, 51440, $1.039, $1.04, $0.99
07/20/2020, $1, 51865, $1.03, $1.039, $0.9548
07/17/2020, $0.995, 55923, $1, $1, $0.95
07/16/2020, $0.95, 62330, $1.05, $1.09, $0.95
07/15/2020, $1.0676, 18221, $1.0864, $1.1, $1.05
07/14/2020, $1.06, 8490, $1.07, $1.089, $1.05
07/13/2020, $1.08, 3567, $1.1, $1.105, $1.08
07/10/2020, $1.07, 10783, $1.06, $1.11, $1.05
07/09/2020, $1.06, 12435, $1.0501, $1.0753, $1.0501
07/08/2020, $1.08, 31465, $1.1, $1.1399, $1.05
07/07/2020, $1.1, 9031, $1.115, $1.155, $1.1
07/06/2020, $1.1, 30619, $1.16, $1.16, $1.09
07/02/2020, $1.14, 10626, $1.187, $1.19, $1.11
07/01/2020, $1.151, 5460, $1.18, $1.18, $1.13
06/30/2020, $1.16, 33287, $1.15, $1.22, $1.1102
06/29/2020, $1.1501, 10055, $1.16, $1.19, $1.15
06/26/2020, $1.1558, 2935, $1.15, $1.1558, $1.15
06/25/2020, $1.17, 18781, $1.1899, $1.19, $1.1501
06/24/2020, $1.21, 40804, $1.18, $1.25, $1.17
06/23/2020, $1.165, 7448, $1.2, $1.2027, $1.165
06/22/2020, $1.18, 21986, $1.2, $1.25, $1.16
06/19/2020, $1.23, 32113, $1.23, $1.26, $1.22
06/18/2020, $1.24, 56849, $1.25, $1.285, $1.18
06/17/2020, $1.27, 104818, $1.21, $1.3, $1.2
06/16/2020, $1.24, 24631, $1.15, $1.3, $1.15
06/15/2020, $1.2499, 54119, $1.33, $1.33, $1.15
06/12/2020, $1.3, 238418, $1.2, $1.34, $1.1501
06/11/2020, $1.15, 39823, $1.13, $1.2, $1.03
06/10/2020, $1.14, 105325, $1.103, $1.16, $1.02
06/09/2020, $1.12, 64414, $1.18, $1.1999, $1.11
06/08/2020, $1.18, 40366, $1.19, $1.19, $1.13
06/05/2020, $1.19, 115924, $1.15, $1.2, $1.1
06/04/2020, $1.14, 55622, $1.12, $1.15, $1.11
06/03/2020, $1.15, 73861, $1.123, $1.16, $1.119
06/02/2020, $1.15, 60857, $1.17, $1.179, $1.11
06/01/2020, $1.18, 16995, $1.2, $1.2, $1.18
05/29/2020, $1.19, 63796, $1.2, $1.2, $1.18
05/28/2020, $1.195, 633, $1.1939, $1.195, $1.1939
05/27/2020, $1.18, 21116, $1.2, $1.21, $1.18
05/26/2020, $1.18, 24340, $1.17, $1.2, $1.15
05/22/2020, $1.14, 11172, $1.18, $1.18, $1.14
05/21/2020, $1.17, 50777, $1.14, $1.18, $1.13
05/20/2020, $1.14, 310363, $1.1, $1.14, $1.08
05/19/2020, $1.1, 67693, $1.1, $1.11, $1.1
05/18/2020, $1.12, 21354, $1.0601, $1.13, $1.0601
05/15/2020, $1.055, 12527, $1.02, $1.08, $1.02
05/14/2020, $1.03, 154201, $1.03, $1.05, $1.01
05/13/2020, $1.046, 44510, $1.07, $1.07, $1.025
05/12/2020, $1.05, 44118, $1.03, $1.1, $1.02
05/11/2020, $1.03, 39405, $1, $1.06, $1
