Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.05, 165015, $3.07, $3.1099, $3.02
07/30/2020, $3.1, 125678, $3.08, $3.11, $3.03
07/29/2020, $3.12, 144450, $3.07, $3.13, $3.0436
07/28/2020, $3.07, 213531, $3.09, $3.1, $3.05
07/27/2020, $3.09, 191080, $3.23, $3.26, $3.09
07/24/2020, $3.24, 221693, $3.17, $3.27, $3.13
07/23/2020, $3.19, 138725, $3.2, $3.22, $3.16
07/22/2020, $3.21, 193720, $3.15, $3.23, $3.14
07/21/2020, $3.17, 267894, $3.14, $3.18, $3.05
07/20/2020, $3.01, 227928, $3.02, $3.0699, $3
07/17/2020, $3.06, 157680, $3.14, $3.17, $3.05
07/16/2020, $3.14, 118575, $3.11, $3.181, $3.1
07/15/2020, $3.13, 230820, $3.1, $3.18, $3.1
07/14/2020, $3.06, 227788, $3.11, $3.14, $3.05
07/13/2020, $3.15, 199533, $3.12, $3.19, $3.06
07/10/2020, $3.09, 319727, $3.05, $3.14, $3.05
07/09/2020, $3.08, 272753, $3.14, $3.19, $3.03
07/08/2020, $3.15, 294953, $3.15, $3.22, $3.12
07/07/2020, $3.15, 253032, $3.19, $3.2243, $3.15
07/06/2020, $3.25, 345755, $3.35, $3.4001, $3.21
07/02/2020, $3.32, 412880, $3.42, $3.52, $3.3
07/01/2020, $3.39, 379620, $3.57, $3.57, $3.38
06/30/2020, $3.51, 186645, $3.43, $3.51, $3.4201
06/29/2020, $3.45, 380227, $3.34, $3.5197, $3.32
06/26/2020, $3.3, 243062, $3.39, $3.41, $3.25
06/25/2020, $3.44, 310430, $3.32, $3.47, $3.2928
06/24/2020, $3.35, 456255, $3.39, $3.4, $3.23
06/23/2020, $3.39, 330185, $3.46, $3.46, $3.38
06/22/2020, $3.43, 261614, $3.42, $3.44, $3.3176
06/19/2020, $3.44, 772061, $3.56, $3.59, $3.4
06/18/2020, $3.49, 299578, $3.44, $3.57, $3.43
06/17/2020, $3.48, 353028, $3.65, $3.69, $3.45
06/16/2020, $3.64, 570486, $3.77, $3.83, $3.63
06/15/2020, $3.77, 976322, $3.77, $3.84, $3.63
06/12/2020, $3.8, 628989, $3.67, $3.8, $3.5358
06/11/2020, $3.46, 613832, $3.64, $3.728, $3.4358
06/10/2020, $3.86, 1023041, $4.11, $4.1178, $3.71
06/09/2020, $4.09, 707493, $4.17, $4.17, $3.96
06/08/2020, $4.19, 583250, $3.94, $4.21, $3.9
06/05/2020, $3.78, 628570, $3.77, $4.03, $3.7
06/04/2020, $3.6, 523183, $3.52, $3.6918, $3.52
06/03/2020, $3.52, 540920, $3.47, $3.535, $3.46
06/02/2020, $3.4, 260372, $3.41, $3.44, $3.33
06/01/2020, $3.39, 411125, $3.28, $3.47, $3.21
05/29/2020, $3.28, 355185, $3.4, $3.4, $3.235
05/28/2020, $3.38, 467754, $3.59, $3.59, $3.3
05/27/2020, $3.47, 364927, $3.35, $3.48, $3.2684
05/26/2020, $3.25, 509531, $3.3, $3.35, $3.23
05/22/2020, $3.2, 305615, $3.27, $3.27, $3.18
05/21/2020, $3.17, 276785, $3.11, $3.1827, $3.08
05/20/2020, $3.05, 287041, $2.91, $3.0915, $2.895
05/19/2020, $2.83, 277952, $2.97, $2.99, $2.82
05/18/2020, $2.99, 328559, $2.89, $2.99, $2.84
05/15/2020, $2.73, 290081, $2.78, $2.82, $2.72
05/14/2020, $2.815, 260299, $2.79, $2.9, $2.64
05/13/2020, $2.87, 456243, $2.89, $2.94, $2.7
05/12/2020, $2.89, 492132, $3.16, $3.22, $2.88
05/11/2020, $3, 414948, $3.04, $3.0471, $2.95
