Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.62, 954256, $1.61, $1.65, $1.55
07/30/2020, $1.53, 789549, $1.55, $1.58, $1.49
07/29/2020, $1.58, 1052886, $1.6, $1.69, $1.57
07/28/2020, $1.64, 955501, $1.74, $1.74, $1.62
07/27/2020, $1.75, 1354880, $1.71, $1.83, $1.65
07/24/2020, $1.67, 2101608, $1.62, $1.9, $1.5801
07/23/2020, $1.64, 878606, $1.72, $1.75, $1.55
07/22/2020, $1.73, 1168401, $1.77, $1.85, $1.6174
07/21/2020, $1.74, 2455936, $1.72, $1.85, $1.57
07/20/2020, $1.73, 3517272, $1.54, $1.8, $1.51
07/17/2020, $1.56, 553534, $1.578, $1.6, $1.51
07/16/2020, $1.56, 1073176, $1.44, $1.62, $1.41
07/15/2020, $1.45, 387068, $1.44, $1.485, $1.42
07/14/2020, $1.44, 1034301, $1.5, $1.52, $1.42
07/13/2020, $1.44, 384647, $1.48, $1.48, $1.42
07/10/2020, $1.46, 370996, $1.47, $1.5, $1.415
07/09/2020, $1.49, 436046, $1.56, $1.57, $1.45
07/08/2020, $1.529, 434745, $1.57, $1.57, $1.49
07/07/2020, $1.56, 1786394, $1.52, $1.64, $1.47
07/06/2020, $1.47, 383847, $1.47, $1.56, $1.45
07/02/2020, $1.46, 967354, $1.52, $1.5699, $1.425
07/01/2020, $1.54, 1057761, $1.63, $1.6468, $1.53
06/30/2020, $1.64, 577635, $1.71, $1.75, $1.63
06/29/2020, $1.71, 430302, $1.78, $1.81, $1.7
06/26/2020, $1.77, 453784, $1.88, $1.88, $1.76
06/25/2020, $1.86, 337486, $1.82, $1.9204, $1.8
06/24/2020, $1.8, 959591, $1.91, $1.9833, $1.75
06/23/2020, $1.96, 897283, $2.01, $2.05, $1.92
06/22/2020, $1.99, 666781, $1.91, $2.05, $1.87
06/19/2020, $1.89, 1141157, $1.92, $2, $1.83
06/18/2020, $1.99, 3710331, $1.84, $2.08, $1.8
06/17/2020, $1.72, 535213, $1.71, $1.775, $1.62
06/16/2020, $1.73, 724170, $1.8, $1.8, $1.63
06/15/2020, $1.75, 911524, $1.67, $1.8427, $1.66
06/12/2020, $1.67, 414992, $1.72, $1.75, $1.58
06/11/2020, $1.7, 812683, $1.7, $1.73, $1.6
06/10/2020, $1.78, 629281, $1.87, $1.88, $1.74
06/09/2020, $1.83, 840248, $1.79, $1.92, $1.71
06/08/2020, $1.82, 1253661, $1.77, $1.87, $1.6601
06/05/2020, $1.73, 672638, $1.62, $1.77, $1.59
06/04/2020, $1.61, 868402, $1.68, $1.72, $1.57
06/03/2020, $1.7, 914003, $1.7, $1.79, $1.66
06/02/2020, $1.68, 1277559, $1.65, $1.68, $1.545
06/01/2020, $1.6, 664328, $1.56, $1.655, $1.56
05/29/2020, $1.54, 391254, $1.5, $1.6, $1.5
05/28/2020, $1.51, 416884, $1.6, $1.6199, $1.51
05/27/2020, $1.62, 590246, $1.67, $1.71, $1.5
05/26/2020, $1.66, 1567595, $1.54, $1.7, $1.5
05/22/2020, $1.49, 557258, $1.51, $1.55, $1.46
05/21/2020, $1.52, 553381, $1.53, $1.56, $1.47
05/20/2020, $1.55, 930344, $1.49, $1.58, $1.46
05/19/2020, $1.46, 2402631, $1.36, $1.6, $1.36
05/18/2020, $1.4, 472708, $1.36, $1.4, $1.33
05/15/2020, $1.37, 574639, $1.36, $1.41, $1.33
05/14/2020, $1.4, 3682651, $1.58, $1.58, $1.31
05/13/2020, $1.39, 1094672, $1.46, $1.46, $1.325
05/12/2020, $1.42, 2775003, $1.33, $1.4573, $1.31
05/11/2020, $1.33, 830129, $1.33, $1.36, $1.29
