Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.2, 91292, $4.28, $4.39, $4.13
07/30/2020, $4.33, 138749, $4.05, $4.38, $4.05
07/29/2020, $4.13, 144182, $4.29, $4.39, $4.12
07/28/2020, $4.34, 79720, $4.3, $4.4399, $4.2501
07/27/2020, $4.36, 191471, $4.23, $4.44, $4.17
07/24/2020, $4.335, 282559, $4.06, $4.4, $4.06
07/23/2020, $4.43, 235110, $4.35, $4.6, $4.31
07/22/2020, $4.46, 570238, $5, $5.05, $4.33
07/21/2020, $4.87, 630482, $4.75, $5.24, $4.75
07/20/2020, $4.86, 738654, $4.65, $5.0624, $4.6
07/17/2020, $4.82, 978621, $4.825, $5.1, $4.6
07/16/2020, $4.78, 1927689, $4.64, $5, $4.43
07/15/2020, $4.74, 5305203, $5.35, $5.65, $4.55
07/14/2020, $6.5, 91158840, $5.33, $7.29, $4.55
07/13/2020, $3.07, 26422, $3.18, $3.18, $2.91
07/10/2020, $3.05, 8595, $3.045, $3.13, $2.9901
07/09/2020, $3.04, 62914, $3.15, $3.2477, $2.93
07/08/2020, $3.2, 18822, $3.23, $3.31, $3.18
07/07/2020, $3.18, 78773, $3.3, $3.31, $3.175
07/06/2020, $3.31, 35372, $3.28, $3.44, $3.2
07/02/2020, $3.29, 13090, $3.42, $3.42, $3.28
07/01/2020, $3.27, 3797, $3.35, $3.4, $3.24
06/30/2020, $3.31, 7809, $3.28, $3.4, $3.2701
06/29/2020, $3.16, 8595, $3.19, $3.4, $3.16
06/26/2020, $3.19, 21426, $3.25, $3.25, $3.05
06/25/2020, $3.15, 11740, $3.22, $3.3, $3.1
06/24/2020, $3.21, 13528, $3.31, $3.38, $3.2001
06/23/2020, $3.43, 13181, $3.22, $3.51, $3.22
06/22/2020, $3.25, 61401, $3.4, $3.4475, $3.2296
06/19/2020, $3.28, 19436, $3.42, $3.435, $3.2
06/18/2020, $3.28, 16205, $3.215, $3.54, $3.2
06/17/2020, $3.2, 18200, $3.1, $3.27, $3.1
06/16/2020, $3.4, 12432, $3.42, $3.47, $3.3566
06/15/2020, $3.39, 7308, $3.43, $3.57, $3.32
06/12/2020, $3.28, 12499, $3.79, $3.79, $3.22
06/11/2020, $3.301, 25355, $3.51, $3.7, $3.235
06/10/2020, $3.83, 67951, $3.51, $4.09, $3.51
06/09/2020, $3.63, 29273, $3.9, $3.9, $3.5501
06/08/2020, $3.95, 48103, $3.45, $3.99, $3.45
06/05/2020, $3.49, 31694, $3.54, $3.71, $3.41
06/04/2020, $3.47, 52674, $3.46, $3.59, $3.265
06/03/2020, $3.45, 80678, $3.08, $3.45, $3.0101
06/02/2020, $3.1, 255199, $2.74, $3.1, $2.65
06/01/2020, $3.11, 186613, $3.06, $3.14, $2.87
05/29/2020, $3, 107298, $2.98, $3.05, $2.9101
05/28/2020, $2.91, 113636, $2.9, $3, $2.635
05/27/2020, $2.785, 84628, $2.643, $2.89, $2.643
05/26/2020, $2.62, 418722, $2.55, $2.72, $2.41
05/22/2020, $2.49, 40561, $2.48, $2.6, $2.46
05/21/2020, $2.49, 119053, $2.64, $2.77, $2.49
05/20/2020, $2.6, 169312, $2.5, $2.64, $2.495
05/19/2020, $2.5, 198468, $2.56, $2.85, $2.4189
05/18/2020, $2.545, 121944, $2.58, $2.7658, $2.48
05/15/2020, $2.56, 29851, $2.6, $2.65, $2.52
05/14/2020, $2.65, 47355, $2.62, $2.65, $2.51
05/13/2020, $2.61, 40091, $2.74, $2.81, $2.6
05/12/2020, $2.85, 23032, $2.85, $2.9334, $2.74
05/11/2020, $2.85, 25495, $3.07, $3.09, $2.82
