Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.37, 829314, $4.45, $4.5, $4.21
07/30/2020, $4.46, 676012, $4.69, $4.79, $4.43
07/29/2020, $4.8, 4346366, $4.55, $6.41, $4.45
07/28/2020, $4.54, 182101, $4.54, $4.6, $4.475
07/27/2020, $4.58, 443392, $4.67, $4.83, $4.4
07/24/2020, $4.68, 230428, $4.89, $4.89, $4.61
07/23/2020, $4.87, 521246, $4.66, $4.935, $4.5998
07/22/2020, $4.68, 187841, $4.72, $4.72, $4.56
07/21/2020, $4.74, 301021, $4.81, $4.868, $4.65
07/20/2020, $4.8, 272976, $4.99, $4.99, $4.705
07/17/2020, $4.86, 526701, $4.53, $4.9, $4.47
07/16/2020, $4.51, 536891, $4.7, $4.81, $4.462
07/15/2020, $4.7, 498718, $4.78, $4.91, $4.5806
07/14/2020, $4.72, 514502, $4.71, $4.78, $4.52
07/13/2020, $4.66, 722208, $5.31, $5.36, $4.59
07/10/2020, $5.22, 338722, $5.37, $5.4, $5.13
07/09/2020, $5.37, 865203, $5.6, $5.6781, $5.12
07/08/2020, $5.52, 1049295, $5.18, $5.72, $5.1301
07/07/2020, $5.18, 248215, $5.25, $5.33, $5.14
07/06/2020, $5.25, 253442, $5.23, $5.29, $5.14
07/02/2020, $5.15, 483749, $5.17, $5.35, $5.01
07/01/2020, $5.11, 476643, $5.26, $5.3499, $5.0099
06/30/2020, $5.22, 704418, $5.12, $5.39, $5.0811
06/29/2020, $5.11, 499689, $4.7, $5.11, $4.45
06/26/2020, $4.74, 1615946, $4.83, $4.92, $4.65
06/25/2020, $4.86, 1166622, $4.79, $5.01, $4.71
06/24/2020, $4.81, 293010, $4.81, $4.87, $4.65
06/23/2020, $4.83, 304038, $4.93, $4.9703, $4.82
06/22/2020, $4.92, 501190, $4.8, $4.99, $4.7032
06/19/2020, $4.85, 585598, $4.7, $5, $4.6901
06/18/2020, $4.67, 380082, $4.55, $4.74, $4.52
06/17/2020, $4.58, 220080, $4.73, $4.7999, $4.58
06/16/2020, $4.7, 540056, $4.67, $4.78, $4.61
06/15/2020, $4.55, 327100, $4.3, $4.58, $4.21
06/12/2020, $4.35, 402656, $4.5, $4.6299, $4.315
06/11/2020, $4.365, 728113, $4.59, $4.71, $4.34
06/10/2020, $4.72, 732429, $5.1, $5.19, $4.62
06/09/2020, $5.05, 361931, $5.02, $5.07, $4.865
06/08/2020, $5, 871036, $5, $5.14, $4.85
06/05/2020, $4.91, 1291530, $4.85, $5.04, $4.73
06/04/2020, $4.67, 507522, $4.6, $4.85, $4.57
06/03/2020, $4.56, 257420, $4.58, $4.69, $4.51
06/02/2020, $4.58, 283798, $4.58, $4.74, $4.44
06/01/2020, $4.58, 428599, $4.34, $4.625, $4.27
05/29/2020, $4.44, 236262, $4.3, $4.49, $4.24
05/28/2020, $4.3, 387271, $4.43, $4.65, $4.28
05/27/2020, $4.4, 468976, $4.41, $4.456, $4.24
05/26/2020, $4.4, 438303, $4.64, $4.7, $4.38
05/22/2020, $4.57, 597037, $4.43, $4.7, $4.43
05/21/2020, $4.39, 341324, $4.29, $4.48, $4.28
05/20/2020, $4.33, 380482, $4.28, $4.36, $4.21
05/19/2020, $4.22, 317512, $4.31, $4.35, $4.2
05/18/2020, $4.32, 425773, $4.47, $4.51, $4.2762
05/15/2020, $4.31, 429705, $4.24, $4.4124, $4.21
05/14/2020, $4.29, 404559, $4.2, $4.34, $4.03
05/13/2020, $4.24, 924985, $4.5, $4.55, $4.09
05/12/2020, $4.44, 1030054, $4.71, $4.86, $4.44
05/11/2020, $4.62, 1026827, $4.74, $4.87, $4.43
