Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.19, 91336, $1.24, $1.24, $1.1793
07/30/2020, $1.2374, 185851, $1.14, $1.3, $1.14
07/29/2020, $1.18, 92493, $1.14, $1.19, $1.11
07/28/2020, $1.15, 89641, $1.21, $1.2298, $1.12
07/27/2020, $1.22, 223920, $1.13, $1.24, $1.0902
07/24/2020, $1.133, 131565, $1.15, $1.15, $1.1
07/23/2020, $1.14, 326172, $1.26, $1.3354, $1.1
07/22/2020, $1.28, 330454, $1.36, $1.36, $1.25
07/21/2020, $1.36, 165217, $1.4, $1.42, $1.35
07/20/2020, $1.42, 113336, $1.41, $1.44, $1.33
07/17/2020, $1.4, 227579, $1.27, $1.4, $1.27
07/16/2020, $1.28, 292082, $1.31, $1.37, $1.26
07/15/2020, $1.35, 1744858, $1.23, $1.65, $1.23
07/14/2020, $1.25, 267671, $1.3, $1.3, $1.22
07/13/2020, $1.28, 324922, $1.27, $1.36, $1.26
07/10/2020, $1.25, 149965, $1.24, $1.315, $1.1901
07/09/2020, $1.2167, 407040, $1.34, $1.34, $1.21
07/08/2020, $1.24, 393123, $1.22, $1.33, $1.2
07/07/2020, $1.22, 308396, $1.28, $1.29, $1.18
07/06/2020, $1.28, 258915, $1.18, $1.29, $1.1401
07/02/2020, $1.12, 66816, $1.13, $1.1509, $1.1
07/01/2020, $1.12, 238814, $1.22, $1.2299, $1.1
06/30/2020, $1.19, 134741, $1.17, $1.23, $1.17
06/29/2020, $1.21, 134949, $1.17, $1.23, $1.15
06/26/2020, $1.2, 198423, $1.19, $1.2, $1.15
06/25/2020, $1.21, 190019, $1.2, $1.25, $1.15
06/24/2020, $1.2, 317530, $1.22, $1.3, $1.15
06/23/2020, $1.25, 683442, $1.14, $1.44, $1.13
06/22/2020, $1.24, 2110467, $1.42, $1.42, $1.11
06/19/2020, $1.49, 17241120, $1.5, $1.9, $1.3301
06/18/2020, $1.105, 829256, $1.25, $1.36, $1.1
06/17/2020, $1.2, 1181393, $0.9309, $1.2, $0.9224
06/16/2020, $0.9224, 319263, $0.93, $0.9799, $0.8703
06/15/2020, $0.9509, 611965, $1.04, $1.08, $0.85
06/12/2020, $0.99, 401293, $1.12, $1.14, $0.96
06/11/2020, $0.941, 486283, $1, $1.05, $0.9201
06/10/2020, $1.09, 667998, $1.03, $1.2, $1.02
06/09/2020, $1.02, 442762, $1.02, $1.08, $0.9551
06/08/2020, $0.95, 407670, $0.86, $0.952, $0.82
06/05/2020, $0.86, 164289, $0.8439, $0.89, $0.8401
06/04/2020, $0.866, 118855, $0.8772, $0.8772, $0.8
06/03/2020, $0.8785, 145252, $0.84, $0.888, $0.835
06/02/2020, $0.84, 195772, $0.9, $0.9345, $0.825
06/01/2020, $0.898, 71261, $0.83, $0.898, $0.81
05/29/2020, $0.81, 109452, $0.9, $0.9, $0.81
05/28/2020, $0.8651, 200132, $0.96, $0.96, $0.8522
05/27/2020, $0.9536, 195159, $1.05, $1.05, $0.922
05/26/2020, $0.96, 108079, $0.96, $0.99, $0.93
05/22/2020, $0.9299, 293089, $1.04, $1.0486, $0.89
05/21/2020, $1.06, 323091, $1.16, $1.1965, $1.03
05/20/2020, $1.19, 86592, $1.14, $1.23, $1.14
05/19/2020, $1.16, 79682, $1.15, $1.1999, $1.1
05/18/2020, $1.13, 127643, $1.21, $1.22, $1.13
05/15/2020, $1.23, 151809, $1.25, $1.25, $1.14
05/14/2020, $1.23, 124646, $1.17, $1.24, $1.1473
05/13/2020, $1.21, 136863, $1.25, $1.26, $1.13
05/12/2020, $1.26, 138608, $1.29, $1.3, $1.2
05/11/2020, $1.3, 101585, $1.37, $1.37, $1.25
