Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.875, 6568007, $3.9, $3.95, $3.7511
07/30/2020, $3.95, 5783808, $3.97, $4.055, $3.86
07/29/2020, $4.07, 8088396, $4.03, $4.14, $3.895
07/28/2020, $4.01, 11716250, $4.1, $4.275, $3.95
07/27/2020, $4.16, 5245253, $3.97, $4.16, $3.815
07/24/2020, $3.925, 5459371, $3.97, $4.04, $3.84
07/23/2020, $3.94, 9894178, $3.74, $4.17, $3.7
07/22/2020, $3.665, 5147040, $3.69, $3.79, $3.56
07/21/2020, $3.84, 5602573, $3.46, $3.995, $3.46
07/20/2020, $3.4, 3250815, $3.34, $3.5397, $3.245
07/17/2020, $3.32, 2318067, $3.52, $3.53, $3.31
07/16/2020, $3.5, 3972432, $3.45, $3.615, $3.315
07/15/2020, $3.66, 4970881, $3.63, $3.8086, $3.47
07/14/2020, $3.53, 3958104, $3.25, $3.56, $3.19
07/13/2020, $3.26, 5198492, $3.43, $3.47, $3.21
07/10/2020, $3.39, 5270709, $3.25, $3.45, $3.16
07/09/2020, $3.32, 7223375, $3.49, $3.53, $3.25
07/08/2020, $3.53, 5435153, $3.33, $3.57, $3.24
07/07/2020, $3.345, 4767266, $3.44, $3.54, $3.33
07/06/2020, $3.5, 10608790, $3.47, $3.56, $3.325
07/02/2020, $3.36, 5567291, $3.34, $3.43, $3.21
07/01/2020, $3.255, 5769858, $3.52, $3.6525, $3.21
06/30/2020, $3.47, 7010664, $3.41, $3.5, $3.28
06/29/2020, $3.46, 7750518, $3.57, $3.695, $3.36
06/26/2020, $3.57, 22101920, $3.85, $3.85, $3.48
06/25/2020, $3.88, 5363565, $3.65, $3.95, $3.55
06/24/2020, $3.69, 5506088, $4.12, $4.185, $3.68
06/23/2020, $4.21, 5458526, $4.56, $4.57, $4.16
06/22/2020, $4.31, 7330312, $4.33, $4.36, $4.115
06/19/2020, $4.34, 8281281, $4.69, $4.7253, $4.28
06/18/2020, $4.52, 7602087, $4.31, $4.675, $4.205
06/17/2020, $4.37, 5926753, $4.83, $4.83, $4.325
06/16/2020, $4.805, 7618111, $5.05, $5.08, $4.5001
06/15/2020, $4.57, 5032918, $4.1, $4.815, $3.97
06/12/2020, $4.46, 8368032, $4.63, $4.81, $4.225
06/11/2020, $4.16, 5985233, $4.6, $4.96, $4.15
06/10/2020, $5.16, 6473200, $5.42, $5.62, $5.08
06/09/2020, $5.5, 7620130, $5.75, $5.865, $5.39
06/08/2020, $6.16, 8174602, $6.21, $6.33, $5.925
06/05/2020, $5.79, 12425860, $5.47, $6.14, $5.45
06/04/2020, $5.17, 12726980, $4.36, $5.21, $4.31
06/03/2020, $4.44, 12612720, $4.3, $4.47, $4.01
06/02/2020, $4.19, 9281198, $3.92, $4.27, $3.8301
06/01/2020, $3.79, 8848599, $3.82, $3.905, $3.73
05/29/2020, $3.69, 38517820, $4.23, $4.32, $3.69
05/28/2020, $4.28, 9079536, $4.15, $4.47, $4.07
05/27/2020, $4.17, 11012930, $4.11, $4.26, $4.06
05/26/2020, $3.885, 4297619, $3.75, $3.98, $3.6323
05/22/2020, $3.55, 7045227, $3.81, $3.84, $3.46
05/21/2020, $3.89, 10856450, $3.91, $3.94, $3.69
05/20/2020, $3.88, 5154979, $3.7, $3.97, $3.655
05/19/2020, $3.58, 4269237, $3.79, $3.84, $3.58
05/18/2020, $3.79, 6210770, $3.56, $3.89, $3.47
05/15/2020, $3.27, 12064750, $3.18, $3.49, $3.09
05/14/2020, $3.19, 5518486, $3.01, $3.415, $2.9101
05/13/2020, $3.15, 7981305, $3.34, $3.3498, $2.88
05/12/2020, $3.4, 7287652, $3.42, $3.59, $3.305
05/11/2020, $3.35, 4837255, $3.25, $3.41, $3.135
