Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.47, 506021, $1.43, $1.48, $1.4
07/30/2020, $1.45, 391049, $1.42, $1.45, $1.39
07/29/2020, $1.42, 653973, $1.42, $1.4499, $1.36
07/28/2020, $1.42, 687438, $1.41, $1.46, $1.37
07/27/2020, $1.43, 639330, $1.41, $1.44, $1.37
07/24/2020, $1.41, 754277, $1.36, $1.42, $1.31
07/23/2020, $1.34, 1566703, $1.43, $1.4487, $1.33
07/22/2020, $1.43, 749900, $1.43, $1.475, $1.41
07/21/2020, $1.46, 1413206, $1.51, $1.51, $1.41
07/20/2020, $1.51, 1644448, $1.56, $1.57, $1.43
07/17/2020, $1.5, 1719026, $1.42, $1.53, $1.3829
07/16/2020, $1.41, 1245951, $1.34, $1.44, $1.28
07/15/2020, $1.33, 850471, $1.29, $1.35, $1.26
07/14/2020, $1.27, 630730, $1.29, $1.31, $1.26
07/13/2020, $1.29, 1093630, $1.35, $1.36, $1.27
07/10/2020, $1.33, 678806, $1.34, $1.38, $1.315
07/09/2020, $1.34, 843063, $1.38, $1.42, $1.33
07/08/2020, $1.39, 530520, $1.37, $1.39, $1.34
07/07/2020, $1.36, 673911, $1.34, $1.42, $1.32
07/06/2020, $1.34, 801331, $1.37, $1.38, $1.34
07/02/2020, $1.37, 848412, $1.38, $1.42, $1.33
07/01/2020, $1.38, 540766, $1.36, $1.4, $1.34
06/30/2020, $1.37, 861878, $1.39, $1.41, $1.32
06/29/2020, $1.39, 1163068, $1.44, $1.47, $1.36
06/26/2020, $1.41, 1034637, $1.49, $1.49, $1.37
06/25/2020, $1.46, 1180385, $1.44, $1.55, $1.44
06/24/2020, $1.49, 1022999, $1.5, $1.54, $1.44
06/23/2020, $1.51, 919894, $1.49, $1.535, $1.47
06/22/2020, $1.49, 558972, $1.5, $1.5299, $1.45
06/19/2020, $1.5, 948897, $1.51, $1.57, $1.48
06/18/2020, $1.5, 646819, $1.44, $1.52, $1.44
06/17/2020, $1.44, 452213, $1.46, $1.495, $1.42
06/16/2020, $1.47, 603711, $1.51, $1.51, $1.42
06/15/2020, $1.44, 799647, $1.4, $1.52, $1.36
06/12/2020, $1.42, 492389, $1.45, $1.49, $1.38
06/11/2020, $1.39, 1139334, $1.45, $1.49, $1.37
06/10/2020, $1.5, 1132147, $1.51, $1.52, $1.4
06/09/2020, $1.51, 1114110, $1.51, $1.53, $1.44
06/08/2020, $1.55, 1180147, $1.59, $1.59, $1.48
06/05/2020, $1.51, 1469134, $1.53, $1.57, $1.46
06/04/2020, $1.44, 1880517, $1.37, $1.55, $1.36
06/03/2020, $1.38, 611650, $1.39, $1.43, $1.35
06/02/2020, $1.42, 1121710, $1.42, $1.436, $1.33
06/01/2020, $1.42, 3329928, $1.56, $1.5629, $1.3991
05/29/2020, $1.31, 2560389, $1.32, $1.41, $1.17
05/28/2020, $1.3, 3578670, $1.47, $1.52, $1.25
05/27/2020, $1.47, 2129088, $1.6, $1.61, $1.47
05/26/2020, $1.6, 1028792, $1.68, $1.69, $1.6
05/22/2020, $1.63, 720043, $1.67, $1.7, $1.61
05/21/2020, $1.67, 728416, $1.79, $1.79, $1.64
05/20/2020, $1.77, 1255223, $1.68, $1.84, $1.6426
05/19/2020, $1.65, 873616, $1.61, $1.74, $1.61
05/18/2020, $1.67, 1763266, $1.82, $1.83, $1.65
05/15/2020, $1.75, 724329, $1.63, $1.795, $1.5752
05/14/2020, $1.64, 529484, $1.69, $1.69, $1.57
05/13/2020, $1.73, 1299912, $1.83, $1.85, $1.58
05/12/2020, $1.81, 1585155, $1.87, $1.95, $1.7502
05/11/2020, $1.76, 2259500, $1.58, $1.87, $1.55
