Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.05, 74529, $1.07, $1.08, $1.04
07/30/2020, $1.06, 143414, $1.09, $1.09, $1.05
07/29/2020, $1.09, 189339, $1.08, $1.09, $1.06
07/28/2020, $1.07, 15342, $1.07, $1.09, $1.07
07/27/2020, $1.07, 63648, $1.07, $1.08, $1.05
07/24/2020, $1.06, 39625, $1.07, $1.09, $1.06
07/23/2020, $1.09, 75572, $1.09, $1.11, $1.07
07/22/2020, $1.09, 58918, $1.09, $1.1, $1.06
07/21/2020, $1.09, 59705, $1.09, $1.1, $1.08
07/20/2020, $1.09, 87623, $1.09, $1.1, $1.08
07/17/2020, $1.095, 87074, $1.12, $1.12, $1.08
07/16/2020, $1.12, 359364, $1.11, $1.13, $1.09
07/15/2020, $1.11, 77398, $1.13, $1.13, $1.102
07/14/2020, $1.11, 267192, $1.12, $1.12, $1.08
07/13/2020, $1.12, 250016, $1.1, $1.12, $1.0801
07/10/2020, $1.08, 69400, $1.09, $1.1, $1.0598
07/09/2020, $1.09, 108921, $1.08, $1.1, $1.05
07/08/2020, $1.075, 155286, $1.09, $1.11, $1.06
07/07/2020, $1.09, 122476, $1.13, $1.13, $1.07
07/06/2020, $1.13, 323190, $1.12, $1.1584, $1.09
07/02/2020, $1.09, 47353, $1.1, $1.1199, $1.09
07/01/2020, $1.085, 267997, $1.11, $1.11, $1.08
06/30/2020, $1.1, 233015, $1.06, $1.1, $1.04
06/29/2020, $1.05, 178915, $1.03, $1.08, $1.03
06/26/2020, $1.02, 360224, $1.11, $1.11, $1.01
06/25/2020, $1.1, 650766, $1.09, $1.13, $1.02
06/24/2020, $1.145, 175180, $1.24, $1.24, $1.14
06/23/2020, $1.245, 31235, $1.23, $1.2462, $1.22
06/22/2020, $1.24, 38732, $1.25, $1.25, $1.22
06/19/2020, $1.24, 70053, $1.25, $1.26, $1.23
06/18/2020, $1.26, 63497, $1.24, $1.27, $1.22
06/17/2020, $1.2469, 77961, $1.22, $1.27, $1.22
06/16/2020, $1.21, 192909, $1.32, $1.34, $1.15
06/15/2020, $1.29, 181319, $1.29, $1.37, $1.28
06/12/2020, $1.35, 63575, $1.39, $1.39, $1.34
06/11/2020, $1.3, 114131, $1.34, $1.34, $1.26
06/10/2020, $1.37, 245046, $1.44, $1.44, $1.34
06/09/2020, $1.44, 56065, $1.35, $1.44, $1.3201
06/08/2020, $1.34, 113618, $1.35, $1.39, $1.31
06/05/2020, $1.3, 178483, $1.3, $1.34, $1.27
06/04/2020, $1.29, 83548, $1.28, $1.34, $1.28
06/03/2020, $1.32, 80289, $1.24, $1.32, $1.23
06/02/2020, $1.28, 89151, $1.33, $1.34, $1.25
06/01/2020, $1.33, 91953, $1.31, $1.34, $1.2609
05/29/2020, $1.3, 196752, $1.19, $1.3, $1.17
05/28/2020, $1.19, 208720, $1.2, $1.22, $1.14
05/27/2020, $1.2, 225844, $1.18, $1.2, $1.165
05/26/2020, $1.15, 104369, $1.16, $1.18, $1.15
05/22/2020, $1.15, 80125, $1.17, $1.18, $1.12
05/21/2020, $1.16, 39751, $1.18, $1.18, $1.16
05/20/2020, $1.17, 109710, $1.15, $1.18, $1.1163
05/19/2020, $1.14, 146827, $1.12, $1.18, $1.12
05/18/2020, $1.13, 218468, $1.1, $1.15, $1.1
05/15/2020, $1.1, 144194, $1.04, $1.1, $1.0302
05/14/2020, $1.04, 69694, $1.04, $1.06, $1.01
05/13/2020, $1.05, 169153, $1.04, $1.06, $1.02
05/12/2020, $1.05, 152063, $1.05, $1.08, $1.04
05/11/2020, $1.07, 101891, $1.08, $1.1, $1.05
