Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.48, 62343, $4.55, $4.55, $4.31
07/30/2020, $4.58, 33925, $4.47, $4.58, $4.36
07/29/2020, $4.48, 64753, $4.41, $4.49, $4.33
07/28/2020, $4.47, 73489, $4.73, $4.73, $4.39
07/27/2020, $4.61, 105559, $4.28, $4.61, $4.26
07/24/2020, $4.17, 63219, $4.29, $4.29, $4.06
07/23/2020, $4.31, 32414, $4.47, $4.52, $4.25
07/22/2020, $4.45, 171272, $4.44, $4.69, $4.35
07/21/2020, $4.46, 88419, $4.55, $4.67, $4.42
07/20/2020, $4.46, 40122, $4.41, $4.54, $4.41
07/17/2020, $4.41, 50497, $4.3, $4.47, $4.3
07/16/2020, $4.32, 56780, $4.28, $4.34, $4.2
07/15/2020, $4.31, 128988, $4.17, $4.32, $4.11
07/14/2020, $4.1, 110933, $4.14, $4.18, $3.95
07/13/2020, $4.14, 135538, $4.41, $4.41, $4.01
07/10/2020, $4.32, 68527, $4.11, $4.34, $4.06
07/09/2020, $4.11, 139986, $4.33, $4.34, $4.07
07/08/2020, $4.32, 98244, $4.46, $4.46, $4.11
07/07/2020, $4.42, 76525, $4.6, $4.635, $4.39
07/06/2020, $4.65, 101505, $4.63, $4.69, $4.51
07/02/2020, $4.53, 115247, $4.53, $4.6, $4.45
07/01/2020, $4.58, 115452, $4.52, $4.65, $4.5
06/30/2020, $4.62, 121839, $4.48, $4.67, $4.39
06/29/2020, $4.52, 192930, $4.52, $4.57, $4.34
06/26/2020, $4.7, 2977916, $4.92, $4.96, $4.42
06/25/2020, $4.97, 280808, $4.75, $5.2, $4.65
06/24/2020, $4.89, 270881, $4.83, $4.91, $4.63
06/23/2020, $4.88, 198446, $4.82, $4.92, $4.63
06/22/2020, $4.75, 222177, $4.9, $4.9, $4.72
06/19/2020, $4.91, 169210, $5.06, $5.27, $4.84
06/18/2020, $5.01, 132514, $5.08, $5.1, $4.88
06/17/2020, $5.12, 74655, $5.12, $5.21, $5.04
06/16/2020, $5.12, 126392, $5.1, $5.21, $4.9
06/15/2020, $5.08, 139512, $4.91, $5.38, $4.883
06/12/2020, $4.96, 163747, $4.88, $5.085, $4.835
06/11/2020, $4.77, 240455, $4.81, $4.865, $4.61
06/10/2020, $5.03, 184419, $5.16, $5.2, $4.8
06/09/2020, $5.19, 70497, $5.25, $5.28, $5.08
06/08/2020, $5.29, 250522, $5.42, $5.62, $5.26
06/05/2020, $5.35, 359902, $5.38, $5.4386, $5.28
06/04/2020, $5.29, 276746, $5.08, $5.3, $5.04
06/03/2020, $5, 107986, $5.06, $5.0989, $4.92
06/02/2020, $5.01, 149925, $4.84, $5.03, $4.75
06/01/2020, $4.81, 112466, $4.72, $4.84, $4.72
05/29/2020, $4.7, 79937, $4.7, $4.8, $4.51
05/28/2020, $4.7, 138496, $4.75, $4.76, $4.68
05/27/2020, $4.71, 119953, $4.98, $4.98, $4.65
05/26/2020, $5, 154369, $5.13, $5.23, $4.94
05/22/2020, $4.83, 115520, $4.84, $4.98, $4.6
05/21/2020, $4.8, 65788, $4.85, $4.93, $4.79
05/20/2020, $4.84, 58913, $4.87, $4.87, $4.7
05/19/2020, $4.74, 98187, $4.52, $4.9462, $4.52
05/18/2020, $4.46, 155114, $4.3, $4.54, $4.29
05/15/2020, $4.1, 206359, $3.82, $4.44, $3.76
05/14/2020, $3.855, 437537, $3.96, $3.99, $3.56
05/13/2020, $4.26, 205939, $4.57, $4.62, $4.12
05/12/2020, $4.55, 188519, $4.66, $4.7, $4.54
05/11/2020, $4.6, 124123, $4.65, $4.78, $4.53
