Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.42, 4435, $1.4001, $1.46, $1.4001
07/30/2020, $1.47, 7094, $1.4227, $1.47, $1.4178
07/29/2020, $1.42, 2316, $1.395, $1.4207, $1.395
07/28/2020, $1.3601, 1504, $1.395, $1.395, $1.36
07/27/2020, $1.38, 16324, $1.36, $1.42, $1.36
07/24/2020, $1.4, 21615, $1.49, $1.49, $1.4
07/23/2020, $1.42, 4197, $1.47, $1.49, $1.41
07/22/2020, $1.4207, 1407, $1.445, $1.445, $1.4115
07/21/2020, $1.425, 7118, $1.41, $1.4699, $1.41
07/20/2020, $1.427, 13471, $1.48, $1.48, $1.4
07/17/2020, $1.5, 90525, $1.38, $1.6499, $1.37
07/16/2020, $1.4103, 7483, $1.35, $1.44, $1.35
07/15/2020, $1.3399, 8052, $1.3, $1.35, $1.3
07/14/2020, $1.33, 7290, $1.31, $1.33, $1.2627
07/13/2020, $1.335, 4892, $1.32, $1.34, $1.32
07/10/2020, $1.33, 5839, $1.33, $1.33, $1.26
07/09/2020, $1.3, 15453, $1.35, $1.35, $1.2792
07/08/2020, $1.35, 10140, $1.34, $1.35, $1.26
07/07/2020, $1.29, 4800, $1.325, $1.34, $1.2801
07/06/2020, $1.34, 7507, $1.34, $1.36, $1.29
07/02/2020, $1.32, 7970, $1.26, $1.34, $1.26
07/01/2020, $1.34, 2395, $1.34, $1.35, $1.3101
06/30/2020, $1.35, 24479, $1.334, $1.37, $1.25
06/29/2020, $1.38, 7166, $1.26, $1.39, $1.26
06/26/2020, $1.29, 23222, $1.42, $1.42, $1.29
06/25/2020, $1.39, 5567, $1.3811, $1.4067, $1.38
06/24/2020, $1.42, 4885, $1.39, $1.42, $1.38
06/23/2020, $1.44, 4575, $1.393, $1.44, $1.38
06/22/2020, $1.4, 13195, $1.44, $1.44, $1.4
06/19/2020, $1.44, 8782, $1.416, $1.44, $1.39
06/18/2020, $1.4, 5155, $1.39, $1.4499, $1.38
06/17/2020, $1.46, 5361, $1.49, $1.49, $1.4301
06/16/2020, $1.48, 11792, $1.418, $1.49, $1.38
06/15/2020, $1.48, 21059, $1.39, $1.48, $1.35
06/12/2020, $1.41, 14966, $1.46, $1.46, $1.39
06/11/2020, $1.41, 12932, $1.46, $1.46, $1.38
06/10/2020, $1.5001, 21470, $1.5101, $1.5799, $1.49
06/09/2020, $1.58, 4358, $1.59, $1.62, $1.5201
06/08/2020, $1.6, 35012, $1.6, $1.62, $1.5312
06/05/2020, $1.56, 20882, $1.55, $1.5789, $1.505
06/04/2020, $1.47, 11611, $1.37, $1.4782, $1.37
06/03/2020, $1.43, 110131, $1.34, $1.68, $1.3334
06/02/2020, $1.3273, 11641, $1.32, $1.36, $1.3
06/01/2020, $1.34, 8241, $1.37, $1.37, $1.3087
05/29/2020, $1.33, 7129, $1.36, $1.38, $1.3238
05/28/2020, $1.37, 10425, $1.4, $1.45, $1.32
05/27/2020, $1.4, 19830, $1.53, $1.55, $1.38
05/26/2020, $1.51, 26557, $1.35, $1.51, $1.35
05/22/2020, $1.38, 13023, $1.41, $1.42, $1.35
05/21/2020, $1.38, 6695, $1.38, $1.45, $1.37
05/20/2020, $1.38, 96543, $1.27, $1.55, $1.27
05/19/2020, $1.3, 16783, $1.41, $1.4162, $1.2501
05/18/2020, $1.48, 357330, $1.24, $1.66, $1.1749
05/15/2020, $1.21, 64271, $1.16, $1.2199, $1.1
05/14/2020, $1.17, 10287, $1.165, $1.19, $1.105
05/13/2020, $1.16, 10399, $1.28, $1.28, $1.13
05/12/2020, $1.2178, 6812, $1.17, $1.23, $1.17
05/11/2020, $1.16, 20485, $1.3, $1.3, $1.13
