Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.67, 90403, $4.71, $4.78, $4.5
07/30/2020, $4.68, 54472, $4.7, $4.77, $4.51
07/29/2020, $4.75, 98526, $4.75, $4.85, $4.62
07/28/2020, $4.75, 49907, $4.71, $4.94, $4.58
07/27/2020, $4.71, 33304, $4.98, $5, $4.66
07/24/2020, $4.97, 8847, $4.98, $4.98, $4.89
07/23/2020, $4.91, 59596, $4.84, $5, $4.8
07/22/2020, $4.9, 76360, $5.12, $5.12, $4.78
07/21/2020, $4.97, 123080, $4.8, $5.04, $4.7363
07/20/2020, $4.86, 148573, $5.04, $5.05, $4.68
07/17/2020, $5.04, 312520, $4.6, $5.35, $4.6
07/16/2020, $4.91, 169974, $4.47, $5.1152, $4.45
07/15/2020, $4.54, 842701, $5, $5, $3.79
07/14/2020, $5.15, 227727, $5.17, $5.21, $4.91
07/13/2020, $5.17, 363758, $5.34, $5.5, $4.93
07/10/2020, $5.28, 722722, $4.3, $5.34, $4.3
07/09/2020, $4.28, 56304, $4.49, $4.56, $4.25
07/08/2020, $4.47, 151130, $4.31, $4.5, $4.2492
07/07/2020, $4.31, 205285, $4.51, $4.54, $4.24
07/06/2020, $4.54, 404702, $4.59, $4.7, $4.2701
07/02/2020, $4.42, 478027, $4.09, $4.5, $4.09
07/01/2020, $4.05, 778293, $3.53, $4.24, $3.53
06/30/2020, $3.59, 1542655, $3, $3.75, $3
06/29/2020, $2.4, 40929, $2.49, $2.55, $2.39
06/26/2020, $2.47, 79932, $2.41, $2.55, $2.36
06/25/2020, $2.52, 76672, $2.347, $2.52, $2.347
06/24/2020, $2.45, 70921, $2.5, $2.525, $2.35
06/23/2020, $2.45, 26571, $2.26, $2.45, $2.26
06/22/2020, $2.27, 16298, $2.15, $2.27, $2.15
06/19/2020, $2.2, 100605, $2.3515, $2.3515, $2.095
06/18/2020, $2.31, 36512, $2.3, $2.365, $2.265
06/17/2020, $2.34, 13774, $2.24, $2.35, $2.24
06/16/2020, $2.275, 32235, $2.2, $2.3236, $2.2
06/15/2020, $2.22, 37850, $2.25, $2.25, $2.12
06/12/2020, $2.21, 10920, $2.17, $2.27, $2.15
06/11/2020, $2.18, 46668, $2.16, $2.2308, $2.15
06/10/2020, $2.23, 42782, $2.3, $2.3199, $2.1601
06/09/2020, $2.25, 3470, $2.305, $2.3399, $2.25
06/08/2020, $2.29, 56270, $2.33, $2.344, $2.28
06/05/2020, $2.33, 30489, $2.15, $2.33, $2.15
06/04/2020, $2.18, 82259, $2.25, $2.25, $2.04
06/03/2020, $2.4, 63317, $2.27, $2.4, $2.11
06/02/2020, $2.22, 24517, $2.485, $2.515, $2.22
06/01/2020, $2.4, 30219, $2.52, $2.5761, $2.4
05/29/2020, $2.46, 41791, $2.495, $2.6, $2.4
05/28/2020, $2.51, 7537, $2.42, $2.56, $2.3658
05/27/2020, $2.44, 41410, $2.35, $2.45, $2.3
05/26/2020, $2.4, 64111, $2.55, $2.6, $2.35
05/22/2020, $2.56, 12262, $2.58, $2.58, $2.45
05/21/2020, $2.5, 65122, $2.61, $2.62, $2.3457
05/20/2020, $2.63, 67938, $2.439, $2.63, $2.41
05/19/2020, $2.39, 5598, $2.4, $2.455, $2.36
05/18/2020, $2.41, 21607, $2.37, $2.49, $2.36
05/15/2020, $2.33, 17346, $2.5, $2.5, $2.33
05/14/2020, $2.5, 148129, $2.38, $2.5, $2.295
05/13/2020, $2.38, 49069, $2.42, $2.46, $2.25
05/12/2020, $2.47, 168085, $2.44, $2.5476, $2.36
05/11/2020, $2.4, 298541, $2.07, $2.44, $2.07
