Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.4, 216825, $4.33, $4.42, $4.22
07/30/2020, $4.41, 220114, $4.2, $4.46, $4.16
07/29/2020, $4.26, 160023, $4.2, $4.3, $4.06
07/28/2020, $4.13, 106066, $4.27, $4.27, $4.12
07/27/2020, $4.28, 107292, $4.12, $4.29, $4.12
07/24/2020, $4.1, 126638, $4.18, $4.19, $4.08
07/23/2020, $4.225, 129470, $4.24, $4.28, $4.15
07/22/2020, $4.26, 134784, $4.19, $4.34, $4.19
07/21/2020, $4.19, 140216, $4.21, $4.3, $4.17
07/20/2020, $4.14, 217148, $3.91, $4.17, $3.9
07/17/2020, $3.94, 184747, $3.91, $4.02, $3.8501
07/16/2020, $3.92, 187113, $3.91, $3.98, $3.81
07/15/2020, $3.955, 215124, $3.98, $4.11, $3.925
07/14/2020, $3.89, 213584, $3.9, $3.92, $3.8
07/13/2020, $3.84, 282218, $4.18, $4.2, $3.83
07/10/2020, $4.13, 223748, $4.12, $4.18, $4.055
07/09/2020, $4.1, 265977, $4.13, $4.19, $3.97
07/08/2020, $4.15, 295426, $4.1, $4.24, $4.0726
07/07/2020, $4.1, 291620, $4.13, $4.21, $4.03
07/06/2020, $4.16, 410976, $4.05, $4.26, $3.8007
07/02/2020, $3.98, 314777, $3.9, $4.08, $3.87
07/01/2020, $3.8, 218970, $3.92, $3.98, $3.76
06/30/2020, $3.93, 322011, $3.9, $3.97, $3.83
06/29/2020, $3.9, 272446, $3.81, $3.99, $3.76
06/26/2020, $3.74, 1262771, $3.98, $3.9895, $3.7
06/25/2020, $4, 433940, $4.03, $4.1386, $3.895
06/24/2020, $4.05, 500637, $4.31, $4.31, $4.03
06/23/2020, $4.38, 471731, $4.43, $4.47, $4.23
06/22/2020, $4.43, 349993, $4.3, $4.46, $4.27
06/19/2020, $4.37, 1779589, $4.2, $4.4, $4.14
06/18/2020, $4.19, 705041, $3.92, $4.27, $3.92
06/17/2020, $4.025, 306817, $3.91, $4.17, $3.89
06/16/2020, $4.25, 393918, $4.35, $4.39, $4.11
06/15/2020, $4.15, 365172, $3.88, $4.19, $3.84
06/12/2020, $3.87, 311647, $3.82, $3.92, $3.71
06/11/2020, $3.71, 375117, $4.01, $4.06, $3.69
06/10/2020, $4.055, 374525, $4.52, $4.52, $4.025
06/09/2020, $4.56, 300236, $4.46, $4.58, $4.37
06/08/2020, $4.525, 411483, $4.56, $4.62, $4.42
06/05/2020, $4.53, 432088, $4.54, $4.68, $4.47
06/04/2020, $4.41, 256817, $4.46, $4.6, $4.4
06/03/2020, $4.46, 431566, $4.33, $4.53, $4.3
06/02/2020, $4.29, 334395, $4.34, $4.3475, $4.15
06/01/2020, $4.33, 434997, $4.41, $4.5, $4.3
05/29/2020, $4.4, 654447, $4.09, $4.43, $3.91
05/28/2020, $4.11, 386649, $4.22, $4.22, $4.03
05/27/2020, $4.22, 417002, $4.11, $4.24, $3.92
05/26/2020, $4.06, 314979, $4.03, $4.11, $3.91
05/22/2020, $3.875, 293912, $3.84, $3.9, $3.71
05/21/2020, $3.84, 389532, $4.13, $4.14, $3.83
05/20/2020, $4.11, 505282, $3.95, $4.14, $3.92
05/19/2020, $3.9, 599368, $3.55, $3.948, $3.485
05/18/2020, $3.55, 445894, $3.39, $3.6, $3.39
05/15/2020, $3.28, 319574, $3.24, $3.3899, $3.21
05/14/2020, $3.36, 494051, $3.22, $3.36, $3.09
05/13/2020, $3.32, 481457, $3.4, $3.42, $3.21
05/12/2020, $3.42, 526730, $3.45, $3.45, $3.28
05/11/2020, $3.45, 540908, $3.61, $3.61, $3.42
