Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.36, 29133, $4.49, $4.49, $4.31
07/30/2020, $4.53, 19762, $4.56, $4.72, $4.51
07/29/2020, $4.56, 23607, $4.47, $4.695, $4.47
07/28/2020, $4.47, 41063, $4.36, $4.49, $4.29
07/27/2020, $4.36, 45310, $4.55, $4.5617, $4.35
07/24/2020, $4.57, 35406, $4.64, $4.64, $4.52
07/23/2020, $4.65, 37952, $4.77, $4.83, $4.61
07/22/2020, $4.74, 65282, $4.61, $4.9, $4.55
07/21/2020, $4.66, 91005, $4.84, $4.9, $4.65
07/20/2020, $4.8, 46872, $4.76, $4.88, $4.73
07/17/2020, $4.87, 93697, $4.83, $4.88, $4.66
07/16/2020, $4.78, 64925, $4.51, $4.8, $4.301
07/15/2020, $4.55, 72107, $4.22, $4.57, $4.17
07/14/2020, $4.14, 85558, $4.25, $4.27, $4.11
07/13/2020, $4.25, 72770, $4.34, $4.49, $4.24
07/10/2020, $4.31, 95979, $4.35, $4.47, $4.29
07/09/2020, $4.36, 84411, $4.42, $4.47, $4.23
07/08/2020, $4.41, 104820, $4.45, $4.52, $4.3
07/07/2020, $4.47, 98011, $4.46, $4.49, $4.32
07/06/2020, $4.47, 144398, $4.5, $4.5, $4.39
07/02/2020, $4.41, 79338, $4.4, $4.45, $4.31
07/01/2020, $4.31, 116116, $4.27, $4.41, $4.15
06/30/2020, $4.25, 211720, $4.33, $4.37, $4.2
06/29/2020, $4.36, 330844, $3.89, $4.39, $3.89
06/26/2020, $3.87, 2158967, $3.61, $3.99, $3.51
06/25/2020, $3.67, 254712, $3.67, $3.68, $3.5
06/24/2020, $3.7, 303652, $3.96, $3.96, $3.57
06/23/2020, $3.96, 172560, $4.11, $4.11, $3.87
06/22/2020, $4.07, 156351, $4.08, $4.12, $3.96
06/19/2020, $4.08, 190101, $4.06, $4.1, $4
06/18/2020, $4.03, 145598, $3.99, $4.14, $3.91
06/17/2020, $4.02, 178050, $4.15, $4.15, $3.97
06/16/2020, $4.15, 181039, $4.1, $4.16, $4
06/15/2020, $3.95, 191775, $3.87, $4, $3.74
06/12/2020, $4.03, 185645, $3.87, $4.0899, $3.82
06/11/2020, $3.76, 265552, $3.87, $3.9, $3.665
06/10/2020, $4.1, 179229, $4.13, $4.32, $3.9
06/09/2020, $4.11, 316721, $4.42, $4.49, $3.8301
06/08/2020, $4.36, 286839, $4.64, $4.977, $4.22
06/05/2020, $4.53, 199884, $4.21, $4.64, $4.141
06/04/2020, $4.03, 123119, $4.21, $4.2615, $3.975
06/03/2020, $4.26, 314392, $3.88, $4.35, $3.78
06/02/2020, $3.77, 66686, $3.51, $3.79, $3.5
06/01/2020, $3.51, 90639, $3.54, $3.647, $3.44
05/29/2020, $3.5, 112419, $3.76, $3.7899, $3.47
05/28/2020, $3.83, 147312, $3.89, $3.95, $3.7
05/27/2020, $3.82, 107768, $3.97, $3.97, $3.55
05/26/2020, $3.73, 136945, $3.55, $3.86, $3.42
05/22/2020, $3.35, 72740, $3.28, $3.37, $3.11
05/21/2020, $3.27, 66753, $3.34, $3.37, $3.2121
05/20/2020, $3.34, 107443, $3.32, $3.37, $3.15
05/19/2020, $3.24, 101559, $3.3, $3.585, $3.15
05/18/2020, $3.33, 231563, $3.4, $3.465, $3.09
05/15/2020, $3.09, 179717, $3.05, $3.19, $2.88
05/14/2020, $3.04, 202178, $3.02, $3.09, $2.83
05/13/2020, $3.09, 138107, $3.29, $3.29, $3.01
05/12/2020, $3.31, 119048, $3.44, $3.445, $3.31
05/11/2020, $3.36, 124469, $3.6, $3.78, $3.34
