Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.38, 120803, $3.34, $3.41, $3.21
07/30/2020, $3.3, 66539, $3.3, $3.34, $3.22
07/29/2020, $3.35, 79141, $3.32, $3.38, $3.21
07/28/2020, $3.29, 220408, $3.5, $3.58, $3.2
07/27/2020, $3.445, 131533, $3.23, $3.45, $3.23
07/24/2020, $3.17, 77256, $3.21, $3.2599, $3.1
07/23/2020, $3.21, 97356, $3.29, $3.32, $3.2
07/22/2020, $3.25, 121246, $3.35, $3.45, $3.25
07/21/2020, $3.33, 128643, $3.48, $3.5688, $3.29
07/20/2020, $3.43, 225844, $3.35, $3.4699, $3.27
07/17/2020, $3.31, 128291, $3.34, $3.3634, $3.17
07/16/2020, $3.26, 126951, $3.4, $3.45, $3.23
07/15/2020, $3.46, 134341, $3.4, $3.5, $3.34
07/14/2020, $3.37, 161786, $3.45, $3.64, $3.3
07/13/2020, $3.43, 249070, $3.55, $3.69, $3.31
07/10/2020, $3.38, 210094, $3.21, $3.44, $3.15
07/09/2020, $3.21, 159080, $3.34, $3.34, $3.15
07/08/2020, $3.29, 256347, $3.45, $3.45, $3.14
07/07/2020, $3.39, 146577, $3.58, $3.68, $3.34
07/06/2020, $3.62, 265638, $3.875, $3.92, $3.47
07/02/2020, $3.86, 167788, $3.68, $3.94, $3.68
07/01/2020, $3.68, 284136, $4.03, $4.1, $3.51
06/30/2020, $4.06, 278235, $3.85, $4.1348, $3.68
06/29/2020, $3.81, 661507, $4.34, $4.395, $3.68
06/26/2020, $4.05, 3616477, $5.05, $5.1025, $4.02
06/25/2020, $5.01, 422100, $5.48, $5.7, $4.91
06/24/2020, $5.44, 352046, $5.15, $5.48, $5.0625
06/23/2020, $5.12, 199463, $5.25, $5.29, $5
06/22/2020, $5.24, 147776, $5.16, $5.25, $5.06
06/19/2020, $5.13, 139559, $5.02, $5.19, $4.9585
06/18/2020, $4.99, 95789, $5.02, $5.2, $4.92
06/17/2020, $5.05, 108474, $5.04, $5.25, $5.03
06/16/2020, $5.05, 134895, $5.06, $5.23, $4.8959
06/15/2020, $4.85, 182359, $4.79, $5.18, $4.775
06/12/2020, $4.91, 124665, $4.64, $4.94, $4.6
06/11/2020, $4.43, 239164, $5.01, $5.13, $4.38
06/10/2020, $5.13, 219051, $4.97, $5.25, $4.8
06/09/2020, $5.04, 202921, $5.04, $5.14, $4.84
06/08/2020, $5.03, 171745, $5.12, $5.27, $5
06/05/2020, $5.12, 165483, $5, $5.14, $4.8528
06/04/2020, $4.96, 190341, $4.81, $4.98, $4.71
06/03/2020, $4.81, 175168, $4.98, $4.98, $4.77
06/02/2020, $4.89, 216742, $4.92, $5.09, $4.73
06/01/2020, $4.86, 163976, $4.36, $4.96, $4.36
05/29/2020, $4.45, 238435, $4.86, $4.97, $4.36
05/28/2020, $4.86, 242514, $4.71, $4.96, $4.6978
05/27/2020, $4.7, 144087, $4.55, $4.7, $4.33
05/26/2020, $4.5, 206655, $4.28, $4.58, $4.2
05/22/2020, $4.28, 92717, $4.18, $4.33, $4.17
05/21/2020, $4.21, 109026, $4.24, $4.36, $4.1501
05/20/2020, $4.2, 142021, $4.15, $4.25, $4.07
05/19/2020, $4.14, 143151, $3.87, $4.1754, $3.86
05/18/2020, $3.82, 362504, $4.12, $4.26, $3.75
05/15/2020, $4.13, 287855, $3.96, $4.248, $3.91
05/14/2020, $3.95, 243112, $3.78, $4, $3.5201
05/13/2020, $3.81, 207429, $3.88, $3.9, $3.52
05/12/2020, $3.84, 135813, $3.86, $3.9168, $3.63
05/11/2020, $3.81, 357247, $3.52, $4.03, $3.51
