Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.09, 137322, $4.17, $4.24, $4.05
07/30/2020, $4.2, 254777, $4.09, $4.22, $4.03
07/29/2020, $4.13, 260181, $4.1, $4.265, $4
07/28/2020, $4.09, 139052, $4.17, $4.21, $4.08
07/27/2020, $4.18, 361467, $4.18, $4.23, $3.99
07/24/2020, $4.15, 216374, $4.26, $4.31, $4.13
07/23/2020, $4.26, 178853, $4.28, $4.4599, $4.24
07/22/2020, $4.28, 167262, $4.41, $4.45, $4.26
07/21/2020, $4.43, 343077, $4.43, $4.63, $4.385
07/20/2020, $4.4, 493740, $4.64, $4.73, $4.3
07/17/2020, $4.705, 560980, $4.49, $4.95, $4.46
07/16/2020, $4.56, 234510, $4.37, $4.6, $4.26
07/15/2020, $4.4, 243842, $4.17, $4.46, $4.17
07/14/2020, $4.14, 171311, $4.09, $4.15, $3.9865
07/13/2020, $4.06, 190430, $4.22, $4.28, $4.05
07/10/2020, $4.17, 128820, $4.14, $4.27, $4.067
07/09/2020, $4.15, 164862, $4.34, $4.39, $4.13
07/08/2020, $4.35, 323861, $4.28, $4.4001, $4.18
07/07/2020, $4.32, 370008, $4.46, $4.49, $4.29
07/06/2020, $4.46, 412886, $4.74, $4.74, $4.44
07/02/2020, $4.6, 191378, $4.82, $4.85, $4.58
07/01/2020, $4.7, 213270, $4.56, $4.75, $4.56
06/30/2020, $4.55, 522845, $4.58, $4.65, $4.49
06/29/2020, $4.57, 287983, $4.67, $4.79, $4.5
06/26/2020, $4.6, 689191, $4.71, $4.76, $4.55
06/25/2020, $4.76, 199959, $4.7, $4.82, $4.64
06/24/2020, $4.72, 209801, $4.85, $4.89, $4.61
06/23/2020, $4.93, 354999, $4.94, $5.04, $4.88
06/22/2020, $4.84, 294668, $4.72, $4.8727, $4.6
06/19/2020, $4.73, 411830, $4.89, $4.95, $4.69
06/18/2020, $4.83, 227391, $4.87, $4.95, $4.77
06/17/2020, $4.89, 366786, $5.09, $5.1499, $4.84
06/16/2020, $5.09, 302842, $5.39, $5.46, $5.06
06/15/2020, $5.22, 421173, $4.88, $5.24, $4.72
06/12/2020, $4.92, 338121, $4.97, $5.28, $4.8276
06/11/2020, $4.86, 680389, $5.04, $5.29, $4.81
06/10/2020, $5.35, 652258, $5.79, $5.8, $5.15
06/09/2020, $5.66, 1179824, $5.45, $5.82, $5.38
06/08/2020, $5.26, 897227, $5, $5.33, $4.9616
06/05/2020, $4.95, 543526, $4.75, $4.96, $4.72
06/04/2020, $4.67, 412459, $4.65, $4.7701, $4.57
06/03/2020, $4.61, 608305, $4.63, $4.65, $4.555
06/02/2020, $4.61, 576945, $4.57, $4.745, $4.54
06/01/2020, $4.56, 440699, $4.58, $4.74, $4.54
05/29/2020, $4.52, 528898, $4.76, $4.77, $4.46
05/28/2020, $4.79, 549286, $4.85, $5.04, $4.77
05/27/2020, $4.84, 433356, $4.78, $4.8821, $4.7698
05/26/2020, $4.8, 461582, $4.95, $4.95, $4.7
05/22/2020, $4.77, 554187, $4.74, $4.91, $4.57
05/21/2020, $4.7, 360728, $4.65, $4.75, $4.53
05/20/2020, $4.63, 525383, $4.62, $4.83, $4.5834
05/19/2020, $4.54, 458839, $4.44, $4.6921, $4.4
05/18/2020, $4.45, 975589, $4.45, $4.64, $4.33
05/15/2020, $4.36, 662244, $4.33, $4.44, $4.22
05/14/2020, $4.34, 802031, $4.33, $4.5, $4.15
05/13/2020, $4.49, 2165656, $4.75, $4.75, $4.23
05/12/2020, $4.88, 2408744, $5.16, $5.3, $4.8
05/11/2020, $5.08, 7702443, $5.7, $5.75, $4.76
