Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.3, 3769377, $2.46, $2.46, $2.23
07/30/2020, $2.42, 4038827, $2.32, $2.49, $2.29
07/29/2020, $2.34, 4844808, $2.51, $2.52, $2.29
07/28/2020, $2.5, 3759793, $2.59, $2.61, $2.5
07/27/2020, $2.6, 5938600, $2.77, $2.88, $2.535
07/24/2020, $2.63, 3849195, $2.66, $2.72, $2.5101
07/23/2020, $2.65, 4521840, $2.77, $2.9, $2.56
07/22/2020, $2.73, 3732004, $2.8, $2.87, $2.72
07/21/2020, $2.9, 8713873, $3.125, $3.15, $2.78
07/20/2020, $3.1, 5548799, $3.3, $3.4, $3.08
07/17/2020, $3.24, 9676720, $3.29, $3.48, $3.12
07/16/2020, $3.28, 15008530, $3.037, $3.67, $3.01
07/15/2020, $3.28, 34302960, $3.8, $3.89, $3.02
07/14/2020, $4.125, 258508600, $3.2, $5.24, $3.16
07/13/2020, $2.16, 12388650, $2.061, $2.48, $1.92
07/10/2020, $1.78, 1566100, $1.79, $1.85, $1.77
07/09/2020, $1.82, 3334760, $1.97, $2.13, $1.79
07/08/2020, $1.96, 1510078, $1.88, $1.96, $1.85
07/07/2020, $1.9, 1295090, $1.87, $1.96, $1.86
07/06/2020, $1.92, 1579059, $1.97, $1.97, $1.87
07/02/2020, $1.91, 1950967, $1.8, $1.92, $1.78
07/01/2020, $1.78, 2484493, $1.84, $1.84, $1.77
06/30/2020, $1.83, 1828681, $1.8, $1.83, $1.77
06/29/2020, $1.8, 1387371, $1.82, $1.86, $1.79
06/26/2020, $1.84, 3443420, $1.97, $2.02, $1.8
06/25/2020, $2.03, 4198539, $1.81, $2.03, $1.81
06/24/2020, $1.85, 2705348, $1.84, $1.95, $1.83
06/23/2020, $1.9, 2863201, $1.82, $1.98, $1.82
06/22/2020, $1.87, 2013800, $1.82, $1.89, $1.74
06/19/2020, $1.8, 4912975, $1.84, $1.91, $1.78
06/18/2020, $1.8, 3312574, $1.88, $1.92, $1.78
06/17/2020, $1.88, 660956, $1.92, $1.93, $1.8668
06/16/2020, $1.92, 1094230, $1.92, $1.93, $1.85
06/15/2020, $1.86, 1023524, $1.78, $1.86, $1.75
06/12/2020, $1.8, 1148482, $1.88, $1.89, $1.75
06/11/2020, $1.79, 2127757, $1.9, $1.94, $1.76
06/10/2020, $1.94, 1298628, $1.97, $2.03, $1.93
06/09/2020, $1.94, 1583477, $2.06, $2.0776, $1.94
06/08/2020, $2.05, 2244447, $1.97, $2.15, $1.94
06/05/2020, $1.92, 1837587, $1.9, $1.99, $1.88
06/04/2020, $1.89, 1187652, $1.92, $1.97, $1.86
06/03/2020, $1.87, 2634383, $1.98, $2, $1.835
06/02/2020, $1.97, 695418, $1.96, $1.98, $1.92
06/01/2020, $1.93, 1123657, $1.95, $2, $1.91
05/29/2020, $1.955, 1414645, $2.01, $2.03, $1.9
05/28/2020, $2.03, 1410757, $2.08, $2.1, $2
05/27/2020, $2.04, 2051282, $1.99, $2.05, $1.9125
05/26/2020, $1.98, 1625207, $1.9, $1.98, $1.86
05/22/2020, $1.82, 1399711, $1.85, $1.895, $1.81
05/21/2020, $1.84, 1631867, $1.99, $1.99, $1.83
05/20/2020, $1.98, 1409075, $1.9, $2.02, $1.9
05/19/2020, $1.91, 921734, $1.95, $2.02, $1.9
05/18/2020, $1.95, 1313273, $1.86, $1.99, $1.84
05/15/2020, $1.765, 1203625, $1.76, $1.815, $1.72
05/14/2020, $1.75, 800188, $1.8, $1.8, $1.71
05/13/2020, $1.81, 1817756, $1.92, $1.96, $1.75
05/12/2020, $1.89, 1390447, $1.96, $2.05, $1.87
05/11/2020, $1.9, 1211314, $1.78, $1.94, $1.74
