Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.64, 14558790, $2.6, $2.8, $2.43
07/30/2020, $2.55, 10283740, $2.561, $2.66, $2.36
07/29/2020, $2.75, 15147370, $2.88, $2.91, $2.7
07/28/2020, $2.77, 43346250, $2.87, $3.2, $2.66
07/27/2020, $2.64, 52558850, $2.62, $3.08, $2.47
07/24/2020, $2.22, 8569246, $2.25, $2.285, $2.06
07/23/2020, $2.29, 7573474, $2.4, $2.45, $2.23
07/22/2020, $2.34, 5382463, $2.3, $2.37, $2.24
07/21/2020, $2.3, 3807897, $2.35, $2.37, $2.25
07/20/2020, $2.26, 2079884, $2.22, $2.27, $2.15
07/17/2020, $2.23, 1595126, $2.25, $2.26, $2.18
07/16/2020, $2.22, 1761641, $2.2, $2.23, $2.16
07/15/2020, $2.26, 1526587, $2.27, $2.28, $2.18
07/14/2020, $2.25, 1919500, $2.15, $2.25, $2.09
07/13/2020, $2.18, 3641190, $2.34, $2.3763, $2.16
07/10/2020, $2.33, 1765923, $2.3, $2.39, $2.25
07/09/2020, $2.34, 5068611, $2.59, $2.6, $2.26
07/08/2020, $2.54, 9039503, $2.33, $2.58, $2.3082
07/07/2020, $2.29, 2244038, $2.38, $2.3854, $2.23
07/06/2020, $2.38, 4540752, $2.35, $2.49, $2.31
07/02/2020, $2.29, 3108697, $2.38, $2.385, $2.19
07/01/2020, $2.34, 3538328, $2.21, $2.41, $2.21
06/30/2020, $2.22, 3369017, $2.1, $2.36, $2.08
06/29/2020, $2.14, 2960986, $2.163, $2.18, $2.04
06/26/2020, $2.2, 2817925, $2.28, $2.3, $2.15
06/25/2020, $2.33, 1906310, $2.22, $2.38, $2.22
06/24/2020, $2.37, 5062642, $2.5, $2.52, $2.24
06/23/2020, $2.6, 7705064, $2.568, $2.84, $2.41
06/22/2020, $2.51, 10076130, $2.23, $2.7, $2.14
06/19/2020, $2.11, 3510969, $2.25, $2.32, $2.11
06/18/2020, $2.19, 1934332, $2.27, $2.28, $2.19
06/17/2020, $2.27, 1699367, $2.35, $2.35, $2.21
06/16/2020, $2.35, 2648518, $2.46, $2.48, $2.28
06/15/2020, $2.31, 4674170, $2.1, $2.375, $2.05
06/12/2020, $2.29, 4853927, $2.45, $2.4621, $2.14
06/11/2020, $2.18, 11006050, $2.68, $2.8189, $2.16
06/10/2020, $3.1, 18090860, $2.68, $3.31, $2.57
06/09/2020, $2.62, 3664971, $2.55, $2.65, $2.43
06/08/2020, $2.57, 3545787, $2.58, $2.66, $2.48
06/05/2020, $2.6, 4229454, $2.57, $2.68, $2.42
06/04/2020, $2.63, 6913273, $2.54, $2.74, $2.41
06/03/2020, $2.41, 5059256, $2.6, $2.65, $2.32
06/02/2020, $2.51, 16277990, $2.62, $2.98, $2.34
06/01/2020, $2.27, 4076797, $2.14, $2.32, $2.14
05/29/2020, $2.14, 2461524, $2.2, $2.2096, $2.06
05/28/2020, $2.21, 5010302, $2.22, $2.35, $2.18
05/27/2020, $2.12, 4581867, $2.13, $2.21, $1.99
05/26/2020, $1.95, 5653859, $2.17, $2.17, $1.93
05/22/2020, $2.24, 3030148, $2.37, $2.38, $2.2
05/21/2020, $2.33, 6331443, $2.43, $2.52, $2.15
05/20/2020, $2.53, 12852490, $2.45, $2.75, $2.37
05/19/2020, $2.23, 5389200, $2.2, $2.415, $2.15
05/18/2020, $2.19, 5543800, $2.18, $2.31, $2.06
05/15/2020, $2.08, 6998739, $2.27, $2.34, $2.01
05/14/2020, $2.28, 21548360, $2.1, $2.58, $1.92
05/13/2020, $1.89, 8303685, $1.64, $1.91, $1.6
05/12/2020, $1.6, 4215736, $1.61, $1.74, $1.52
05/11/2020, $1.59, 9081928, $1.8, $1.87, $1.5
