Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.46, 338484, $2.55, $2.55, $2.31
07/30/2020, $2.58, 287179, $2.65, $2.68, $2.5
07/29/2020, $2.67, 684293, $2.61, $2.85, $2.6
07/28/2020, $2.57, 401829, $2.597, $2.83, $2.52
07/27/2020, $2.71, 1343174, $3.08, $3.3, $2.68
07/24/2020, $3.36, 3663629, $3, $3.39, $2.95
07/23/2020, $3.13, 55493890, $2.504, $4, $2.23
07/22/2020, $2.11, 343091, $1.98, $2.21, $1.93
07/21/2020, $1.98, 225872, $1.89, $2.04, $1.8701
07/20/2020, $1.89, 168518, $1.92, $1.99, $1.83
07/17/2020, $1.82, 131629, $1.9, $1.9899, $1.82
07/16/2020, $1.88, 303615, $1.85, $2.08, $1.8
07/15/2020, $1.86, 217358, $1.91, $2, $1.8
07/14/2020, $1.88, 155195, $1.79, $1.97, $1.78
07/13/2020, $1.88, 313177, $2.03, $2.09, $1.78
07/10/2020, $1.97, 488285, $1.69, $2.03, $1.6545
07/09/2020, $1.7, 184229, $1.68, $1.79, $1.61
07/08/2020, $1.69, 173140, $1.72, $1.79, $1.63
07/07/2020, $1.75, 312546, $1.85, $1.8996, $1.68
07/06/2020, $1.82, 145799, $1.8, $1.8699, $1.7105
07/02/2020, $1.8, 204630, $1.97, $2.003, $1.76
07/01/2020, $1.9, 401815, $2.05, $2.14, $1.86
06/30/2020, $2.15, 838412, $2.11, $2.21, $1.79
06/29/2020, $1.94, 522266, $1.56, $1.98, $1.5201
06/26/2020, $1.57, 1796919, $1.65, $1.6602, $1.49
06/25/2020, $1.66, 346737, $1.71, $1.73, $1.6
06/24/2020, $1.73, 369153, $1.92, $1.985, $1.61
06/23/2020, $2, 264409, $2.04, $2.07, $1.91
06/22/2020, $2.02, 364431, $2.2, $2.2, $1.9
06/19/2020, $2.11, 398030, $2.4, $2.42, $2.07
06/18/2020, $2.32, 310327, $2.2, $2.45, $2.15
06/17/2020, $2.25, 334980, $2.45, $2.45, $2.23
06/16/2020, $2.44, 526874, $2.78, $2.805, $2.31
06/15/2020, $2.53, 595020, $2.32, $2.6, $2.12
06/12/2020, $2.62, 848275, $2.74, $2.74, $2.37
06/11/2020, $2.18, 1196566, $1.93, $2.46, $1.91
06/10/2020, $2.525, 2978816, $3.19, $3.25, $2.06
06/09/2020, $3.49, 6190798, $3.16, $4.69, $3
06/08/2020, $2.86, 6272884, $1.73, $3.09, $1.7
06/05/2020, $1.325, 1585637, $1.07, $1.42, $1.03
06/04/2020, $0.9877, 264196, $0.96, $1.01, $0.96
06/03/2020, $0.9501, 506992, $1.03, $1.03, $0.9001
06/02/2020, $1.02, 288540, $1.06, $1.06, $1
06/01/2020, $1.05, 646904, $1, $1.09, $0.9707
05/29/2020, $0.9803, 344526, $1.03, $1.045, $0.935
05/28/2020, $1.04, 278918, $1.1, $1.1, $1.02
05/27/2020, $1.08, 352810, $1.14, $1.14, $1.02
05/26/2020, $1.04, 975440, $1.05, $1.17, $0.9958
05/22/2020, $1.02, 235735, $1.04, $1.08, $0.99
05/21/2020, $1.03, 346310, $1.01, $1.11, $0.987
05/20/2020, $0.99, 262114, $0.99, $1.05, $0.9501
05/19/2020, $0.9443, 148135, $0.95, $0.95, $0.89
05/18/2020, $0.931, 288491, $0.87, $0.9418, $0.87
05/15/2020, $0.837, 153121, $0.87, $0.87, $0.8321
05/14/2020, $0.8711, 276657, $0.8501, $0.8999, $0.82
05/13/2020, $0.8755, 372702, $0.9773, $1.0099, $0.85
05/12/2020, $0.952, 331510, $1.03, $1.08, $0.952
05/11/2020, $1.04, 186571, $1.09, $1.0902, $1.03
