Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.363, 1407563, $0.3572, $0.3657, $0.33
07/30/2020, $0.3766, 3954193, $0.359, $0.4299, $0.313
07/29/2020, $0.363, 2068091, $0.39, $0.4, $0.34
07/28/2020, $0.382, 2606240, $0.3802, $0.418, $0.38
07/27/2020, $0.4145, 2569062, $0.42, $0.455, $0.4
07/24/2020, $0.4289, 2201124, $0.4248, $0.48, $0.4051
07/23/2020, $0.4226, 474526, $0.41, $0.43, $0.405
07/22/2020, $0.4122, 3353397, $0.4267, $0.489, $0.4012
07/21/2020, $0.399, 910496, $0.4201, $0.4349, $0.3913
07/20/2020, $0.4001, 751833, $0.48, $0.48, $0.39
07/17/2020, $0.4273, 487863, $0.4448, $0.45, $0.4011
07/16/2020, $0.4448, 847851, $0.4055, $0.4756, $0.4
07/15/2020, $0.414, 897696, $0.3823, $0.4179, $0.3629
07/14/2020, $0.3731, 569461, $0.3886, $0.398, $0.35
07/13/2020, $0.385, 799239, $0.392, $0.4239, $0.38
07/10/2020, $0.424, 729852, $0.4181, $0.4536, $0.41
07/09/2020, $0.4244, 645599, $0.43, $0.43, $0.4
07/08/2020, $0.4155, 1527908, $0.416, $0.4398, $0.412
07/07/2020, $0.4514, 1891163, $0.45, $0.4689, $0.412
07/06/2020, $0.52, 14860280, $0.45, $0.68, $0.405
07/02/2020, $0.33, 2400461, $0.35, $0.3743, $0.32
07/01/2020, $0.4079, 6634615, $0.4487, $0.45, $0.3613
06/30/2020, $0.7219, 290858, $0.74, $0.7759, $0.71
06/29/2020, $0.7678, 300190, $0.7277, $0.79, $0.71
06/26/2020, $0.76, 1338850, $0.77, $0.79, $0.7001
06/25/2020, $0.795, 689015, $0.65, $0.7997, $0.62
06/24/2020, $0.73, 887110, $0.8279, $0.83, $0.6613
06/23/2020, $0.8267, 912743, $0.8655, $0.91, $0.8022
06/22/2020, $0.8668, 875122, $0.9031, $0.9031, $0.8029
06/19/2020, $0.8731, 975291, $0.9133, $0.97, $0.853
06/18/2020, $0.8669, 989970, $0.8869, $0.93, $0.85
06/17/2020, $0.94, 2200408, $0.87, $0.97, $0.753
06/16/2020, $0.92, 15102770, $1.18, $1.35, $0.8657
06/15/2020, $0.6644, 1362383, $0.5615, $0.6905, $0.55
06/12/2020, $0.6029, 979610, $0.6501, $0.67, $0.563
06/11/2020, $0.5712, 738125, $0.5406, $0.6678, $0.5355
06/10/2020, $0.6426, 1478012, $0.65, $0.73, $0.54
06/09/2020, $0.78, 2044081, $0.87, $0.88, $0.71
06/08/2020, $0.8514, 4423786, $0.85, $0.9211, $0.7614
06/05/2020, $0.6451, 7434305, $0.5985, $0.84, $0.59
06/04/2020, $0.5526, 7989201, $0.41, $0.61, $0.393
06/03/2020, $0.389, 2100035, $0.35, $0.395, $0.3475
06/02/2020, $0.36, 2341405, $0.35, $0.389, $0.345
06/01/2020, $0.3418, 249326, $0.3409, $0.3477, $0.3357
05/29/2020, $0.3357, 363664, $0.344, $0.35, $0.33
05/28/2020, $0.3465, 363247, $0.36, $0.3698, $0.345
05/27/2020, $0.3598, 405091, $0.372, $0.372, $0.3416
05/26/2020, $0.3639, 618022, $0.361, $0.3838, $0.35
05/22/2020, $0.3571, 440918, $0.3572, $0.36, $0.342
05/21/2020, $0.3657, 508143, $0.378, $0.38, $0.3451
05/20/2020, $0.3619, 425807, $0.3799, $0.3799, $0.3505
05/19/2020, $0.365, 377189, $0.3825, $0.385, $0.3605
05/18/2020, $0.3789, 873664, $0.3705, $0.385, $0.3514
05/15/2020, $0.3529, 977636, $0.379, $0.385, $0.33
05/14/2020, $0.3677, 798997, $0.379, $0.38, $0.345
05/13/2020, $0.385, 883577, $0.4233, $0.4299, $0.3801
05/12/2020, $0.42, 1849240, $0.391, $0.43, $0.3695
05/11/2020, $0.38, 802874, $0.365, $0.39, $0.3601
