Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.88, 115468, $4.98, $5.0296, $4.76
07/30/2020, $5.01, 76560, $4.96, $5.02, $4.9104
07/29/2020, $5.06, 49145, $5.01, $5.09, $4.96
07/28/2020, $4.99, 140165, $4.96, $5.02, $4.94
07/27/2020, $5, 68436, $4.91, $5.07, $4.91
07/24/2020, $4.95, 66243, $4.89, $4.97, $4.88
07/23/2020, $4.89, 60620, $4.87, $5.02, $4.86
07/22/2020, $4.91, 56274, $4.82, $4.94, $4.81
07/21/2020, $4.89, 73328, $4.66, $4.89, $4.66
07/20/2020, $4.66, 66537, $4.77, $4.8585, $4.62
07/17/2020, $4.8, 60439, $4.9, $4.9699, $4.76
07/16/2020, $4.93, 42665, $4.95, $5.065, $4.9
07/15/2020, $4.99, 148995, $5.03, $5.1489, $4.9347
07/14/2020, $4.93, 131856, $4.93, $5.01, $4.91
07/13/2020, $4.94, 42533, $4.98, $5.05, $4.7704
07/10/2020, $4.91, 70727, $4.81, $4.92, $4.8
07/09/2020, $4.79, 56210, $5.02, $5.02, $4.74
07/08/2020, $5.03, 63372, $5.05, $5.11, $4.9
07/07/2020, $5.1, 86876, $5.06, $5.24, $5.045
07/06/2020, $5.28, 31708, $5.36, $5.36, $5.21
07/02/2020, $5.23, 39584, $5.44, $5.6097, $5.19
07/01/2020, $5.31, 46939, $5.66, $5.71, $5.255
06/30/2020, $5.65, 107095, $5.16, $5.76, $5.14
06/29/2020, $5.18, 331452, $5.23, $5.3, $5.08
06/26/2020, $5.44, 332833, $5.16, $5.97, $4.93
06/25/2020, $5.25, 70700, $5.03, $5.26, $4.99
06/24/2020, $5.04, 62742, $5.34, $5.34, $5.04
06/23/2020, $5.36, 31309, $5.44, $5.44, $5.34
06/22/2020, $5.35, 50755, $5.08, $5.37, $5.05
06/19/2020, $5.13, 103612, $5.1, $5.13, $5.02
06/18/2020, $5.09, 40071, $5.03, $5.13, $5.01
06/17/2020, $5.08, 19072, $5.38, $5.38, $5.02
06/16/2020, $5.38, 39240, $5.21, $5.47, $5.1
06/15/2020, $5.06, 67664, $4.93, $5.06, $4.93
06/12/2020, $5.14, 53665, $5.15, $5.2, $4.94
06/11/2020, $4.92, 55172, $5.42, $5.42, $4.89
06/10/2020, $5.61, 43418, $5.9, $5.955, $5.61
06/09/2020, $5.94, 53016, $6, $6.14, $5.75
06/08/2020, $6.12, 42347, $6.02, $6.13, $5.84
06/05/2020, $5.87, 77522, $5.53, $6.04, $5.515
06/04/2020, $5.39, 55079, $5.15, $5.43, $5.11
06/03/2020, $5.13, 133846, $5.08, $5.18, $5.055
06/02/2020, $4.93, 21451, $4.94, $5.01, $4.89
06/01/2020, $4.87, 69364, $5, $5.01, $4.84
05/29/2020, $5, 44387, $4.96, $5.1, $4.8999
05/28/2020, $5.07, 47435, $5.36, $5.36, $5.07
05/27/2020, $5.25, 212541, $5.23, $5.37, $5.1666
05/26/2020, $5.07, 76674, $5.18, $5.18, $5.02
05/22/2020, $4.95, 34119, $5.06, $5.06, $4.86
05/21/2020, $5.03, 46009, $4.97, $5.05, $4.97
05/20/2020, $5.01, 91443, $5.02, $5.14, $4.9597
05/19/2020, $4.92, 51612, $4.95, $5.01, $4.83
05/18/2020, $5, 95390, $5.06, $5.12, $4.88
05/15/2020, $4.82, 46906, $4.88, $4.93, $4.67
05/14/2020, $4.87, 62042, $4.7, $4.89, $4.51
05/13/2020, $4.85, 52042, $4.88, $4.93, $4.52
05/12/2020, $4.93, 67906, $5.25, $5.25, $4.82
05/11/2020, $5.26, 58479, $5.16, $5.3, $4.93
