Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.33, 394851, $1.36, $1.36, $1.3
07/30/2020, $1.36, 392514, $1.35, $1.37, $1.34
07/29/2020, $1.38, 275798, $1.37, $1.39, $1.33
07/28/2020, $1.34, 348450, $1.32, $1.37, $1.31
07/27/2020, $1.33, 575755, $1.38, $1.4, $1.31
07/24/2020, $1.39, 751430, $1.38, $1.43, $1.34
07/23/2020, $1.38, 3030139, $1.48, $1.4899, $1.31
07/22/2020, $1.42, 15207030, $1.34, $1.79, $1.3
07/21/2020, $1.33, 454239, $1.39, $1.39, $1.25
07/20/2020, $1.36, 366147, $1.31, $1.36, $1.3
07/17/2020, $1.36, 436991, $1.4, $1.4099, $1.32
07/16/2020, $1.39, 467625, $1.43, $1.43, $1.31
07/15/2020, $1.38, 3364431, $1.3, $1.485, $1.25
07/14/2020, $1.19, 349678, $1.23, $1.25, $1.17
07/13/2020, $1.24, 650578, $1.28, $1.3, $1.19
07/10/2020, $1.28, 440637, $1.3, $1.33, $1.27
07/09/2020, $1.31, 910737, $1.36, $1.37, $1.29
07/08/2020, $1.35, 1029380, $1.36, $1.41, $1.32
07/07/2020, $1.33, 346631, $1.34, $1.35, $1.29
07/06/2020, $1.31, 975203, $1.4, $1.49, $1.25
07/02/2020, $1.39, 904380, $1.45, $1.48, $1.3
07/01/2020, $1.37, 2186663, $1.63, $1.63, $1.36
06/30/2020, $1.76, 565961, $1.74, $1.94, $1.7
06/29/2020, $1.73, 346891, $1.77, $1.81, $1.65
06/26/2020, $1.81, 2074874, $1.98, $2.04, $1.74
06/25/2020, $1.88, 5368504, $1.79, $2.1, $1.65
06/24/2020, $1.65, 338803, $1.59, $1.66, $1.53
06/23/2020, $1.63, 547376, $1.72, $1.79, $1.6
06/22/2020, $1.52, 645352, $1.66, $1.67, $1.45
06/19/2020, $1.61, 138546, $1.67, $1.69, $1.58
06/18/2020, $1.66, 119616, $1.64, $1.69, $1.62
06/17/2020, $1.69, 124851, $1.64, $1.7, $1.6101
06/16/2020, $1.62, 184461, $1.7, $1.7, $1.6
06/15/2020, $1.66, 332714, $1.63, $1.7, $1.562
06/12/2020, $1.64, 281515, $1.66, $1.67, $1.55
06/11/2020, $1.53, 614204, $1.67, $1.74, $1.53
06/10/2020, $1.78, 441872, $1.89, $1.9, $1.65
06/09/2020, $1.8, 581610, $1.92, $1.94, $1.77
06/08/2020, $1.96, 743090, $2, $2.01, $1.78
06/05/2020, $1.98, 1548585, $1.74, $2.03, $1.72
06/04/2020, $1.72, 954974, $1.57, $1.7799, $1.5
06/03/2020, $1.58, 566241, $1.69, $1.75, $1.54
06/02/2020, $1.64, 1956380, $1.8, $1.84, $1.5
06/01/2020, $1.69, 6213471, $1.36, $1.85, $1.3052
05/29/2020, $1.27, 196612, $1.22, $1.3, $1.21
05/28/2020, $1.26, 537007, $1.21, $1.29, $1.15
05/27/2020, $1.24, 264593, $1.35, $1.35, $1.215
05/26/2020, $1.3, 291784, $1.32, $1.32, $1.24
05/22/2020, $1.26, 238648, $1.27, $1.29, $1.22
05/21/2020, $1.27, 318826, $1.31, $1.33, $1.25
05/20/2020, $1.28, 549504, $1.36, $1.37, $1.22
05/19/2020, $1.36, 2907388, $1.18, $1.4599, $1.12
05/18/2020, $1.13, 298270, $1.15, $1.22, $1.1
05/15/2020, $1.1387, 172391, $1.13, $1.24, $1.09
05/14/2020, $1.1226, 230860, $1.15, $1.1699, $1.07
05/13/2020, $1.18, 330965, $1.21, $1.2287, $1.13
05/12/2020, $1.19, 313316, $1.22, $1.24, $1.12
05/11/2020, $1.18, 410660, $1.23, $1.25, $1.17
