Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.67, 565833, $1.77, $1.8193, $1.65
07/30/2020, $1.76, 2523410, $1.71, $1.845, $1.57
07/29/2020, $1.73, 1016806, $1.85, $1.8709, $1.7
07/28/2020, $1.83, 1893206, $1.93, $1.95, $1.72
07/27/2020, $1.89, 2927414, $2.107, $2.15, $1.86
07/24/2020, $2.08, 2002296, $2.1, $2.28, $2.05
07/23/2020, $2.34, 6523816, $2.03, $2.46, $1.98
07/22/2020, $2.02, 4075047, $1.96, $2.19, $1.91
07/21/2020, $1.9, 3124279, $1.98, $2.1, $1.81
07/20/2020, $2.13, 7511612, $1.975, $2.24, $1.81
07/17/2020, $1.9, 20193800, $1.04, $1.99, $1.04
07/16/2020, $1.05, 849560, $1.04, $1.09, $0.97
07/15/2020, $1.17, 4527439, $0.896, $1.62, $0.87
07/14/2020, $0.8986, 144503, $0.935, $0.94, $0.862
07/13/2020, $0.91, 134043, $0.94, $0.95, $0.91
07/10/2020, $0.903, 399511, $0.901, $1.0149, $0.895
07/09/2020, $0.96, 339929, $1, $1, $0.9143
07/08/2020, $1, 301973, $1.02, $1.03, $0.985
07/07/2020, $1.01, 471959, $1.13, $1.144, $1.01
07/06/2020, $1.12, 626519, $1.11, $1.18, $1.1
07/02/2020, $1.11, 823693, $1.15, $1.2199, $1.1
07/01/2020, $1.15, 266000, $1.12, $1.19, $1.12
06/30/2020, $1.13, 553263, $1.23, $1.26, $1.09
06/29/2020, $1.13, 487698, $1.1927, $1.1927, $1.07
06/26/2020, $1.15, 355399, $1.17, $1.27, $1.15
06/25/2020, $1.2, 287331, $1.14, $1.22, $1.14
06/24/2020, $1.13, 433521, $1.26, $1.29, $1.11
06/23/2020, $1.27, 590944, $1.36, $1.41, $1.22
06/22/2020, $1.38, 746294, $1.5, $1.57, $1.36
06/19/2020, $1.65, 3968495, $1.71, $2.09, $1.6001
06/18/2020, $1.62, 3630210, $1.47, $1.8, $1.25
06/17/2020, $1.49, 5883825, $2.54, $2.62, $1.41
06/16/2020, $1.58, 4403768, $1.05, $2.1599, $1.05
06/15/2020, $1.04, 453033, $1.03, $1.305, $1.01
06/12/2020, $1.0184, 56942, $1, $1.1, $1
06/11/2020, $1.01, 74213, $1.04, $1.04, $0.97
06/10/2020, $1.06, 37029, $1.11, $1.1599, $1.02
06/09/2020, $1.1, 106528, $1.16, $1.1605, $1.1
06/08/2020, $1.17, 266551, $1.11, $1.18, $1.11
06/05/2020, $1.05, 93849, $1.01, $1.08, $1.01
06/04/2020, $1.03, 378925, $0.89, $1.1, $0.89
06/03/2020, $0.8805, 142061, $0.89, $0.89, $0.855
06/02/2020, $0.8649, 124902, $0.99, $0.99, $0.85
06/01/2020, $0.9821, 158119, $0.92, $0.99, $0.89
05/29/2020, $0.8998, 56777, $0.8977, $0.91, $0.8599
05/28/2020, $0.8805, 104329, $0.87, $0.916, $0.8501
05/27/2020, $0.86, 87259, $0.82, $0.87, $0.81
05/26/2020, $0.8, 44508, $0.78, $0.8, $0.759
05/22/2020, $0.7773, 44356, $0.7687, $0.7787, $0.7401
05/21/2020, $0.765, 43239, $0.73, $0.78, $0.73
05/20/2020, $0.743, 30396, $0.7, $0.743, $0.7
05/19/2020, $0.7425, 52367, $0.75, $0.75, $0.7
05/18/2020, $0.7301, 67684, $0.7671, $0.7671, $0.72
05/15/2020, $0.74, 46613, $0.79, $0.79, $0.72
05/14/2020, $0.7168, 58629, $0.7, $0.8, $0.7
05/13/2020, $0.6901, 58610, $0.7818, $0.814, $0.6901
05/12/2020, $0.8, 126898, $0.77, $0.82, $0.7525
05/11/2020, $0.8, 42212, $0.765, $0.83, $0.765
