Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.37, 138885, $3.48, $3.49, $3.32
07/30/2020, $3.52, 99570, $3.44, $3.55, $3.41
07/29/2020, $3.495, 229716, $3.57, $3.6, $3.41
07/28/2020, $3.54, 96616, $3.61, $3.6245, $3.5
07/27/2020, $3.6, 233837, $3.51, $3.63, $3.45
07/24/2020, $3.48, 117416, $3.44, $3.52, $3.33
07/23/2020, $3.42, 243912, $3.52, $3.53, $3.33
07/22/2020, $3.52, 290627, $3.64, $3.7, $3.4801
07/21/2020, $3.67, 230079, $4.09, $4.09, $3.63
07/20/2020, $3.82, 498994, $3.78, $3.96, $3.761
07/17/2020, $3.77, 199824, $3.8, $3.89, $3.755
07/16/2020, $3.825, 221974, $3.73, $3.83, $3.63
07/15/2020, $3.76, 488680, $3.51, $3.77, $3.469
07/14/2020, $3.4, 200902, $3.3, $3.4299, $3.16
07/13/2020, $3.31, 329244, $3.53, $3.58, $3.29
07/10/2020, $3.51, 206222, $3.71, $3.71, $3.48
07/09/2020, $3.66, 175688, $3.86, $3.89, $3.61
07/08/2020, $3.84, 223159, $3.8, $3.88, $3.735
07/07/2020, $3.82, 185450, $3.77, $4.1, $3.7601
07/06/2020, $3.81, 164825, $3.73, $3.865, $3.66
07/02/2020, $3.69, 186847, $3.94, $3.94, $3.66
07/01/2020, $3.86, 230817, $3.8, $3.96, $3.76
06/30/2020, $3.78, 246351, $3.93, $3.93, $3.74
06/29/2020, $3.94, 240128, $4.12, $4.2, $3.88
06/26/2020, $4.08, 1402581, $3.88, $4.29, $3.69
06/25/2020, $3.98, 135434, $3.99, $4.08, $3.865
06/24/2020, $3.97, 297684, $4.23, $4.28, $3.92
06/23/2020, $4.27, 459117, $4.09, $4.44, $4.05
06/22/2020, $4.09, 476405, $4.4, $4.4, $3.96
06/19/2020, $4.4, 1914149, $3.65, $4.63, $3.65
06/18/2020, $3.6, 282605, $3.52, $3.63, $3.5
06/17/2020, $3.53, 177822, $3.58, $3.63, $3.53
06/16/2020, $3.56, 205803, $3.67, $3.7, $3.42
06/15/2020, $3.54, 404048, $3.27, $3.68, $3.2501
06/12/2020, $3.36, 215620, $3.42, $3.57, $3.23
06/11/2020, $3.3, 301733, $3.31, $3.49, $3.29
06/10/2020, $3.56, 208755, $3.6, $3.67, $3.53
06/09/2020, $3.59, 400246, $3.37, $3.74, $3.37
06/08/2020, $3.43, 218231, $3.54, $3.63, $3.4
06/05/2020, $3.52, 244215, $3.5, $3.59, $3.41
06/04/2020, $3.36, 155629, $3.36, $3.45, $3.3
06/03/2020, $3.39, 151133, $3.48, $3.54, $3.3375
06/02/2020, $3.41, 166190, $3.41, $3.48, $3.3082
06/01/2020, $3.42, 292505, $3.4, $3.5, $3.28
05/29/2020, $3.42, 259204, $3.55, $3.65, $3.33
05/28/2020, $3.57, 353095, $3.67, $3.87, $3.565
05/27/2020, $3.63, 440897, $3.79, $3.88, $3.52
05/26/2020, $3.76, 936373, $3.87, $3.89, $3.605
05/22/2020, $3.7, 345955, $3.54, $3.72, $3.54
05/21/2020, $3.53, 377946, $3.51, $3.7, $3.51
05/20/2020, $3.5, 454601, $3.5, $3.7, $3.44
05/19/2020, $3.46, 835408, $3.17, $3.61, $3.13
05/18/2020, $3.13, 439748, $2.85, $3.18, $2.85
05/15/2020, $2.86, 213266, $2.92, $2.94, $2.81
05/14/2020, $2.91, 253472, $2.86, $2.94, $2.68
05/13/2020, $2.96, 407934, $3, $3.09, $2.78
05/12/2020, $3.025, 602041, $3.28, $3.33, $3
05/11/2020, $3.19, 636483, $2.9, $3.24, $2.87
