Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.55, 598832, $1.87, $1.8999, $1.55
07/30/2020, $1.94, 5378715, $2.5, $2.5, $1.73
07/29/2020, $2.08, 1263880, $2.21, $2.48, $2
07/28/2020, $2.57, 2534513, $1.79, $2.79, $1.79
07/27/2020, $1.81, 83635, $1.9, $1.9006, $1.78
07/24/2020, $1.89, 69113, $1.73, $1.9, $1.7187
07/23/2020, $1.73, 44253, $1.75, $1.81, $1.72
07/22/2020, $1.79, 42282, $1.78, $1.8096, $1.69
07/21/2020, $1.76, 58428, $1.75, $1.83, $1.72
07/20/2020, $1.73, 494728, $1.67, $1.99, $1.66
07/17/2020, $1.63, 32064, $1.61, $1.69, $1.61
07/16/2020, $1.6097, 40327, $1.6, $1.65, $1.5676
07/15/2020, $1.63, 102916, $1.4335, $1.66, $1.4201
07/14/2020, $1.4, 38637, $1.41, $1.44, $1.345
07/13/2020, $1.4, 15116, $1.51, $1.5279, $1.4
07/10/2020, $1.47, 11772, $1.45, $1.49, $1.41
07/09/2020, $1.48, 25748, $1.59, $1.61, $1.43
07/08/2020, $1.56, 19744, $1.5278, $1.56, $1.5177
07/07/2020, $1.5, 22346, $1.48, $1.545, $1.48
07/06/2020, $1.54, 44252, $1.46, $1.55, $1.4
07/02/2020, $1.45, 29802, $1.47, $1.52, $1.45
07/01/2020, $1.46, 15181, $1.44, $1.51, $1.44
06/30/2020, $1.47, 14695, $1.54, $1.54, $1.46
06/29/2020, $1.54, 16751, $1.58, $1.63, $1.54
06/26/2020, $1.53, 63500, $1.675, $1.675, $1.53
06/25/2020, $1.64, 27013, $1.61, $1.6548, $1.55
06/24/2020, $1.6, 29811, $1.745, $1.745, $1.57
06/23/2020, $1.71, 91172, $1.741, $1.82, $1.69
06/22/2020, $1.73, 47643, $1.64, $1.75, $1.601
06/19/2020, $1.64, 70285, $1.59, $1.67, $1.54
06/18/2020, $1.57, 29174, $1.649, $1.65, $1.57
06/17/2020, $1.61, 12704, $1.6, $1.65, $1.6
06/16/2020, $1.61, 46943, $1.62, $1.665, $1.58
06/15/2020, $1.57, 35945, $1.57, $1.62, $1.5201
06/12/2020, $1.5799, 84412, $1.55, $1.6331, $1.515
06/11/2020, $1.53, 179164, $1.6, $1.6, $1.46
06/10/2020, $1.62, 68592, $1.64, $1.69, $1.58
06/09/2020, $1.66, 19544, $1.67, $1.73, $1.6
06/08/2020, $1.66, 37019, $1.73, $1.74, $1.62
06/05/2020, $1.72, 50913, $1.73, $1.766, $1.66
06/04/2020, $1.68, 27352, $1.68, $1.73, $1.65
06/03/2020, $1.71, 82144, $1.78, $1.8, $1.58
06/02/2020, $1.72, 148157, $1.69, $1.84, $1.6283
06/01/2020, $1.69, 74241, $1.65, $1.69, $1.58
05/29/2020, $1.65, 156735, $1.66, $1.7, $1.52
05/28/2020, $1.66, 173255, $1.76, $1.77, $1.62
05/27/2020, $1.7701, 197799, $1.76, $1.7999, $1.6
05/26/2020, $1.755, 725161, $1.66, $1.84, $1.58
05/22/2020, $1.63, 91019, $1.58, $1.63, $1.515
05/21/2020, $1.59, 59584, $1.65, $1.66, $1.57
05/20/2020, $1.65, 111136, $1.64, $1.68, $1.58
05/19/2020, $1.59, 307859, $1.55, $1.7205, $1.51
05/18/2020, $1.5, 111109, $1.45, $1.57, $1.44
05/15/2020, $1.4, 84948, $1.38, $1.48, $1.3571
05/14/2020, $1.41, 44548, $1.45, $1.45, $1.35
05/13/2020, $1.48, 98756, $1.58, $1.59, $1.3517
05/12/2020, $1.58, 83287, $1.66, $1.72, $1.51
05/11/2020, $1.64, 155815, $1.54, $1.74, $1.53
