Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4949, 4626775, $0.4898, $0.54, $0.48
07/30/2020, $0.47, 1613364, $0.499, $0.5, $0.46
07/29/2020, $0.463, 1780733, $0.5205, $0.522, $0.461
07/28/2020, $0.4958, 3292431, $0.53, $0.5301, $0.4731
07/27/2020, $0.5416, 11090850, $0.4599, $0.5556, $0.4449
07/24/2020, $0.4355, 3845274, $0.43, $0.4399, $0.4111
07/23/2020, $0.43, 1217894, $0.46, $0.4625, $0.4222
07/22/2020, $0.4594, 1613397, $0.4501, $0.47, $0.44
07/21/2020, $0.464, 2667394, $0.47, $0.47, $0.442
07/20/2020, $0.4385, 1642937, $0.422, $0.443, $0.4053
07/17/2020, $0.42, 1852336, $0.405, $0.435, $0.4
07/16/2020, $0.405, 1142632, $0.4006, $0.4097, $0.3806
07/15/2020, $0.4055, 1055623, $0.4, $0.42, $0.3785
07/14/2020, $0.3997, 1904185, $0.4338, $0.4338, $0.38
07/13/2020, $0.423, 1476045, $0.44, $0.45, $0.42
07/10/2020, $0.4479, 1117777, $0.4443, $0.4611, $0.42
07/09/2020, $0.4396, 1772037, $0.4599, $0.46, $0.42
07/08/2020, $0.4584, 2157285, $0.4558, $0.48, $0.4343
07/07/2020, $0.4681, 3943979, $0.5, $0.52, $0.46
07/06/2020, $0.5, 15430690, $0.44, $0.58, $0.425
07/02/2020, $0.42, 4549716, $0.37, $0.44, $0.3647
07/01/2020, $0.3713, 1398814, $0.385, $0.3898, $0.35
06/30/2020, $0.3801, 1163790, $0.3991, $0.41, $0.378
06/29/2020, $0.4001, 1229136, $0.4, $0.4115, $0.38
06/26/2020, $0.395, 1954968, $0.4085, $0.42, $0.38
06/25/2020, $0.4231, 1142785, $0.4128, $0.43, $0.4076
06/24/2020, $0.433, 2518470, $0.432, $0.464, $0.416
06/23/2020, $0.4532, 6361887, $0.41, $0.465, $0.401
06/22/2020, $0.4135, 1690324, $0.421, $0.431, $0.4
06/19/2020, $0.4335, 2038751, $0.45, $0.467, $0.4332
06/18/2020, $0.4388, 1920969, $0.419, $0.465, $0.4043
06/17/2020, $0.429, 2275945, $0.45, $0.465, $0.41
06/16/2020, $0.4657, 1534329, $0.463, $0.4881, $0.45
06/15/2020, $0.47, 2552120, $0.45, $0.485, $0.4312
06/12/2020, $0.489, 2925109, $0.51, $0.52, $0.461
06/11/2020, $0.47, 6152606, $0.478, $0.52, $0.444
06/10/2020, $0.579, 42768030, $0.74, $0.91, $0.562
06/09/2020, $0.52, 17784410, $0.4, $0.5499, $0.3803
06/08/2020, $0.389, 7316419, $0.359, $0.4295, $0.3575
06/05/2020, $0.348, 6386548, $0.33, $0.37, $0.33
06/04/2020, $0.3275, 2625146, $0.3043, $0.3297, $0.301
06/03/2020, $0.307, 2347490, $0.313, $0.315, $0.286
06/02/2020, $0.315, 951519, $0.32, $0.3249, $0.3101
06/01/2020, $0.318, 1564104, $0.3122, $0.327, $0.291
05/29/2020, $0.3338, 2082745, $0.3499, $0.3499, $0.3035
05/28/2020, $0.355, 3073205, $0.35, $0.37, $0.342
05/27/2020, $0.355, 4210463, $0.35, $0.367, $0.335
05/26/2020, $0.3492, 3575931, $0.3461, $0.37, $0.335
05/22/2020, $0.3499, 2194542, $0.35, $0.3547, $0.3345
05/21/2020, $0.355, 4114982, $0.337, $0.37, $0.332
05/20/2020, $0.35, 3454593, $0.361, $0.37, $0.325
05/19/2020, $0.37, 3973357, $0.389, $0.39, $0.365
05/18/2020, $0.39, 8103260, $0.3572, $0.4043, $0.35
05/15/2020, $0.3665, 6468089, $0.362, $0.395, $0.3325
05/14/2020, $0.383, 14550890, $0.32, $0.4096, $0.318
05/13/2020, $0.323, 5971485, $0.382, $0.382, $0.3
05/12/2020, $0.37, 18035250, $0.3554, $0.419, $0.325
05/11/2020, $0.3574, 20003430, $0.305, $0.395, $0.3
