Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3, 140574, $3.04, $3.13, $2.92
07/30/2020, $3.09, 108594, $3.01, $3.13, $2.97
07/29/2020, $3.05, 141228, $3.08, $3.21, $3.01
07/28/2020, $3.07, 137235, $3.07, $3.14, $2.9506
07/27/2020, $3.12, 108341, $3.02, $3.17, $3.02
07/24/2020, $3.1, 103800, $3.24, $3.33, $3.08
07/23/2020, $3.24, 176172, $3.31, $3.36, $3.11
07/22/2020, $3.29, 116166, $3.3, $3.42, $3.25
07/21/2020, $3.4, 166834, $3.33, $3.5, $3.3
07/20/2020, $3.28, 106109, $3.27, $3.31, $3.17
07/17/2020, $3.27, 127263, $3.44, $3.4878, $3.21
07/16/2020, $3.405, 338425, $3.2, $3.5699, $3.1501
07/15/2020, $3.22, 500797, $3, $3.26, $2.91
07/14/2020, $2.86, 328459, $2.85, $2.88, $2.72
07/13/2020, $2.86, 261668, $3.13, $3.14, $2.84
07/10/2020, $3.05, 189417, $2.89, $3.06, $2.79
07/09/2020, $2.86, 281963, $3.07, $3.13, $2.85
07/08/2020, $2.98, 374786, $2.86, $3, $2.75
07/07/2020, $2.895, 156267, $3.16, $3.16, $2.87
07/06/2020, $3.18, 226208, $3.06, $3.19, $3.03
07/02/2020, $2.98, 211975, $3.07, $3.07, $2.9404
07/01/2020, $2.975, 297657, $3.11, $3.18, $2.9
06/30/2020, $3.1, 194418, $3.01, $3.1201, $2.97
06/29/2020, $3.03, 164948, $2.97, $3.155, $2.915
06/26/2020, $2.92, 1195423, $3.16, $3.21, $2.9
06/25/2020, $3.16, 187359, $3.12, $3.19, $3.07
06/24/2020, $3.15, 294475, $3.23, $3.325, $3.07
06/23/2020, $3.31, 194129, $3.38, $3.44, $3.26
06/22/2020, $3.33, 167024, $3.32, $3.38, $3.25
06/19/2020, $3.35, 371432, $3.3, $3.43, $3.3
06/18/2020, $3.33, 190956, $3.18, $3.4, $3.18
06/17/2020, $3.18, 153809, $3.32, $3.32, $3.16
06/16/2020, $3.28, 204141, $3.55, $3.6, $3.19
06/15/2020, $3.44, 263249, $3.1, $3.45, $3.1
06/12/2020, $3.21, 344674, $3.27, $3.34, $3.1
06/11/2020, $3.085, 558938, $3.59, $3.685, $3.08
06/10/2020, $3.8, 429855, $3.92, $3.92, $3.6601
06/09/2020, $3.92, 393223, $3.94, $4.12, $3.82
06/08/2020, $3.99, 541558, $3.95, $4.21, $3.6702
06/05/2020, $3.88, 677997, $3.8, $3.9299, $3.77
06/04/2020, $3.59, 398474, $3.61, $3.84, $3.58
06/03/2020, $3.68, 433155, $3.47, $3.89, $3.44
06/02/2020, $3.44, 561351, $3.51, $3.56, $3.29
06/01/2020, $3.48, 405615, $3.77, $3.8099, $3.47
05/29/2020, $3.765, 358895, $3.66, $3.79, $3.5
05/28/2020, $3.66, 823847, $3.85, $3.95, $3.63
05/27/2020, $3.77, 845251, $3.46, $3.85, $3.46
05/26/2020, $3.42, 401011, $3.29, $3.53, $3.23
05/22/2020, $3.16, 202223, $3.05, $3.19, $2.91
05/21/2020, $3.04, 454166, $2.86, $3.24, $2.82
05/20/2020, $2.85, 548674, $2.79, $3, $2.75
05/19/2020, $2.68, 1170273, $2.41, $2.98, $2.41
05/18/2020, $2.415, 480461, $2.53, $2.6453, $2.4
05/15/2020, $2.39, 436023, $2.36, $2.4, $2.25
05/14/2020, $2.36, 579029, $2.46, $2.46, $2.27
05/13/2020, $2.56, 493305, $2.91, $2.91, $2.45
05/12/2020, $2.92, 265436, $2.97, $3.02, $2.9
05/11/2020, $2.93, 344278, $3.1, $3.17, $2.8826
