Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.16, 1295595, $1.22, $1.22, $1.1
07/30/2020, $1.25, 8067930, $1, $1.3, $0.99
07/29/2020, $0.983, 653272, $0.99, $1.03, $0.96
07/28/2020, $1.01, 235102, $1.03, $1.03, $1.01
07/27/2020, $1.04, 385063, $1.03, $1.04, $1
07/24/2020, $1.01, 1249028, $1.12, $1.12, $0.9801
07/23/2020, $1.11, 331794, $1.14, $1.16, $1.1
07/22/2020, $1.13, 318771, $1.16, $1.17, $1.11
07/21/2020, $1.18, 1014176, $1.21, $1.2108, $1.12
07/20/2020, $1.14, 652564, $1.14, $1.16, $1.05
07/17/2020, $1.15, 980593, $1.2, $1.2, $1.12
07/16/2020, $1.08, 1450015, $1.02, $1.11, $1
07/15/2020, $1.01, 393856, $1.01, $1.03, $1
07/14/2020, $1.01, 260865, $1, $1.01, $0.975
07/13/2020, $1, 459274, $1.01, $1.04, $0.98
07/10/2020, $1.01, 537395, $0.99, $1.06, $0.9801
07/09/2020, $1.01, 496668, $0.99, $1.01, $0.9601
07/08/2020, $0.9842, 706554, $1.01, $1.03, $0.95
07/07/2020, $1.02, 515370, $1.06, $1.065, $1.01
07/06/2020, $1.05, 731446, $1.04, $1.07, $1
07/02/2020, $1.02, 671037, $1.08, $1.1, $1.02
07/01/2020, $1.06, 696911, $1.01, $1.1, $0.98
06/30/2020, $1.01, 1617148, $1.03, $1.03, $0.95
06/29/2020, $1.04, 1279346, $1.11, $1.15, $1.01
06/26/2020, $1.11, 802352, $1.19, $1.23, $1.11
06/25/2020, $1.21, 1019255, $1.18, $1.2901, $1.16
06/24/2020, $1.19, 1545328, $1.29, $1.3, $1.17
06/23/2020, $1.23, 8005461, $1.7, $1.7, $1.2
06/22/2020, $1.51, 1041246, $1.5, $1.51, $1.33
06/19/2020, $1.46, 1389742, $1.5, $1.53, $1.43
06/18/2020, $1.47, 2668143, $1.4, $1.58, $1.34
06/17/2020, $1.37, 859976, $1.34, $1.4, $1.3
06/16/2020, $1.35, 1441864, $1.33, $1.38, $1.23
06/15/2020, $1.29, 1840141, $1.19, $1.35, $1.16
06/12/2020, $1.19, 822267, $1.1, $1.22, $1.1
06/11/2020, $1.08, 933808, $1.15, $1.17, $1.06
06/10/2020, $1.18, 836270, $1.13, $1.19, $1.09
06/09/2020, $1.12, 398698, $1.13, $1.14, $1.09
06/08/2020, $1.15, 787800, $1.11, $1.2227, $1.1
06/05/2020, $1.13, 698200, $1.15, $1.15, $1.05
06/04/2020, $1.14, 1179703, $1.11, $1.16, $1.05
06/03/2020, $1.12, 750941, $1.12, $1.145, $1.1
06/02/2020, $1.11, 964322, $1.16, $1.2, $1.1
06/01/2020, $1.18, 648669, $1.21, $1.23, $1.14
05/29/2020, $1.23, 897266, $1.25, $1.26, $1.13
05/28/2020, $1.26, 1185354, $1.21, $1.29, $1.2
05/27/2020, $1.19, 1891874, $1.17, $1.27, $1.0339
05/26/2020, $1.17, 5718031, $1.4, $1.5, $1
05/22/2020, $1.3, 4096872, $1.03, $1.39, $1.03
05/21/2020, $1.02, 3722005, $1.03, $1.17, $1
05/20/2020, $0.99, 1632944, $0.85, $1.02, $0.85
05/19/2020, $0.9075, 1393839, $0.95, $0.96, $0.805
05/18/2020, $0.94, 3026313, $0.98, $1.03, $0.811
05/15/2020, $0.97, 7644008, $0.79, $0.99, $0.72
05/14/2020, $0.74, 445020, $0.7101, $0.75, $0.6803
05/13/2020, $0.7133, 934454, $0.75, $0.7767, $0.65
05/12/2020, $0.75, 1457701, $0.73, $0.79, $0.73
05/11/2020, $0.7298, 4051879, $0.712, $0.78, $0.67
