Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.38, 1555846, $2.53, $2.53, $2.32
07/30/2020, $2.55, 697244, $2.39, $2.57, $2.39
07/29/2020, $2.45, 979348, $2.5, $2.51, $2.38
07/28/2020, $2.51, 835693, $2.58, $2.6, $2.48
07/27/2020, $2.52, 639662, $2.53, $2.59, $2.45
07/24/2020, $2.51, 822580, $2.57, $2.59, $2.47
07/23/2020, $2.61, 763147, $2.62, $2.69, $2.55
07/22/2020, $2.61, 938088, $2.77, $2.81, $2.58
07/21/2020, $2.78, 1364134, $2.84, $2.85, $2.7302
07/20/2020, $2.8, 1360593, $2.71, $2.84, $2.7
07/17/2020, $2.7, 1015034, $2.65, $2.77, $2.59
07/16/2020, $2.64, 1123392, $2.52, $2.71, $2.46
07/15/2020, $2.53, 1436695, $2.42, $2.58, $2.41
07/14/2020, $2.44, 2551185, $2.42, $2.445, $2.19
07/13/2020, $2.37, 3007322, $2.64, $2.6565, $2.37
07/10/2020, $2.62, 1722793, $2.68, $2.74, $2.6
07/09/2020, $2.7, 1121289, $2.74, $2.8, $2.66
07/08/2020, $2.72, 1254679, $2.76, $2.805, $2.63
07/07/2020, $2.76, 1427441, $2.7, $2.85, $2.69
07/06/2020, $2.74, 2582164, $2.78, $2.8, $2.66
07/02/2020, $2.74, 1846373, $2.85, $2.85, $2.66
07/01/2020, $2.84, 1497342, $2.87, $2.9, $2.75
06/30/2020, $2.84, 1533506, $2.81, $2.85, $2.68
06/29/2020, $2.83, 1642577, $2.85, $2.95, $2.75
06/26/2020, $2.87, 10518130, $2.93, $3.04, $2.82
06/25/2020, $2.92, 3257116, $3, $3.16, $2.9
06/24/2020, $3, 2809700, $3.04, $3.1, $2.81
06/23/2020, $3.01, 4588243, $3.16, $3.23, $2.88
06/22/2020, $3.23, 4932057, $3.15, $3.27, $3.09
06/19/2020, $3, 8532252, $2.75, $3.04, $2.69
06/18/2020, $2.7, 17919900, $2.76, $3.17, $2.64
06/17/2020, $2.515, 4105623, $2.7, $2.73, $2.51
06/16/2020, $2.65, 6987368, $2.68, $2.76, $2.55
06/15/2020, $2.51, 5745690, $2.79, $2.79, $2.5
06/12/2020, $2.68, 23437790, $3.77, $3.85, $2.46
06/11/2020, $3.69, 1772609, $3.93, $3.96, $3.46
06/10/2020, $4.05, 1118454, $4.15, $4.22, $3.83
06/09/2020, $4.06, 1287383, $3.86, $4.27, $3.775
06/08/2020, $3.82, 1137008, $3.65, $3.98, $3.6036
06/05/2020, $3.63, 1037406, $3.8, $3.93, $3.6
06/04/2020, $3.79, 951072, $4.01, $4.0201, $3.67
06/03/2020, $3.98, 715395, $3.86, $4.005, $3.79
06/02/2020, $3.82, 484274, $3.86, $3.91, $3.76
06/01/2020, $3.86, 620909, $3.71, $3.98, $3.7
05/29/2020, $3.67, 638294, $3.7, $3.855, $3.67
05/28/2020, $3.68, 352622, $3.8, $3.925, $3.67
05/27/2020, $3.86, 556022, $3.97, $4, $3.69
05/26/2020, $3.92, 629637, $4.06, $4.2906, $3.905
05/22/2020, $3.92, 797299, $3.99, $4.15, $3.67
05/21/2020, $3.89, 705661, $3.57, $3.93, $3.39
05/20/2020, $3.5, 883760, $3.74, $3.74, $3.42
05/19/2020, $3.63, 1053472, $3.38, $3.81, $3.36
05/18/2020, $3.38, 616389, $3.36, $3.48, $3.28
05/15/2020, $3.24, 536029, $3.3, $3.4, $3.2
05/14/2020, $3.32, 614333, $3.35, $3.35, $3.11
05/13/2020, $3.38, 1382259, $3.22, $3.42, $3.06
05/12/2020, $3.22, 892776, $3.41, $3.44, $3.21
05/11/2020, $3.29, 1301841, $3.33, $3.53, $3.13
