Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.04, 9650366, $1.19, $1.22, $1.01
07/30/2020, $1.01, 2417642, $1.04, $1.09, $1
07/29/2020, $1, 2484953, $0.969, $1.06, $0.95
07/28/2020, $1, 1660716, $1.08, $1.08, $0.9488
07/27/2020, $1.06, 2869954, $1.04, $1.13, $1
07/24/2020, $0.99, 2727091, $0.9488, $1.03, $0.8654
07/23/2020, $0.9688, 8429300, $0.84, $1.05, $0.831
07/22/2020, $0.832, 1119945, $0.8, $0.837, $0.8
07/21/2020, $0.7949, 1933548, $0.8, $0.86, $0.7611
07/20/2020, $0.781, 1253296, $0.75, $0.783, $0.73
07/17/2020, $0.7452, 838361, $0.7106, $0.75, $0.7051
07/16/2020, $0.7196, 561711, $0.69, $0.7241, $0.67
07/15/2020, $0.6938, 340778, $0.682, $0.6955, $0.6724
07/14/2020, $0.6711, 324923, $0.68, $0.6989, $0.67
07/13/2020, $0.6758, 504863, $0.7, $0.7, $0.6726
07/10/2020, $0.7021, 421460, $0.6922, $0.7052, $0.662
07/09/2020, $0.6952, 466334, $0.7133, $0.7257, $0.6887
07/08/2020, $0.7133, 307771, $0.74, $0.74, $0.705
07/07/2020, $0.7071, 825878, $0.7, $0.74, $0.695
07/06/2020, $0.7049, 680298, $0.72, $0.738, $0.6913
07/02/2020, $0.7058, 319137, $0.713, $0.718, $0.7
07/01/2020, $0.7137, 286990, $0.71, $0.725, $0.7
06/30/2020, $0.72, 475363, $0.7, $0.7241, $0.69
06/29/2020, $0.7, 428959, $0.71, $0.7174, $0.69
06/26/2020, $0.695, 730717, $0.7064, $0.73, $0.695
06/25/2020, $0.7167, 290227, $0.7134, $0.7299, $0.69
06/24/2020, $0.72, 476334, $0.7219, $0.7332, $0.7102
06/23/2020, $0.73, 327218, $0.755, $0.755, $0.7272
06/22/2020, $0.735, 332845, $0.75, $0.7597, $0.725
06/19/2020, $0.7279, 803939, $0.75, $0.76, $0.7279
06/18/2020, $0.7378, 726245, $0.735, $0.76, $0.73
06/17/2020, $0.7356, 1208149, $0.743, $0.7613, $0.7151
06/16/2020, $0.743, 783477, $0.7659, $0.7786, $0.7304
06/15/2020, $0.7506, 749210, $0.705, $0.7699, $0.7011
06/12/2020, $0.7409, 681986, $0.7512, $0.779, $0.72
06/11/2020, $0.7457, 1026479, $0.75, $0.775, $0.73
06/10/2020, $0.7794, 1250321, $0.79, $0.8, $0.7655
06/09/2020, $0.79, 716331, $0.7605, $0.79, $0.7605
06/08/2020, $0.784, 1065038, $0.79, $0.8, $0.7759
06/05/2020, $0.7835, 605266, $0.7685, $0.79, $0.761
06/04/2020, $0.76, 683384, $0.78, $0.78, $0.74
06/03/2020, $0.755, 711423, $0.7605, $0.7811, $0.73
06/02/2020, $0.7698, 1107301, $0.7929, $0.7999, $0.7113
06/01/2020, $0.8018, 645956, $0.8346, $0.8458, $0.7704
05/29/2020, $0.8042, 1010007, $0.8067, $0.8225, $0.765
05/28/2020, $0.8001, 518321, $0.83, $0.83, $0.8
05/27/2020, $0.82, 1599101, $0.88, $0.8888, $0.79
05/26/2020, $0.8701, 1739764, $0.83, $0.8851, $0.82
05/22/2020, $0.8079, 997725, $0.81, $0.8198, $0.7845
05/21/2020, $0.8019, 1140074, $0.8099, $0.83, $0.79
05/20/2020, $0.7999, 2131196, $0.7579, $0.81, $0.7551
05/19/2020, $0.74, 897383, $0.7477, $0.7689, $0.72
05/18/2020, $0.7411, 1542093, $0.68, $0.75, $0.6761
05/15/2020, $0.6761, 758589, $0.6804, $0.6918, $0.666
05/14/2020, $0.6672, 702630, $0.66, $0.6922, $0.62
05/13/2020, $0.6922, 1072857, $0.73, $0.73, $0.67
05/12/2020, $0.7199, 1025563, $0.74, $0.7476, $0.69
05/11/2020, $0.7057, 3186733, $0.79, $0.8, $0.7035
