Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.95, 1982736, $2.86, $3.045, $2.73
07/30/2020, $2.86, 473151, $2.79, $2.86, $2.71
07/29/2020, $2.81, 698710, $2.83, $2.8334, $2.74
07/28/2020, $2.84, 1076945, $2.84, $2.93, $2.75
07/27/2020, $2.85, 979449, $2.82, $2.97, $2.76
07/24/2020, $2.82, 997714, $2.82, $2.91, $2.7
07/23/2020, $2.77, 5010244, $2.98, $3.15, $2.75
07/22/2020, $2.69, 374422, $2.71, $2.76, $2.68
07/21/2020, $2.75, 480796, $2.76, $2.775, $2.68
07/20/2020, $2.78, 495270, $2.79, $2.8, $2.6954
07/17/2020, $2.84, 963633, $2.87, $2.9527, $2.785
07/16/2020, $2.9, 1068797, $2.8, $2.93, $2.73
07/15/2020, $2.77, 1424095, $2.62, $2.83, $2.56
07/14/2020, $2.64, 734161, $2.58, $2.66, $2.47
07/13/2020, $2.62, 976256, $2.71, $2.725, $2.59
07/10/2020, $2.73, 456295, $2.74, $2.76, $2.67
07/09/2020, $2.78, 577801, $2.75, $2.79, $2.67
07/08/2020, $2.73, 2142068, $2.67, $2.84, $2.65
07/07/2020, $2.67, 685352, $2.77, $2.77, $2.65
07/06/2020, $2.78, 2709766, $2.87, $2.89, $2.63
07/02/2020, $2.69, 520618, $2.66, $2.8, $2.631
07/01/2020, $2.69, 1219376, $2.69, $2.795, $2.62
06/30/2020, $2.67, 1682480, $2.9, $2.91, $2.6
06/29/2020, $3.04, 4527537, $2.81, $3.36, $2.8
06/26/2020, $2.77, 1586362, $2.72, $2.87, $2.56
06/25/2020, $2.68, 2004400, $2.62, $2.82, $2.555
06/24/2020, $2.52, 769799, $2.58, $2.62, $2.45
06/23/2020, $2.53, 1290092, $2.68, $2.7, $2.48
06/22/2020, $2.84, 1718710, $2.73, $2.98, $2.5882
06/19/2020, $2.68, 742017, $2.84, $2.88, $2.68
06/18/2020, $2.83, 901621, $2.92, $2.92, $2.68
06/17/2020, $2.91, 2353255, $2.91, $3.16, $2.75
06/16/2020, $2.89, 1648370, $2.7, $2.9, $2.5
06/15/2020, $2.7, 1033530, $2.56, $2.73, $2.49
06/12/2020, $2.56, 2199761, $2.52, $2.71, $2.41
06/11/2020, $2.41, 1044326, $2.56, $2.64, $2.36
06/10/2020, $2.73, 1321390, $2.78, $2.86, $2.61
06/09/2020, $2.73, 2278075, $2.62, $2.9712, $2.6
06/08/2020, $2.62, 752541, $2.69, $2.73, $2.56
06/05/2020, $2.67, 1163529, $2.78, $2.78, $2.6
06/04/2020, $2.7, 3429831, $2.5, $2.79, $2.5
06/03/2020, $2.48, 532447, $2.45, $2.51, $2.42
06/02/2020, $2.455, 503970, $2.56, $2.59, $2.44
06/01/2020, $2.56, 689915, $2.49, $2.62, $2.43
05/29/2020, $2.53, 1315960, $2.54, $2.5998, $2.35
05/28/2020, $2.62, 1217447, $2.77, $2.78, $2.55
05/27/2020, $2.75, 1025315, $2.65, $2.85, $2.54
05/26/2020, $2.71, 1222468, $2.81, $2.855, $2.62
05/22/2020, $2.76, 5384095, $2.66, $2.98, $2.46
05/21/2020, $2.53, 525266, $2.55, $2.61, $2.38
05/20/2020, $2.58, 1602075, $2.68, $2.76, $2.53
05/19/2020, $2.61, 3089512, $2.52, $2.69, $2.33
05/18/2020, $2.37, 919605, $2.47, $2.48, $2.25
05/15/2020, $2.3798, 4554125, $2.29, $2.69, $2.057
05/14/2020, $2.55, 1040632, $2.49, $2.6, $2.44
05/13/2020, $2.48, 1298637, $2.6, $2.65, $2.41
05/12/2020, $2.5, 597839, $2.56, $2.6, $2.47
05/11/2020, $2.5, 574660, $2.5, $2.54, $2.4
