Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.1, 31766, $3.07, $3.225, $3.0396
07/30/2020, $3.12, 14918, $3.08, $3.19, $3.035
07/29/2020, $3.12, 22923, $3.07, $3.18, $3.02
07/28/2020, $3.07, 15657, $3.1, $3.1799, $3.03
07/27/2020, $3.07, 35552, $3.09, $3.1343, $3.03
07/24/2020, $3.09, 32464, $3.11, $3.22, $3.02
07/23/2020, $3.14, 40962, $3.2, $3.21, $3.0916
07/22/2020, $3.2, 64962, $3.28, $3.3301, $3.159
07/21/2020, $3.32, 179854, $3.38, $3.57, $3.2166
07/20/2020, $3.41, 31077, $3.32, $3.43, $3.3
07/17/2020, $3.3, 40398, $3.23, $3.452, $3.22
07/16/2020, $3.23, 19296, $3.17, $3.31, $3.17
07/15/2020, $3.2, 25979, $3.17, $3.33, $3.1501
07/14/2020, $3.18, 66456, $3.35, $3.35, $3.12
07/13/2020, $3.26, 60702, $3.4, $3.44, $3.22
07/10/2020, $3.32, 62573, $3.5011, $3.5485, $3.32
07/09/2020, $3.5, 69400, $3.64, $3.7, $3.43
07/08/2020, $3.7199, 326666, $3.57, $3.97, $3.35
07/07/2020, $3.39, 295526, $3.54, $3.79, $3.34
07/06/2020, $3.86, 1054086, $3.21, $4.26, $3.1801
07/02/2020, $3.22, 40303, $3.2, $3.26, $3.15
07/01/2020, $3.27, 47442, $3.04, $3.35, $3.04
06/30/2020, $3.37, 92388, $3.32, $3.477, $3.22
06/29/2020, $3.56, 1121268, $3.13, $4.52, $3.13
06/26/2020, $3.12, 8452, $3.16, $3.33, $3.12
06/25/2020, $3.2107, 1195, $3.16, $3.2107, $3.16
06/24/2020, $3.19, 8688, $3.231, $3.231, $3.16
06/23/2020, $3.335, 4326, $3.2, $3.335, $3.2
06/22/2020, $3.3, 5444, $3.42, $3.42, $3.21
06/19/2020, $3.42, 5415, $3.22, $3.42, $3.2
06/18/2020, $3.26, 11147, $3.3, $3.34, $3.2027
06/17/2020, $3.36, 14728, $3.16, $3.36, $3.16
06/16/2020, $3.18, 11014, $3.19, $3.45, $3.12
06/15/2020, $3.09, 26414, $3.08, $3.4, $2.9434
06/12/2020, $3.16, 14077, $3.08, $3.1894, $3.0575
06/11/2020, $3.1555, 20090, $3.26, $3.26, $3
06/10/2020, $3.33, 27258, $3.42, $3.42, $3.01
06/09/2020, $3.45, 21834, $3.5, $3.64, $3.39
06/08/2020, $3.55, 46628, $3.77, $4.1528, $3.5
06/05/2020, $3.65, 66109, $4.26, $4.43, $3.65
06/04/2020, $4.15, 187439, $3.59, $5.67, $3.23
06/03/2020, $3.59, 16289, $3.11, $3.65, $3.11
06/02/2020, $3.44, 6272, $3.27, $3.45, $3.06
06/01/2020, $3.155, 2054, $3.135, $3.155, $3.05
05/29/2020, $3.09, 983, $3.16, $3.16, $3.09
05/28/2020, $3.09, 11643, $3.19, $3.43, $3.07
05/27/2020, $3.1873, 2608, $3.1, $3.19, $3.1
05/26/2020, $3.15, 8366, $3.1, $3.29, $3.01
05/22/2020, $3.26, 8582, $3.2, $3.5026, $2.86
05/21/2020, $3.27, 12418, $3.07, $3.27, $2.995
05/20/2020, $3.17, 3636, $2.89, $3.2, $2.88
05/19/2020, $3.19, 3427, $2.9752, $3.19, $2.9752
05/18/2020, $3.12, 6530, $3.146, $3.1999, $2.98
05/15/2020, $3, 1181, $3, $3.074, $2.75
05/14/2020, $3, 3643, $2.969, $3.01, $2.89
05/13/2020, $2.97, N/A, $2.97, $2.97, $2.97
05/12/2020, $2.97, 7202, $2.98, $3.0825, $2.97
05/11/2020, $2.88, 3196, $2.95, $3.0442, $2.87
