Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1, 4364, $1.08, $1.1, $1
07/30/2020, $1.085, 57130, $0.95, $1.24, $0.9473
07/29/2020, $0.9481, 468, $0.9119, $0.9481, $0.9119
07/28/2020, $0.92, 3303, $0.92, $0.935, $0.92
07/27/2020, $0.91, 39135, $0.9777, $0.9801, $0.91
07/24/2020, $0.966, 2792, $0.91, $0.966, $0.91
07/23/2020, $0.9201, 10685, $0.91, $0.9437, $0.91
07/22/2020, $0.939, 10210, $0.95, $0.95, $0.93
07/21/2020, $0.95, 7948, $0.93, $0.99, $0.93
07/20/2020, $0.95, 30946, $1.07, $1.079, $0.94
07/17/2020, $1.03, 9257, $1.05, $1.076, $1.03
07/16/2020, $1.08, 39278, $1.089, $1.1499, $1.035
07/15/2020, $1.12, 2319, $1.1285, $1.1285, $1.0847
07/14/2020, $1.05, 3809, $1.089, $1.089, $1.0428
07/13/2020, $1.0852, 910, $1.05, $1.1, $1.05
07/10/2020, $1.1216, 387, $1.1216, $1.1216, $1.1216
07/09/2020, $1.0951, 14614, $1.13, $1.13, $1.03
07/08/2020, $1.04, 3326, $1.14, $1.14, $1.04
07/07/2020, $1.07, 6787, $1.18, $1.18, $1.05
07/06/2020, $1.1, 24671, $1.08, $1.29, $1.01
07/02/2020, $1.07, 4546, $1.14, $1.16, $1.07
07/01/2020, $1.14, 5855, $1.18, $1.195, $1.14
06/30/2020, $1.22, 9225, $1.18, $1.2516, $1.12
06/29/2020, $1.24, 41925, $1.38, $1.4, $1.23
06/26/2020, $1.2999, 143607, $1.21, $1.39, $1.2
06/25/2020, $1.19, 6361, $1.0701, $1.21, $1.0701
06/24/2020, $1.205, 13663, $1.1699, $1.25, $1.1699
06/23/2020, $1.17, 17239, $1.2, $1.2, $1.09
06/22/2020, $1.21, 18079, $1.07, $1.21, $1.07
06/19/2020, $1.15, 9349, $1.18, $1.195, $1.1
06/18/2020, $1.1, 29943, $1.27, $1.27, $1.095
06/17/2020, $1.2138, 128137, $1.07, $1.33, $1.07
06/16/2020, $1.079, 248619, $1.05, $1.35, $1.04
06/15/2020, $1.05, 42650, $1.1, $1.1, $0.97
06/12/2020, $1.1, 194064, $1.05, $1.15, $0.9702
06/11/2020, $1.0002, 63998, $1, $1.0244, $0.93
06/10/2020, $1.0652, 237532, $0.95, $1.24, $0.935
06/09/2020, $0.95, 2601, $0.95, $0.95, $0.9001
06/08/2020, $0.96, 26619, $0.957, $0.96, $0.89
06/05/2020, $0.95, 2113, $0.95, $0.9989, $0.92
06/04/2020, $0.95, 5457, $0.92, $0.9507, $0.92
06/03/2020, $0.92, 1701, $0.9565, $0.9565, $0.92
06/02/2020, $0.9565, 9853, $0.91, $0.9565, $0.91
06/01/2020, $0.95, 2956, $0.91, $0.9556, $0.91
05/29/2020, $0.9, N/A, $0.9, $0.9, $0.9
05/28/2020, $0.9, 8007, $0.93, $0.9765, $0.9
05/27/2020, $0.9897, 23464, $0.9301, $1.0232, $0.93
05/26/2020, $0.9401, N/A, $0.9401, $0.9401, $0.9401
05/22/2020, $0.9401, 2730, $1.05, $1.05, $0.94
05/21/2020, $1, 674, $0.965, $1, $0.965
05/20/2020, $0.94, 402, $0.94, $0.94, $0.94
05/19/2020, $1.05, 298, $1.05, $1.05, $1.05
05/18/2020, $1.02, 77506, $0.99, $1.02, $0.9454
05/15/2020, $0.95, 3888, $0.925, $0.99, $0.925
05/14/2020, $0.925, 4014, $0.9283, $0.9283, $0.925
05/13/2020, $0.9152, N/A, $0.9152, $0.9152, $0.9152
05/12/2020, $0.9152, N/A, $0.9152, $0.9152, $0.9152
05/11/2020, $0.9152, 3196, $0.9102, $0.9152, $0.9101
