Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.02, 1664770, $1.02, $1.14, $0.9001
07/30/2020, $1.02, 583009, $0.99, $1.1, $0.875
07/29/2020, $0.969, 1642416, $1.05, $1.26, $0.8611
07/28/2020, $1.15, 2212687, $0.812, $1.18, $0.7951
07/27/2020, $0.8199, 147856, $0.79, $0.82, $0.7649
07/24/2020, $0.7701, 14248, $0.7899, $0.7899, $0.7618
07/23/2020, $0.7801, 4894, $0.7899, $0.79, $0.7608
07/22/2020, $0.79, 13552, $0.76, $0.79, $0.76
07/21/2020, $0.79, 17127, $0.79, $0.7999, $0.76
07/20/2020, $0.7911, 7843, $0.8, $0.8, $0.76
07/17/2020, $0.7911, 9972, $0.7901, $0.8, $0.7561
07/16/2020, $0.796, 22284, $0.774, $0.796, $0.75
07/15/2020, $0.7773, 46609, $0.7513, $0.78, $0.74
07/14/2020, $0.77, 21974, $0.8, $0.8, $0.7502
07/13/2020, $0.7906, 112993, $0.7599, $0.8428, $0.7201
07/10/2020, $0.75, 122538, $0.7453, $0.7553, $0.6924
07/09/2020, $0.73, 104222, $0.82, $0.8499, $0.7056
07/08/2020, $0.781, 53919, $0.83, $0.87, $0.7751
07/07/2020, $0.7801, 108375, $0.765, $0.8751, $0.7502
07/06/2020, $0.78, 12539, $0.8038, $0.82, $0.7657
07/02/2020, $0.7656, 1776, $0.7789, $0.7939, $0.76
07/01/2020, $0.7882, 10597, $0.7601, $0.796, $0.7502
06/30/2020, $0.754, 12646, $0.75, $0.784, $0.75
06/29/2020, $0.76, 66689, $0.7884, $0.7961, $0.7544
06/26/2020, $0.7509, 18069, $0.76, $0.7979, $0.75
06/25/2020, $0.8, 20400, $0.8043, $0.8857, $0.786
06/24/2020, $0.7982, 31830, $0.8401, $0.85, $0.7902
06/23/2020, $0.8099, 8538, $0.81, $0.8199, $0.7931
06/22/2020, $0.8193, 23058, $0.8, $0.8315, $0.7899
06/19/2020, $0.8176, 39780, $0.8202, $0.85, $0.77
06/18/2020, $0.8301, 22775, $0.84, $0.8499, $0.815
06/17/2020, $0.835, 62772, $0.84, $0.85, $0.8284
06/16/2020, $0.8399, 78827, $0.75, $0.84, $0.75
06/15/2020, $0.8012, 4902, $0.8002, $0.85, $0.8
06/12/2020, $0.8499, 43462, $0.85, $0.901, $0.8099
06/11/2020, $0.8459, 11275, $0.86, $0.86, $0.8101
06/10/2020, $0.8457, 14749, $0.9002, $0.9296, $0.8203
06/09/2020, $0.9296, 76459, $1.06, $1.06, $0.804
06/08/2020, $0.94, 105540, $0.9, $1.08, $0.8501
06/05/2020, $0.89, 359799, $0.72, $0.9499, $0.7164
06/04/2020, $0.7, 5015, $0.6801, $0.7, $0.6801
06/03/2020, $0.7, 9958, $0.717, $0.72, $0.68
06/02/2020, $0.685, 60794, $0.69, $0.7, $0.675
06/01/2020, $0.685, 10278, $0.6863, $0.69, $0.6801
05/29/2020, $0.6898, 16911, $0.6995, $0.6995, $0.67
05/28/2020, $0.69, 17513, $0.6999, $0.6999, $0.65
05/27/2020, $0.6962, 29783, $0.68, $0.7466, $0.65
05/26/2020, $0.6901, 23033, $0.71, $0.71, $0.67
05/22/2020, $0.7, 10354, $0.7, $0.7101, $0.6726
05/21/2020, $0.7, 14385, $0.7281, $0.73, $0.6726
05/20/2020, $0.73, 9280, $0.73, $0.73, $0.6969
05/19/2020, $0.7004, 9521, $0.73, $0.74, $0.7004
05/18/2020, $0.7373, 11729, $0.71, $0.75, $0.71
05/15/2020, $0.7035, 12232, $0.71, $0.71, $0.652
05/14/2020, $0.71, 41216, $0.71, $0.73, $0.68
05/13/2020, $0.7189, 19766, $0.75, $0.7597, $0.71
05/12/2020, $0.75, 28481, $0.76, $0.76, $0.7247
05/11/2020, $0.74, 21776, $0.741, $0.75, $0.74
