Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.52, 2784718, $1.51, $1.65, $1.49
07/30/2020, $1.51, 1649977, $1.53, $1.55, $1.45
07/29/2020, $1.54, 1702332, $1.5, $1.57, $1.481
07/28/2020, $1.5, 1872669, $1.55, $1.55, $1.42
07/27/2020, $1.55, 1516151, $1.6, $1.615, $1.55
07/24/2020, $1.6, 1242637, $1.65, $1.66, $1.59
07/23/2020, $1.65, 1707407, $1.7, $1.7, $1.61
07/22/2020, $1.68, 1899642, $1.74, $1.77, $1.66
07/21/2020, $1.77, 3940076, $1.61, $1.85, $1.61
07/20/2020, $1.59, 2068573, $1.63, $1.63, $1.55
07/17/2020, $1.64, 2095985, $1.7, $1.71, $1.62
07/16/2020, $1.7, 2131093, $1.68, $1.77, $1.61
07/15/2020, $1.69, 4067903, $1.57, $1.72, $1.55
07/14/2020, $1.57, 3410893, $1.69, $1.7, $1.525
07/13/2020, $1.68, 5164932, $1.8, $1.8, $1.64
07/10/2020, $1.82, 6418936, $1.8, $1.92, $1.74
07/09/2020, $1.85, 5723148, $1.9772, $1.9772, $1.8
07/08/2020, $1.99, 4058969, $1.98, $2.03, $1.92
07/07/2020, $1.99, 4265154, $2.09, $2.12, $1.95
07/06/2020, $2.12, 3635746, $2.13, $2.2, $2.05
07/02/2020, $2.12, 5006304, $2.285, $2.32, $2.07
07/01/2020, $2.36, 7406504, $2.32, $2.48, $2.2
06/30/2020, $2.14, 8835373, $2.15, $2.4, $2.01
06/29/2020, $2.5216, 625000, $2.632, $2.704, $2.48
06/26/2020, $2.712, 15249644, $3.0368, $3.344, $2.64
06/25/2020, $4.48, 14308663, $4.704, $4.8, $4
06/24/2020, $4.72, 21122363, $5.12, $5.84, $4
06/23/2020, $4.48, 39290625, $3.3488, $5.5904, $3.232
06/22/2020, $3.1984, 3839101, $3.1936, $3.2144, $3.064
06/19/2020, $3.1056, 6167047, $3.2, $3.296, $2.96
06/18/2020, $3.0832, 5534667, $2.88, $3.2, $2.7376
06/17/2020, $2.8176, 4191698, $2.88, $3.0032, $2.7216
06/16/2020, $2.872, 5085971, $2.816, $2.88, $2.64
06/15/2020, $2.6672, 2747495, $2.5616, $2.72, $2.5424
06/12/2020, $2.72, 4434269, $2.7888, $2.848, $2.5824
06/11/2020, $2.616, 4945994, $2.5872, $2.7984, $2.4816
06/10/2020, $2.88, 7925763, $3.0416, $3.056, $2.56
06/09/2020, $3.1184, 9474669, $3.2832, $3.568, $2.9616
06/08/2020, $3.328, 25072688, $2.896, $3.52, $2.72
06/05/2020, $2.696, 23953331, $2.848, $2.944, $2.56
06/04/2020, $2.184, 9492056, $1.9968, $2.2064, $1.9616
06/03/2020, $1.9664, 2460953, $1.9824, $2, $1.9248
06/02/2020, $1.9824, 2238259, $2.048, $2.0528, $1.9696
06/01/2020, $2.0464, 3304276, $2.016, $2.056, $1.952
05/29/2020, $1.9824, 2590311, $2.0176, $2.0208, $1.952
05/28/2020, $2.032, 2338458, $2.08, $2.08, $2.008
05/27/2020, $2.072, 3877341, $2.08, $2.1408, $2
05/26/2020, $2.08, 9142031, $1.96, $2.1392, $1.952
05/22/2020, $2.2528, 2194106, $2.2384, $2.3168, $2.2144
05/21/2020, $2.24, 2396532, $2.2704, $2.28, $2.1616
05/20/2020, $2.2592, 6078393, $2.288, $2.3184, $2.048
05/19/2020, $2.32, 2934689, $2.4224, $2.424, $2.24
05/18/2020, $2.368, 4037266, $2.2544, $2.432, $2.2208
05/15/2020, $2.208, 2254506, $2.2384, $2.28, $2.1664
05/14/2020, $2.264, 2058615, $2.24, $2.32, $2.12
05/13/2020, $2.192, 2808936, $2.288, $2.2944, $2.112
05/12/2020, $2.3008, 2934465, $2.4, $2.4, $2.272
05/11/2020, $2.416, 4494188, $2.544, $2.624, $2.4
