Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.0324, 32736, $0.0356, $0.0356, $0.0324
07/30/2020, $0.0356, 43402, $0.0312, $0.0391, $0.0301
07/29/2020, $0.0315, 540296, $0.0351, $0.0421, $0.03
07/28/2020, $0.035, 92767, $0.041, $0.0424, $0.035
07/27/2020, $0.0401, 51866, $0.0411, $0.043, $0.04
07/24/2020, $0.0411, 13498, $0.04, $0.0448, $0.04
07/23/2020, $0.0401, 62739, $0.04, $0.0446, $0.04
07/22/2020, $0.0404, 148917, $0.04, $0.046, $0.04
07/21/2020, $0.0421, 118367, $0.044, $0.0457, $0.04
07/20/2020, $0.0457, 43080, $0.042, $0.055, $0.042
07/17/2020, $0.0456, 84016, $0.05, $0.0515, $0.0415
07/16/2020, $0.0475, 65836, $0.048, $0.049, $0.0421
07/15/2020, $0.0489, 74691, $0.045, $0.0489, $0.042
07/14/2020, $0.045, 91480, $0.051, $0.051, $0.041
07/13/2020, $0.0462, 165785, $0.045, $0.05, $0.042
07/10/2020, $0.0492, 307824, $0.055, $0.055, $0.04
07/09/2020, $0.0489, 87364, $0.055, $0.055, $0.04
07/08/2020, $0.0463, 99091, $0.044, $0.058, $0.042
07/07/2020, $0.052, 470990, $0.0499, $0.0649, $0.035
07/06/2020, $0.0499, 278568, $0.0519, $0.054, $0.045
07/02/2020, $0.054, 349506, $0.06, $0.0608, $0.051
07/01/2020, $0.056, 513012, $0.0556, $0.0649, $0.0539
06/30/2020, $0.0495, 1987193, $0.08, $0.085, $0.049
06/29/2020, $0.0485, 190431, $0.05, $0.054, $0.045
06/26/2020, $0.0499, 1115429, $0.0413, $0.059, $0.04
06/25/2020, $0.0562, 348230, $0.0686, $0.07, $0.055
06/24/2020, $0.0614, 763160, $0.088, $0.088, $0.05
06/23/2020, $0.0571, 762292, $0.06, $0.0685, $0.05
06/22/2020, $0.0502, 121311, $0.06, $0.06, $0.0475
06/19/2020, $0.0468, 597655, $0.06, $0.0685, $0.03
06/18/2020, $0.0598, 217313, $0.0595, $0.07, $0.025
06/17/2020, $0.057, 121317, $0.07, $0.07, $0.057
06/16/2020, $0.0551, 154822, $0.053, $0.064, $0.0501
06/15/2020, $0.056, 129429, $0.06, $0.0644, $0.05
06/12/2020, $0.0599, 332628, $0.07, $0.07, $0.054
06/11/2020, $0.0639, 338795, $0.05, $0.07, $0.05
06/10/2020, $0.0701, 987192, $0.09, $0.09, $0.0531
06/09/2020, $0.0994, 3423331, $0.09, $0.15, $0.074
06/08/2020, $0.055, 1536890, $0.0175, $0.06, $0.0137
06/05/2020, $0.013, 492775, $0.009, $0.0198, $0.009
06/04/2020, $0.01, 147710, $0.0081, $0.01, $0.0081
06/03/2020, $0.0099, 82322, $0.01, $0.01, $0.008
06/02/2020, $0.0089, 84263, $0.0086, $0.0106, $0.008
06/01/2020, $0.0107, 103278, $0.0109, $0.0111, $0.0085
05/29/2020, $0.0109, 12384, $0.01, $0.0111, $0.01
05/28/2020, $0.0109, 31176, $0.0113, $0.0113, $0.0084
05/27/2020, $0.0111, 87748, $0.01, $0.0111, $0.0084
05/26/2020, $0.0102, 49636, $0.0084, $0.02, $0.008
05/22/2020, $0.0104, 41776, $0.01, $0.011, $0.008
05/21/2020, $0.008, 89357, $0.011, $0.011, $0.008
05/20/2020, $0.0094, 177749, $0.01, $0.011, $0.008
05/19/2020, $0.0094, 241915, $0.0115, $0.0115, $0.008
05/18/2020, $0.0115, 355454, $0.0115, $0.0115, $0.011
05/15/2020, $0.0115, 187143, $0.008, $0.0115, $0.008
05/14/2020, $0.0085, 141528, $0.0117, $0.0117, $0.008
05/13/2020, $0.008, 63072, $0.0088, $0.0117, $0.008
05/12/2020, $0.0118, 288932, $0.0118, $0.012, $0.007
05/11/2020, $0.0102, 189233, $0.01, $0.0104, $0.01
