Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.68, 55400, $4.71, $4.79, $4.5527
07/30/2020, $4.71, 44429, $4.71, $4.7671, $4.44
07/29/2020, $4.73, 38217, $4.63, $4.73, $4.52
07/28/2020, $4.5, 76407, $4.45, $4.69, $4.405
07/27/2020, $4.42, 92451, $4.25, $4.57, $4.21
07/24/2020, $4.21, 57534, $4.18, $4.28, $4.095
07/23/2020, $4.24, 102389, $4.65, $4.86, $4.155
07/22/2020, $4.44, 75567, $4.11, $4.56, $4.07
07/21/2020, $4.12, 31403, $4.17, $4.26, $4.12
07/20/2020, $4.1, 91763, $4.22, $4.31, $4.02
07/17/2020, $4.22, 147919, $3.716, $4.29, $3.69
07/16/2020, $3.68, 41218, $3.72, $3.81, $3.61
07/15/2020, $3.71, 103611, $3.61, $3.7135, $3.5101
07/14/2020, $3.5, 38939, $3.54, $3.62, $3.48
07/13/2020, $3.51, 58470, $3.6, $3.65, $3.49
07/10/2020, $3.57, 79318, $3.52, $3.62, $3.48
07/09/2020, $3.53, 148184, $3.47, $3.62, $3.38
07/08/2020, $3.49, 121842, $3.47, $3.54, $3.43
07/07/2020, $3.49, 93042, $3.48, $3.55, $3.39
07/06/2020, $3.47, 72505, $3.6, $3.65, $3.42
07/02/2020, $3.53, 129590, $3.55, $3.625, $3.42
07/01/2020, $3.36, 149034, $3.51, $3.6, $3.31
06/30/2020, $3.5, 99033, $3.5, $3.59, $3.36
06/29/2020, $3.49, 130917, $3.22, $3.54, $3.21
06/26/2020, $3.15, 2250572, $3.23, $3.39, $3.04
06/25/2020, $3.25, 291891, $3.16, $3.3, $3
06/24/2020, $3.26, 245613, $3.52, $3.55, $3.185
06/23/2020, $3.59, 125266, $3.65, $3.65, $3.56
06/22/2020, $3.62, 155129, $3.7, $3.75, $3.59
06/19/2020, $3.7, 256627, $3.74, $3.78, $3.51
06/18/2020, $3.68, 152323, $3.66, $3.78, $3.55
06/17/2020, $3.7, 386380, $4.21, $4.2794, $3.36
06/16/2020, $4.2, 212656, $4.5, $4.7, $4.15
06/15/2020, $4.29, 374125, $3.98, $4.39, $3.8
06/12/2020, $4.03, 273821, $4.07, $4.15, $3.9
06/11/2020, $3.92, 314553, $4.06, $4.24, $3.86
06/10/2020, $4.47, 270582, $4.26, $4.65, $4.15
06/09/2020, $4.24, 195601, $4.09, $4.39, $3.855
06/08/2020, $4.37, 322393, $4.16, $4.5, $4.05
06/05/2020, $3.59, 270717, $3.61, $4.22, $3.46
06/04/2020, $3.42, 88098, $3.33, $3.58, $3.3
06/03/2020, $3.33, 57123, $3.25, $3.41, $3.22
06/02/2020, $3.19, 54858, $3.26, $3.3, $3.17
06/01/2020, $3.24, 110101, $3.21, $3.34, $3.2
05/29/2020, $3.21, 132268, $3.23, $3.3, $3.03
05/28/2020, $3.24, 153393, $3.14, $3.4797, $3.08
05/27/2020, $3.08, 120811, $2.94, $3.12, $2.91
05/26/2020, $2.84, 586662, $2.7, $3.15, $2.6501
05/22/2020, $2.61, 158813, $2.72, $2.725, $2.56
05/21/2020, $2.75, 453049, $2.55, $2.96, $2.4166
05/20/2020, $3.085, 428896, $2.26, $3.15, $2.25
05/19/2020, $2.24, 123769, $2.62, $2.62, $2.22
05/18/2020, $2.59, 199242, $2.41, $2.72, $2.41
05/15/2020, $2.3, 84242, $2.35, $2.41, $2.165
05/14/2020, $2.355, 76473, $2.26, $2.38, $2.03
05/13/2020, $2.32, 125725, $2.62, $2.62, $2.2007
05/12/2020, $2.66, 107123, $3.06, $3.06, $2.65
05/11/2020, $3.06, 95454, $3, $3.11, $2.71
