Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.43, 5289, $4.38, $4.445, $4.38
07/30/2020, $4.45, 17427, $4.31, $4.46, $4.31
07/29/2020, $4.4, 57070, $4.28, $4.46, $4.2
07/28/2020, $4.3776, 38212, $4.14, $4.41, $4.1194
07/27/2020, $4.19, 80208, $4.41, $4.422, $4.05
07/24/2020, $4.44, 19579, $4.42, $4.47, $4.4
07/23/2020, $4.47, 19744, $4.52, $4.5209, $4.4498
07/22/2020, $4.515, 86404, $4.63, $4.7, $4.428
07/21/2020, $4.5475, 88030, $4.39, $4.92, $4.29
07/20/2020, $4.32, 146580, $4.21, $4.59, $4.18
07/17/2020, $4.16, 67972, $3.98, $4.21, $3.8858
07/16/2020, $3.94, 61908, $3.82, $3.96, $3.73
07/15/2020, $3.81, 96961, $3.75, $3.96, $3.73
07/14/2020, $3.75, 32927, $3.65, $3.84, $3.65
07/13/2020, $3.7, 30766, $3.85, $3.85, $3.625
07/10/2020, $3.73, 117596, $3.43, $3.826, $3.4
07/09/2020, $3.46, 12240, $3.43, $3.56, $3.4
07/08/2020, $3.43, 14681, $3.4527, $3.4527, $3.4102
07/07/2020, $3.42, 17956, $3.4, $3.52, $3.4
07/06/2020, $3.42, 21891, $3.497, $3.53, $3.4
07/02/2020, $3.41, 25501, $3.56, $3.57, $3.41
07/01/2020, $3.5, 26038, $3.57, $3.57, $3.45
06/30/2020, $3.4989, 84489, $3.3616, $3.565, $3.3604
06/29/2020, $3.37, 50829, $3.4499, $3.4499, $3.34
06/26/2020, $3.4, 108746, $3.33, $3.58, $3.33
06/25/2020, $3.36, 34882, $3.39, $3.4, $3.35
06/24/2020, $3.39, 23052, $3.43, $3.5, $3.39
06/23/2020, $3.425, 8033, $3.4547, $3.4693, $3.425
06/22/2020, $3.37, 27893, $3.46, $3.48, $3.36
06/19/2020, $3.48, 37960, $3.54, $3.555, $3.45
06/18/2020, $3.56, 35717, $3.52, $3.58, $3.52
06/17/2020, $3.49, 39132, $3.5, $3.54, $3.43
06/16/2020, $3.49, 137062, $3.49, $3.54, $3.39
06/15/2020, $3.44, 150853, $3.3, $3.5, $3.2341
06/12/2020, $3.26, 160685, $3.14, $3.3002, $3.1142
06/11/2020, $3.12, 46499, $3.08, $3.13, $3.0499
06/10/2020, $3.14, 12571, $3.0703, $3.14, $3.0703
06/09/2020, $3.08, 16015, $3.062, $3.11, $3.06
06/08/2020, $3.08, 17569, $3.08, $3.0917, $3.05
06/05/2020, $3.05, 15760, $3.06, $3.065, $3.035
06/04/2020, $3.05, 105687, $3.02, $3.17, $3.02
06/03/2020, $3, 53820, $2.967, $3.05, $2.95
06/02/2020, $2.83, 3279, $2.86, $2.9, $2.81
06/01/2020, $2.8, 665, $2.8089, $2.8137, $2.8
05/29/2020, $2.73, 25275, $2.72, $2.78, $2.681
05/28/2020, $2.63, 21728, $2.73, $2.79, $2.63
05/27/2020, $2.74, 8360, $2.77, $2.77, $2.72
05/26/2020, $2.74, 2448, $2.77, $2.77, $2.74
05/22/2020, $2.78, 3435, $2.84, $2.84, $2.7788
05/21/2020, $2.81, 3623, $2.841, $2.89, $2.81
05/20/2020, $2.82, 392, $2.87, $2.87, $2.82
05/19/2020, $2.879, 1300, $2.8564, $2.879, $2.8564
05/18/2020, $2.875, 334, $2.875, $2.875, $2.875
05/15/2020, $2.835, 650, $2.845, $2.845, $2.835
05/14/2020, $2.81, 1207, $2.89, $2.89, $2.81
05/13/2020, $2.9, 897, $2.96, $2.96, $2.9
05/12/2020, $2.9199, 2081, $2.915, $2.9351, $2.8903
05/11/2020, $2.91, 6852, $2.9655, $3.0499, $2.91
