Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.13, 444228, $4, $4.13, $3.97
07/30/2020, $3.99, 472118, $3.88, $4.11, $3.78
07/29/2020, $3.87, 627159, $3.9, $3.925, $3.75
07/28/2020, $3.87, 440964, $3.89, $3.919, $3.83
07/27/2020, $3.91, 699460, $4.05, $4.13, $3.875
07/24/2020, $4, 911746, $4.3, $4.3, $3.97
07/23/2020, $4.32, 924533, $4.23, $4.33, $4.185
07/22/2020, $4.23, 513228, $4.17, $4.38, $4.17
07/21/2020, $4.2, 277206, $4.3, $4.305, $4.17
07/20/2020, $4.28, 406385, $4.16, $4.345, $4.15
07/17/2020, $4.15, 361958, $4.21, $4.21, $4.1
07/16/2020, $4.2, 573687, $4.08, $4.26, $4.01
07/15/2020, $4.11, 495974, $3.99, $4.1299, $3.966
07/14/2020, $3.96, 569076, $3.91, $3.96, $3.71
07/13/2020, $3.89, 626471, $4.19, $4.19, $3.87
07/10/2020, $4.17, 522322, $4.3, $4.32, $4.14
07/09/2020, $4.28, 604688, $4.35, $4.4, $4.13
07/08/2020, $4.35, 682070, $4.39, $4.47, $4.3
07/07/2020, $4.39, 642001, $4.56, $4.6, $4.36
07/06/2020, $4.58, 754178, $4.5, $4.61, $4.325
07/02/2020, $4.47, 678446, $4.4, $4.485, $4.3701
07/01/2020, $4.37, 356938, $4.46, $4.4752, $4.325
06/30/2020, $4.46, 516166, $4.34, $4.49, $4.27
06/29/2020, $4.35, 575762, $4.47, $4.5, $4.17
06/26/2020, $4.42, 4703463, $4.58, $4.6565, $4.4
06/25/2020, $4.58, 679694, $4.65, $4.74, $4.5
06/24/2020, $4.65, 712299, $4.55, $4.72, $4.38
06/23/2020, $4.49, 478764, $4.69, $4.79, $4.49
06/22/2020, $4.61, 549574, $4.52, $4.71, $4.5
06/19/2020, $4.49, 845130, $4.5, $4.68, $4.48
06/18/2020, $4.49, 424937, $4.54, $4.59, $4.47
06/17/2020, $4.55, 281235, $4.66, $4.6914, $4.52
06/16/2020, $4.61, 443188, $4.82, $4.83, $4.57
06/15/2020, $4.66, 508755, $4.37, $4.735, $4.305
06/12/2020, $4.41, 393870, $4.43, $4.69, $4.36
06/11/2020, $4.3, 679889, $4.54, $4.62, $4.24
06/10/2020, $4.72, 466027, $4.79, $4.79, $4.5924
06/09/2020, $4.73, 402901, $4.86, $4.95, $4.7
06/08/2020, $4.87, 806751, $4.72, $5.05, $4.72
06/05/2020, $4.76, 722937, $4.7, $4.93, $4.52
06/04/2020, $4.65, 483361, $4.88, $4.92, $4.6
06/03/2020, $4.87, 464774, $4.98, $5, $4.74
06/02/2020, $4.91, 700797, $4.67, $4.98, $4.5626
06/01/2020, $4.59, 715192, $4.28, $4.645, $4.2661
05/29/2020, $4.25, 536269, $4.26, $4.3116, $4.13
05/28/2020, $4.28, 700898, $4.08, $4.44, $4.07
05/27/2020, $4.11, 509218, $4.24, $4.24, $4.03
05/26/2020, $4.19, 520497, $4.27, $4.38, $4.17
05/22/2020, $4.2, 281153, $4.27, $4.32, $4.145
05/21/2020, $4.28, 544313, $4.29, $4.31, $4.11
05/20/2020, $4.29, 409897, $4.38, $4.4, $4.26
05/19/2020, $4.33, 431262, $4.39, $4.44, $4.21
05/18/2020, $4.37, 751216, $4.24, $4.4, $4.18
05/15/2020, $4.15, 369642, $4.15, $4.185, $4.07
05/14/2020, $4.18, 868327, $4.06, $4.2225, $3.955
05/13/2020, $4.13, 940112, $4.45, $4.49, $4.05
05/12/2020, $4.39, 502052, $4.63, $4.64, $4.36
05/11/2020, $4.57, 752274, $4.46, $4.6646, $4.45
