Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.8095, 564641, $0.88, $0.8849, $0.7901
07/30/2020, $0.8225, 535726, $0.8665, $0.8685, $0.805
07/29/2020, $0.859, 2543451, $0.815, $0.9187, $0.801
07/28/2020, $0.795, 286142, $0.803, $0.81, $0.79
07/27/2020, $0.8022, 352229, $0.77, $0.808, $0.77
07/24/2020, $0.789, 320393, $0.802, $0.8155, $0.77
07/23/2020, $0.7871, 492675, $0.828, $0.828, $0.78
07/22/2020, $0.8338, 730488, $0.8599, $0.8599, $0.803
07/21/2020, $0.8698, 3622404, $0.8, $0.909, $0.78
07/20/2020, $0.778, 417206, $0.7773, $0.78, $0.7453
07/17/2020, $0.7703, 290592, $0.7611, $0.78, $0.7402
07/16/2020, $0.7587, 263183, $0.7564, $0.766, $0.726
07/15/2020, $0.7477, 278811, $0.7246, $0.7477, $0.7157
07/14/2020, $0.73, 457139, $0.75, $0.756, $0.71
07/13/2020, $0.7634, 476601, $0.79, $0.79, $0.75
07/10/2020, $0.7925, 343293, $0.8, $0.82, $0.78
07/09/2020, $0.7999, 406228, $0.795, $0.8049, $0.762
07/08/2020, $0.7802, 630968, $0.8197, $0.8197, $0.77
07/07/2020, $0.829, 4433658, $0.735, $0.88, $0.7223
07/06/2020, $0.7398, 339724, $0.734, $0.7599, $0.726
07/02/2020, $0.7313, 449523, $0.76, $0.76, $0.7029
07/01/2020, $0.7348, 460215, $0.7299, $0.75, $0.72
06/30/2020, $0.72, 471582, $0.7567, $0.7567, $0.713
06/29/2020, $0.7567, 328651, $0.7638, $0.7898, $0.7565
06/26/2020, $0.7621, 642800, $0.8035, $0.8035, $0.7375
06/25/2020, $0.788, 366007, $0.8005, $0.8005, $0.78
06/24/2020, $0.8006, 665596, $0.84, $0.84, $0.7711
06/23/2020, $0.84, 570272, $0.8237, $0.85, $0.8101
06/22/2020, $0.8164, 489423, $0.81, $0.8199, $0.78
06/19/2020, $0.81, 383514, $0.828, $0.845, $0.81
06/18/2020, $0.82, 352282, $0.818, $0.8301, $0.8101
06/17/2020, $0.8293, 385426, $0.85, $0.86, $0.815
06/16/2020, $0.8542, 540763, $0.85, $0.87, $0.825
06/15/2020, $0.8492, 713106, $0.8, $0.855, $0.771
06/12/2020, $0.8159, 632160, $0.85, $0.8599, $0.8056
06/11/2020, $0.82, 1450146, $0.85, $0.8918, $0.81
06/10/2020, $0.887, 905717, $0.9254, $0.94, $0.87
06/09/2020, $0.9174, 884161, $0.9347, $0.935, $0.8901
06/08/2020, $0.9161, 2832254, $0.8765, $0.979, $0.8451
06/05/2020, $0.8698, 1130802, $0.88, $0.89, $0.84
06/04/2020, $0.8778, 1603521, $0.89, $0.9, $0.83
06/03/2020, $0.891, 862474, $0.91, $0.92, $0.88
06/02/2020, $0.89, 701158, $0.9281, $0.93, $0.88
06/01/2020, $0.9223, 954280, $0.893, $0.9678, $0.888
05/29/2020, $0.92, 1571097, $0.94, $0.94, $0.8602
05/28/2020, $0.955, 4201885, $0.902, $1.08, $0.866
05/27/2020, $0.886, 2658399, $0.91, $0.92, $0.845
05/26/2020, $0.9284, 3598213, $0.96, $0.97, $0.913
05/22/2020, $0.9198, 13132390, $1.126, $1.2, $0.8895
05/21/2020, $1.23, 126009200, $1.16, $2.1, $1.11
05/20/2020, $0.8217, 546527, $0.81, $0.8449, $0.81
05/19/2020, $0.8445, 631379, $0.8503, $0.878, $0.8205
05/18/2020, $0.905, 1289315, $0.84, $0.93, $0.831
05/15/2020, $0.92, 12446880, $1, $1.09, $0.81
05/14/2020, $0.7498, 105000, $0.77, $0.77, $0.7201
05/13/2020, $0.77, 171763, $0.755, $0.8, $0.708
05/12/2020, $0.783, 219344, $0.81, $0.8352, $0.77
05/11/2020, $0.8054, 1218829, $0.78, $0.8898, $0.72
