Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.17, 162286, $1.18, $1.18, $1.11
07/30/2020, $1.18, 189549, $1.11, $1.2, $1.08
07/29/2020, $1.13, 108718, $1.08, $1.14, $1.075
07/28/2020, $1.1, 127366, $1.12, $1.12, $1.08
07/27/2020, $1.1, 105061, $1.17, $1.17, $1.09
07/24/2020, $1.15, 99206, $1.13, $1.16, $1.13
07/23/2020, $1.14, 90415, $1.11, $1.15, $1.1
07/22/2020, $1.12, 75963, $1.13, $1.14, $1.1
07/21/2020, $1.11, 222531, $1.06, $1.11, $1.06
07/20/2020, $1.08, 279544, $1.11, $1.1199, $1.06
07/17/2020, $1.12, 117657, $1.12, $1.15, $1.0719
07/16/2020, $1.12, 82219, $1.11, $1.15, $1.06
07/15/2020, $1.11, 200519, $1.07, $1.14, $1.07
07/14/2020, $1.07, 86619, $1.09, $1.09, $1.0599
07/13/2020, $1.09, 188919, $1.17, $1.17, $1.06
07/10/2020, $1.16, 145607, $1.11, $1.17, $1.0801
07/09/2020, $1.12, 175876, $1.2, $1.2, $1.07
07/08/2020, $1.16, 175374, $1.25, $1.25, $1.13
07/07/2020, $1.19, 132316, $1.19, $1.218, $1.15
07/06/2020, $1.25, 268789, $1.19, $1.25, $1.18
07/02/2020, $1.16, 464570, $1.06, $1.19, $1.06
07/01/2020, $1.05, 220445, $1.09, $1.12, $1.04
06/30/2020, $1.05, 155268, $1.1, $1.1, $1.05
06/29/2020, $1.08, 234910, $1.01, $1.1, $0.99
06/26/2020, $1.01, 2633209, $1.09, $1.095, $0.9675
06/25/2020, $1.07, 218152, $1.09, $1.13, $1.07
06/24/2020, $1.125, 314759, $1.15, $1.15, $1.05
06/23/2020, $1.17, 201153, $1.18, $1.1894, $1.12
06/22/2020, $1.17, 224152, $1.19, $1.25, $1.14
06/19/2020, $1.2, 290794, $1.28, $1.28, $1.16
06/18/2020, $1.22, 258689, $1.23, $1.28, $1.17
06/17/2020, $1.24, 278078, $1.37, $1.41, $1.23
06/16/2020, $1.38, 557989, $1.26, $1.4, $1.1786
06/15/2020, $1.17, 283582, $1.15, $1.19, $1.07
06/12/2020, $1.15, 390276, $1.27, $1.27, $1.15
06/11/2020, $1.14, 758438, $1.25, $1.29, $1.0992
06/10/2020, $1.46, 398428, $1.59, $1.6099, $1.4
06/09/2020, $1.63, 591880, $1.58, $1.655, $1.45
06/08/2020, $1.58, 1326501, $1.39, $1.73, $1.32
06/05/2020, $1.24, 854660, $1.16, $1.27, $1.06
06/04/2020, $1.08, 193620, $1.04, $1.08, $1.025
06/03/2020, $1.04, 190651, $1.05, $1.07, $1.02
06/02/2020, $1.04, 240968, $1.04, $1.07, $1
06/01/2020, $1.05, 193047, $1.03, $1.1, $1
05/29/2020, $1.06, 707033, $1.22, $1.22, $0.97
05/28/2020, $1.17, 619065, $1.01, $1.2899, $0.99
05/27/2020, $0.99, 432863, $0.9079, $1, $0.88
05/26/2020, $0.8765, 399585, $0.85, $0.9265, $0.85
05/22/2020, $0.87, 117265, $0.89, $0.9, $0.84
05/21/2020, $0.8741, 168571, $0.911, $0.9366, $0.8703
05/20/2020, $0.9109, 167672, $0.8915, $0.9465, $0.8438
05/19/2020, $0.8701, 258105, $0.84, $0.8951, $0.8208
05/18/2020, $0.84, 381677, $0.7989, $0.8463, $0.7801
05/15/2020, $0.7733, 118149, $0.798, $0.798, $0.75
05/14/2020, $0.7845, 159259, $0.7756, $0.7963, $0.7474
05/13/2020, $0.7795, 328078, $0.8315, $0.859, $0.761
05/12/2020, $0.84, 195448, $0.86, $0.865, $0.84
05/11/2020, $0.8708, 261326, $0.81, $0.88, $0.8
