Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.56, 271368, $2.65, $2.7199, $2.54
07/30/2020, $2.68, 212832, $2.75, $2.7612, $2.61
07/29/2020, $2.78, 247859, $2.86, $2.8741, $2.72
07/28/2020, $2.87, 394516, $2.78, $2.95, $2.6648
07/27/2020, $2.89, 440087, $2.99, $3.02, $2.84
07/24/2020, $3, 450859, $2.95, $3.22, $2.95
07/23/2020, $2.99, 1867769, $3.02, $3.18, $2.82
07/22/2020, $3.28, 82760770, $3.8, $4.8, $3.13
07/21/2020, $2.38, 1109508, $2.46, $2.55, $2.38
07/20/2020, $2.4, 152962, $2.47, $2.502, $2.4
07/17/2020, $2.48, 273895, $2.45, $2.49, $2.36
07/16/2020, $2.44, 361661, $2.4, $2.52, $2.28
07/15/2020, $2.45, 334673, $2.45, $2.5001, $2.35
07/14/2020, $2.45, 84084, $2.56, $2.6203, $2.44
07/13/2020, $2.53, 210147, $2.78, $2.78, $2.5
07/10/2020, $2.7, 267708, $2.45, $2.74, $2.39
07/09/2020, $2.45, 48235, $2.52, $2.536, $2.3601
07/08/2020, $2.52, 87308, $2.55, $2.6506, $2.4627
07/07/2020, $2.59, 99189, $2.75, $2.75, $2.48
07/06/2020, $2.65, 60920, $2.67, $2.93, $2.6
07/02/2020, $2.71, 112044, $2.91, $2.93, $2.6202
07/01/2020, $2.9, 88343, $2.93, $3.13, $2.6999
06/30/2020, $2.88, 61397, $2.66, $2.9, $2.66
06/29/2020, $2.78, 67279, $2.6, $2.86, $2.6
06/26/2020, $2.69, 149333, $2.82, $2.868, $2.65
06/25/2020, $2.93, 89017, $2.99, $2.99, $2.75
06/24/2020, $2.95, 124259, $2.7, $3.1, $2.7
06/23/2020, $2.72, 74215, $2.82, $2.8755, $2.7
06/22/2020, $2.78, 102919, $2.85, $2.95, $2.75
06/19/2020, $2.89, 154039, $3.04, $3.1699, $2.86
06/18/2020, $2.92, 136483, $3.17, $3.23, $2.92
06/17/2020, $3.16, 130726, $3.4, $3.58, $3.125
06/16/2020, $3.48, 77651, $3.85, $3.9667, $3.48
06/15/2020, $3.58, 111863, $3.27, $3.6612, $3.23
06/12/2020, $3.55, 145386, $3.37, $3.88, $3.2104
06/11/2020, $3.2, 182278, $3.32, $3.5, $3.05
06/10/2020, $3.56, 437882, $3.75, $4.24, $3.11
06/09/2020, $4.02, 294434, $4.6, $4.6219, $3.9
06/08/2020, $4.6, 3941053, $3.99, $6.24, $3.9
06/05/2020, $3.33, 698400, $2.96, $3.595, $2.82
06/04/2020, $2.76, 320366, $2.55, $2.97, $2.5
06/03/2020, $2.63, 63273, $2.7, $2.7, $2.5
06/02/2020, $2.58, 36416, $2.59, $2.63, $2.5
06/01/2020, $2.64, 102676, $2.74, $2.74, $2.4
05/29/2020, $2.48, 92150, $2.49, $2.5563, $2.25
05/28/2020, $2.55, 126592, $2.7, $2.77, $2.5354
05/27/2020, $2.69, 85323, $2.76, $2.8, $2.62
05/26/2020, $2.7, 121765, $2.75, $2.82, $2.6
05/22/2020, $2.8, 173019, $2.86, $3.04, $2.65
05/21/2020, $2.8, 247589, $2.88, $2.98, $2.6
05/20/2020, $2.6, 104470, $2.51, $2.6832, $2.5
05/19/2020, $2.53, 56171, $2.5, $2.7, $2.49
05/18/2020, $2.54, 116086, $2.5, $2.7, $2.4603
05/15/2020, $2.49, 44487, $2.44, $2.6663, $2.43
05/14/2020, $2.52, 82267, $2.45, $2.7991, $2.2001
05/13/2020, $2.53, 74280, $2.71, $2.76, $2.41
05/12/2020, $2.775, 74588, $2.88, $2.9399, $2.73
05/11/2020, $2.87, 98429, $3, $3, $2.75
