Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.16, 3479295, $3.17, $3.23, $3.05
07/30/2020, $3.27, 12252970, $3.66, $3.66, $3.13
07/29/2020, $3.45, 18749780, $2.95, $3.54, $2.8
07/28/2020, $3.01, 4909228, $3.12, $3.14, $2.93
07/27/2020, $3.18, 3694483, $3.26, $3.34, $3.12
07/24/2020, $3.29, 3954104, $3.29, $3.44, $3.21
07/23/2020, $3.41, 14729180, $3.6, $3.82, $3.3
07/22/2020, $3.41, 9933928, $3.33, $3.5848, $3.3
07/21/2020, $3.29, 6378801, $3.485, $3.5498, $3.24
07/20/2020, $3.44, 9704406, $3.3, $3.59, $3.12
07/17/2020, $3.36, 5605030, $3.43, $3.46, $3.2
07/16/2020, $3.48, 6253796, $3.48, $3.65, $3.36
07/15/2020, $3.66, 7722838, $3.73, $3.76, $3.45
07/14/2020, $3.65, 19159030, $3.49, $3.99, $3.14
07/13/2020, $3.6, 17638270, $4.28, $4.34, $3.46
07/10/2020, $4.41, 14340620, $4.6, $4.65, $4.25
07/09/2020, $4.83, 20273280, $5.01, $5.05, $4.53
07/08/2020, $4.71, 70328430, $4.8, $5.46, $4.38
07/07/2020, $4.15, 36991040, $4.44, $4.55, $3.86
07/06/2020, $5.15, 174262200, $4, $6, $3.9
07/02/2020, $3.13, 129460700, $2.529, $3.55, $2.43
07/01/2020, $2.33, 6370761, $2.15, $2.38, $2.05
06/30/2020, $2.25, 18268550, $2.309, $2.55, $2.2
06/29/2020, $2.56, 45795830, $1.88, $2.6, $1.8
06/26/2020, $1.83, 2798079, $1.87, $1.9, $1.78
06/25/2020, $1.91, 2579363, $1.93, $1.95, $1.85
06/24/2020, $1.98, 7199744, $1.95, $2.04, $1.8
06/23/2020, $1.88, 5657333, $1.78, $1.94, $1.77
06/22/2020, $1.69, 3498970, $1.75, $1.77, $1.62
06/19/2020, $1.83, 2504748, $1.85, $1.85, $1.8
06/18/2020, $1.85, 4327922, $1.9, $1.92, $1.78
06/17/2020, $1.98, 5178191, $1.94, $2.02, $1.85
06/16/2020, $2.02, 10744880, $2.15, $2.2, $1.93
06/15/2020, $2, 16200860, $1.76, $2.1, $1.69
06/12/2020, $1.7, 7553676, $1.63, $1.7, $1.52
06/11/2020, $1.58, 11605890, $1.65, $1.74, $1.52
06/10/2020, $1.8, 21777920, $2.02, $2.03, $1.66
06/09/2020, $2.54, 52634400, $2.1, $3, $1.81
06/08/2020, $1.65, 9521102, $1.54, $1.74, $1.45
06/05/2020, $1.36, 4312957, $1.35, $1.37, $1.25
06/04/2020, $1.22, 11713590, $1.31, $1.51, $1.16
06/03/2020, $1.41, 17073160, $1.25, $1.48, $1.18
06/02/2020, $1.18, 4473917, $1.16, $1.22, $1.14
06/01/2020, $1.14, 1511315, $1.11, $1.17, $1.1
05/29/2020, $1.14, 2108951, $1.11, $1.15, $1.08
05/28/2020, $1.13, 5763066, $1.14, $1.26, $1.1
05/27/2020, $1.13, 2720655, $1.16, $1.171, $1.08
05/26/2020, $1.12, 10106350, $1.05, $1.21, $1.01
05/22/2020, $1.04, 684571, $1.08, $1.08, $0.99
05/21/2020, $1.06, 3684668, $1.02, $1.13, $1
05/20/2020, $1.01, 356838, $1, $1.02, $0.9811
05/19/2020, $0.996, 233261, $1.02, $1.02, $0.99
05/18/2020, $1.0189, 431428, $1.05, $1.05, $1
05/15/2020, $1.01, 212102, $1.01, $1.01, $0.968
05/14/2020, $0.999, 164913, $1.01, $1.01, $0.96
05/13/2020, $0.98, 629799, $1.05, $1.05, $0.94
05/12/2020, $1.02, 402733, $1.04, $1.05, $1.01
05/11/2020, $1, 569522, $1.03, $1.04, $1
