Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.52, 25944, $1.58, $1.62, $1.37
07/30/2020, $1.5275, 56765, $1.62, $1.83, $1.4333
07/29/2020, $1.6249, 67429, $1.4, $1.6249, $1.25
07/28/2020, $1.524, 36773, $1.55, $1.56, $1.42
07/27/2020, $1.6, 30170, $1.51, $1.69, $1.5
07/24/2020, $1.59, 39255, $1.84, $1.84, $1.5
07/23/2020, $1.7238, 103717, $1.7602, $2.29, $1.51
07/22/2020, $1.7, 15753, $1.76, $1.79, $1.64
07/21/2020, $1.65, 36863, $1.99, $1.99, $1.55
07/20/2020, $1.75, 34145, $1.61, $1.87, $1.42
07/17/2020, $1.6558, 50973, $1.51, $1.73, $1.51
07/16/2020, $1.66, 54792, $1.81, $1.83, $1.66
07/15/2020, $1.88, 68997, $2.1, $2.16, $1.52
07/14/2020, $2, 104167, $1.75, $2.2, $1.48
07/13/2020, $1.65, 188530, $2.05, $2.245, $1.6366
07/10/2020, $2.53, 67077, $2.89, $2.89, $2.38
07/09/2020, $2.8, 160745, $3.24, $3.24, $2.45
07/08/2020, $2.58, 506183, $2.76, $2.95, $2.5
07/07/2020, $2.14, 172665, $2.38, $2.47, $1.83
07/06/2020, $2.47, 836422, $3.18, $3.18, $2.2
07/02/2020, $1.6401, 341071, $0.97, $1.8, $0.935
07/01/2020, $0.89, 58395, $0.9, $0.91, $0.77
06/30/2020, $0.85, 84408, $1.04, $1.04, $0.85
06/29/2020, $0.91, 194046, $0.8, $1, $0.71
06/26/2020, $0.7548, 36820, $0.75, $0.8, $0.7
06/25/2020, $0.7999, 18870, $0.8, $0.85, $0.7
06/24/2020, $0.8, 44427, $0.82, $0.9, $0.7679
06/23/2020, $0.83, 21164, $0.79, $0.83, $0.7001
06/22/2020, $0.78, 5089, $0.8, $0.835, $0.71
06/19/2020, $0.79, 39667, $0.75, $0.87, $0.75
06/18/2020, $0.7899, 37466, $0.79, $0.8, $0.74
06/17/2020, $0.7, 34097, $0.7, $0.79, $0.66
06/16/2020, $0.7832, 48235, $0.92, $0.92, $0.72
06/15/2020, $0.9182, 51319, $0.78, $0.924, $0.62
06/12/2020, $0.65, 18243, $0.8, $0.81, $0.63
06/11/2020, $0.62, 14404, $0.636, $0.73, $0.6
06/10/2020, $0.8, 136662, $1.2, $1.2, $0.5473
06/09/2020, $0.88, 513523, $0.4775, $1.2, $0.4611
06/08/2020, $0.4448, 130989, $0.35, $0.5364, $0.35
06/05/2020, $0.3499, 17498, $0.37, $0.39, $0.23
06/04/2020, $0.36, 39360, $0.36, $0.38, $0.3
06/03/2020, $0.3399, 161974, $0.33, $0.3945, $0.33
06/02/2020, $0.3495, 58980, $0.35, $0.3898, $0.282
06/01/2020, $0.35, 13657, $0.2541, $0.37, $0.2541
05/29/2020, $0.32, 41532, $0.352, $0.352, $0.26
05/28/2020, $0.39, 86320, $0.37, $0.3949, $0.3475
05/27/2020, $0.3351, 22172, $0.37, $0.38, $0.3351
05/26/2020, $0.3799, 73169, $0.37, $0.38, $0.3061
05/22/2020, $0.3, 1657, $0.28, $0.37, $0.28
05/21/2020, $0.3577, 21555, $0.3099, $0.3577, $0.2648
05/20/2020, $0.31, 2105, $0.2304, $0.37, $0.2301
05/19/2020, $0.34, 1787, $0.37, $0.37, $0.34
05/18/2020, $0.38, 10195, $0.23, $0.38, $0.23
05/15/2020, $0.2894, 10745, $0.21, $0.29, $0.21
05/14/2020, $0.2495, 3224, $0.2599, $0.2599, $0.21
05/13/2020, $0.2598, 32921, $0.29, $0.29, $0.22
05/12/2020, $0.3, 9728, $0.2901, $0.38, $0.2901
05/11/2020, $0.39, 1621, $0.37, $0.39, $0.37
