Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.33, 560246, $1.33, $1.39, $1.27
07/30/2020, $1.3, 392512, $1.34, $1.34, $1.23
07/29/2020, $1.26, 370813, $1.27, $1.3, $1.24
07/28/2020, $1.28, 358971, $1.33, $1.333, $1.27
07/27/2020, $1.35, 831674, $1.31, $1.41, $1.2901
07/24/2020, $1.31, 274943, $1.33, $1.3461, $1.28
07/23/2020, $1.33, 475720, $1.38, $1.42, $1.33
07/22/2020, $1.44, 279141, $1.48, $1.4873, $1.4
07/21/2020, $1.48, 463191, $1.52, $1.55, $1.45
07/20/2020, $1.53, 1336849, $1.42, $1.55, $1.41
07/17/2020, $1.43, 338692, $1.43, $1.43, $1.38
07/16/2020, $1.39, 799021, $1.36, $1.45, $1.34
07/15/2020, $1.35, 529445, $1.44, $1.44, $1.34
07/14/2020, $1.42, 1554965, $1.375, $1.48, $1.24
07/13/2020, $1.38, 1840711, $1.5, $1.52, $1.38
07/10/2020, $1.49, 671551, $1.52, $1.55, $1.45
07/09/2020, $1.5, 471982, $1.55, $1.62, $1.47
07/08/2020, $1.54, 1015490, $1.59, $1.64, $1.49
07/07/2020, $1.68, 371650, $1.7, $1.72, $1.66
07/06/2020, $1.7, 518035, $1.79, $1.79, $1.66
07/02/2020, $1.72, 546313, $1.71, $1.82, $1.7
07/01/2020, $1.7, 1334643, $1.71, $1.83, $1.66
06/30/2020, $1.6, 631264, $1.7, $1.7357, $1.6
06/29/2020, $1.75, 753444, $1.77, $1.87, $1.67
06/26/2020, $1.72, 1557475, $1.75, $1.8392, $1.635
06/25/2020, $1.78, 645664, $1.79, $1.8, $1.67
06/24/2020, $1.85, 4515809, $1.55, $2.03, $1.55
06/23/2020, $1.6, 974534, $1.71, $1.7377, $1.37
06/22/2020, $1.75, 441989, $1.77, $1.7809, $1.63
06/19/2020, $1.805, 400526, $1.8, $1.85, $1.72
06/18/2020, $1.82, 433746, $1.81, $1.86, $1.66
06/17/2020, $1.88, 711873, $1.9, $1.97, $1.85
06/16/2020, $1.99, 1869027, $2.1, $2.1, $1.91
06/15/2020, $2.03, 2158183, $1.85, $2.07, $1.72
06/12/2020, $1.87, 1180212, $2, $2.05, $1.85
06/11/2020, $1.79, 2340183, $1.83, $2.06, $1.66
06/10/2020, $2.13, 2884558, $2.56, $2.6, $1.93
06/09/2020, $2.67, 6931505, $2.18, $3.09, $1.8
06/08/2020, $2.41, 31140700, $2.31, $2.85, $2.1
06/05/2020, $1.265, 1661361, $1.13, $1.27, $1.13
06/04/2020, $1.13, 2771699, $1.2, $1.24, $1.09
06/03/2020, $1.09, 454539, $1.11, $1.13, $1.05
06/02/2020, $1.11, 529125, $1.18, $1.18, $1.1
06/01/2020, $1.18, 2311586, $1.08, $1.22, $1.04
05/29/2020, $1.06, 580702, $1.08, $1.09, $1.02
05/28/2020, $1.09, 630311, $1.11, $1.1313, $1.07
05/27/2020, $1.14, 2783446, $1.2, $1.25, $1.1
05/26/2020, $1.12, 3039344, $1.13, $1.26, $1.02
05/22/2020, $1.12, 403831, $1.13, $1.15, $1.1
05/21/2020, $1.15, 506881, $1.18, $1.21, $1.1
05/20/2020, $1.19, 626554, $1.13, $1.23, $1.13
05/19/2020, $1.12, 462166, $1.17, $1.18, $1.11
05/18/2020, $1.18, 818276, $1.2, $1.21, $1.11
05/15/2020, $1.185, 901894, $1.19, $1.2, $1.07
05/14/2020, $1.17, 1181098, $1.27, $1.29, $1.05
05/13/2020, $1.35, 1657539, $1.48, $1.57, $1.25
05/12/2020, $1.44, 3253347, $1.29, $1.48, $1.23
05/11/2020, $1.28, 721009, $1.31, $1.31, $1.22
