Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.55, 121881, $2.5, $2.8, $2.5
07/30/2020, $2.71, 30342, $2.56, $2.8, $2.56
07/29/2020, $2.69, 85617, $2.44, $2.76, $2.31
07/28/2020, $2.5, 123616, $2.78, $2.87, $2.4752
07/27/2020, $2.66, 300349, $2.36, $2.9456, $2.34
07/24/2020, $2.42, 22294, $2.5249, $2.5249, $2.35
07/23/2020, $2.56, 50230, $2.5629, $2.7239, $2.55
07/22/2020, $2.67, 20174, $2.545, $2.72, $2.5
07/21/2020, $2.69, 48984, $2.52, $2.78, $2.515
07/20/2020, $2.52, 30248, $2.47, $2.62, $2.42
07/17/2020, $2.45, 24118, $2.49, $2.55, $2.425
07/16/2020, $2.44, 9765, $2.41, $2.5527, $2.41
07/15/2020, $2.44, 21876, $2.4, $2.55, $2.34
07/14/2020, $2.44, 16251, $2.26, $2.44, $2.245
07/13/2020, $2.3, 35664, $2.37, $2.4095, $2.25
07/10/2020, $2.41, 68918, $2.38, $2.48, $2.28
07/09/2020, $2.38, 20329, $2.44, $2.44, $2.35
07/08/2020, $2.45, 51777, $2.61, $2.62, $2.36
07/07/2020, $2.65, 79046, $2.73, $2.8398, $2.58
07/06/2020, $2.72, 370861, $2.65, $3.29, $2.65
07/02/2020, $2.44, 118603, $2.69, $2.69, $2.31
07/01/2020, $2.59, 94952, $2.58, $2.61, $2.295
06/30/2020, $2.54, 111304, $2.5474, $2.74, $2.5349
06/29/2020, $2.5, 63562, $2.532, $2.59, $2.43
06/26/2020, $2.4, 159940, $2.6, $2.68, $2.37
06/25/2020, $2.53, 310603, $2.25, $2.9887, $2.25
06/24/2020, $2.26, 20676, $2.28, $2.3265, $2.15
06/23/2020, $2.271, 37572, $2.18, $2.3, $2.18
06/22/2020, $2.2, 65104, $2.39, $2.4, $2.17
06/19/2020, $2.35, 119379, $2.03, $2.52, $1.95
06/18/2020, $2.06, 47907, $2.18, $2.3, $2.0101
06/17/2020, $2.19, 71924, $2.35, $2.35, $1.9729
06/16/2020, $2.035, 28541, $1.95, $2.08, $1.8701
06/15/2020, $1.91, 51601, $1.97, $2.1, $1.9
06/12/2020, $1.94, 5839, $1.92, $2.04, $1.89
06/11/2020, $1.89, 15514, $1.92, $1.9738, $1.8
06/10/2020, $1.98, 58907, $1.99, $2.04, $1.7761
06/09/2020, $2.03, 26583, $2.08, $2.18, $1.9801
06/08/2020, $2.05, 73251, $2.09, $2.19, $1.96
06/05/2020, $1.99, 25791, $2.09, $2.09, $1.94
06/04/2020, $2.0199, 89633, $1.77, $2.08, $1.77
06/03/2020, $1.83, 89837, $1.66, $1.88, $1.63
06/02/2020, $1.65, 26643, $1.68, $1.73, $1.64
06/01/2020, $1.67, 57760, $1.8, $1.8, $1.65
05/29/2020, $1.73, 25928, $1.74, $1.74, $1.67
05/28/2020, $1.73, 62640, $1.764, $1.78, $1.72
05/27/2020, $1.7, 100500, $1.745, $1.779, $1.66
05/26/2020, $1.77, 23418, $1.8, $1.84, $1.72
05/22/2020, $1.78, 162349, $1.66, $1.82, $1.65
05/21/2020, $1.62, 17062, $1.61, $1.69, $1.61
05/20/2020, $1.64, 30624, $1.61, $1.7, $1.6
05/19/2020, $1.641, 70550, $1.6, $1.77, $1.6
05/18/2020, $1.6, 68521, $1.83, $1.93, $1.6
05/15/2020, $1.8099, 23076, $1.81, $1.9, $1.7606
05/14/2020, $1.85, 30328, $1.6817, $1.87, $1.6777
05/13/2020, $1.73, 105299, $1.805, $1.8212, $1.6118
05/12/2020, $1.81, 41696, $1.85, $1.9199, $1.7701
05/11/2020, $1.85, 58741, $1.88, $2, $1.85
