Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.442, 2260, $0.46, $0.46, $0.442
07/30/2020, $0.47, 34726, $0.485, $0.4999, $0.47
07/29/2020, $0.49, 18350, $0.49, $0.49, $0.49
07/28/2020, $0.49, 24980, $0.5174, $0.5199, $0.49
07/27/2020, $0.497, 40847, $0.5, $0.5002, $0.49
07/24/2020, $0.4802, 31624, $0.53, $0.54, $0.48
07/23/2020, $0.5302, 48389, $0.53, $0.6, $0.53
07/22/2020, $0.5327, 100264, $0.5966, $0.605, $0.53
07/21/2020, $0.5799, 38229, $0.59, $0.59, $0.57
07/20/2020, $0.57, 50525, $0.6, $0.61, $0.57
07/17/2020, $0.6, 15165, $0.6112, $0.6112, $0.6
07/16/2020, $0.6, 10750, $0.6, $0.6, $0.57
07/15/2020, $0.58, 31850, $0.6998, $0.6999, $0.58
07/14/2020, $0.6, 17953, $0.6, $0.68, $0.55
07/13/2020, $0.6, 113805, $0.6, $0.7, $0.54
07/10/2020, $0.5699, 87510, $0.55, $0.5869, $0.52
07/09/2020, $0.5999, 52499, $0.6, $0.6, $0.5266
07/08/2020, $0.55, 8660, $0.5101, $0.58, $0.51
07/07/2020, $0.5899, 5332, $0.5101, $0.599, $0.51
07/06/2020, $0.6, 17114, $0.6, $0.6, $0.55
07/02/2020, $0.6, 14316, $0.6, $0.64, $0.5845
07/01/2020, $0.5895, 325684, $0.55, $0.6, $0.49
06/30/2020, $0.5, 127730, $0.5, $0.56, $0.49
06/29/2020, $0.43, 65265, $0.45, $0.47, $0.39
06/26/2020, $0.4, 30901, $0.42, $0.42, $0.395
06/25/2020, $0.42, 39718, $0.403, $0.45, $0.4
06/24/2020, $0.41, 93502, $0.41, $0.49, $0.38
06/23/2020, $0.41, 206002, $0.4, $0.4999, $0.4
06/22/2020, $0.5, 136367, $0.55, $0.599, $0.48
06/19/2020, $0.5075, 63799, $0.51, $0.6, $0.5
06/18/2020, $0.47, 175654, $0.599, $0.6, $0.4433
06/17/2020, $0.4433, 342495, $0.44, $0.65, $0.4
06/16/2020, $0.3993, 21178, $0.3982, $0.4, $0.35
06/15/2020, $0.36, 88802, $0.3999, $0.3999, $0.32
06/12/2020, $0.4, 14812, $0.35, $0.4, $0.3
06/11/2020, $0.3999, 35050, $0.44, $0.462, $0.36
06/10/2020, $0.3799, 131461, $0.4, $0.44, $0.35
06/09/2020, $0.38, 37950, $0.39, $0.4, $0.36
06/08/2020, $0.32, 104063, $0.42, $0.44, $0.32
06/05/2020, $0.3801, 1500, $0.3801, $0.3801, $0.3801
06/04/2020, $0.375, 6600, $0.4253, $0.4253, $0.375
06/03/2020, $0.4253, 10085, $0.44, $0.44, $0.3501
06/02/2020, $0.38, 41877, $0.45, $0.45, $0.38
06/01/2020, $0.37, 63829, $0.4, $0.45, $0.28
05/29/2020, $0.4, 16343, $0.34, $0.44, $0.3247
05/28/2020, $0.2899, 31100, $0.3, $0.3, $0.288
05/27/2020, $0.3, 149308, $0.28, $0.3285, $0.28
05/26/2020, $0.2949, 28852, $0.27, $0.3, $0.27
05/22/2020, $0.26, 64820, $0.2501, $0.28, $0.2501
05/21/2020, $0.2816, 687051, $0.28, $0.3, $0.2775
05/20/2020, $0.22, 75600, $0.27, $0.29, $0.22
05/19/2020, $0.27, 5020, $0.27, $0.27, $0.27
05/18/2020, $0.28, 23810, $0.27, $0.2801, $0.27
05/15/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/14/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/13/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/12/2020, $0.3, 34999, $0.3, $0.3, $0.3
05/11/2020, $0.32, 265, $0.2707, $0.32, $0.2707
