Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.99, 149316, $2.02, $2.0499, $1.98
07/30/2020, $2.02, 163429, $1.93, $2.02, $1.88
07/29/2020, $1.94, 217992, $1.92, $1.9753, $1.8806
07/28/2020, $1.9, 142672, $1.91, $1.94, $1.88
07/27/2020, $1.94, 215383, $1.86, $1.99, $1.84
07/24/2020, $1.84, 278362, $1.92, $1.95, $1.8
07/23/2020, $1.95, 225949, $2.02, $2.03, $1.88
07/22/2020, $1.99, 227957, $2.02, $2.05, $1.951
07/21/2020, $2.03, 265818, $2.11, $2.12, $2
07/20/2020, $2.08, 205483, $2.1, $2.1081, $2.025
07/17/2020, $2.09, 160180, $2.02, $2.11, $2
07/16/2020, $2.04, 194702, $2.07, $2.08, $1.98
07/15/2020, $2.09, 322114, $2.11, $2.21, $2.0324
07/14/2020, $2.06, 170857, $2, $2.06, $1.94
07/13/2020, $2.01, 279986, $2.12, $2.16, $2
07/10/2020, $2.11, 186838, $2.14, $2.2, $2.06
07/09/2020, $2.2, 163664, $2.18, $2.23, $2.1
07/08/2020, $2.18, 190874, $2.18, $2.23, $2.14
07/07/2020, $2.18, 199341, $2.11, $2.265, $2.11
07/06/2020, $2.14, 254129, $2.15, $2.21, $2.05
07/02/2020, $2.13, 323615, $2.23, $2.3299, $2.12
07/01/2020, $2.21, 663743, $2.45, $2.49, $2.17
06/30/2020, $2.49, 499311, $2.67, $2.67, $2.45
06/29/2020, $2.7, 251369, $2.78, $2.925, $2.61
06/26/2020, $2.75, 2896503, $3.17, $3.17, $2.695
06/25/2020, $3.05, 972820, $2.79, $3.145, $2.69
06/24/2020, $2.77, 338814, $2.7, $2.79, $2.5301
06/23/2020, $2.75, 285890, $2.7, $2.79, $2.69
06/22/2020, $2.67, 255807, $2.61, $2.76, $2.54
06/19/2020, $2.61, 337895, $2.6, $2.682, $2.52
06/18/2020, $2.59, 244019, $2.51, $2.67, $2.51
06/17/2020, $2.58, 228137, $2.73, $2.83, $2.53
06/16/2020, $2.74, 183528, $2.87, $2.91, $2.6758
06/15/2020, $2.78, 364130, $2.58, $2.82, $2.47
06/12/2020, $2.58, 222904, $2.58, $2.63, $2.5
06/11/2020, $2.49, 393161, $2.69, $2.76, $2.46
06/10/2020, $2.78, 445847, $2.63, $2.92, $2.62
06/09/2020, $2.65, 417336, $2.7, $2.73, $2.49
06/08/2020, $2.73, 852341, $2.47, $2.8, $2.36
06/05/2020, $2.43, 287431, $2.47, $2.51, $2.38
06/04/2020, $2.43, 256033, $2.39, $2.5, $2.36
06/03/2020, $2.43, 499306, $2.52, $2.61, $2.29
06/02/2020, $2.48, 322571, $2.43, $2.5025, $2.41
06/01/2020, $2.42, 387898, $2.38, $2.5, $2.38
05/29/2020, $2.44, 458533, $2.45, $2.48, $2.34
05/28/2020, $2.45, 212753, $2.57, $2.6, $2.41
05/27/2020, $2.52, 335320, $2.42, $2.54, $2.32
05/26/2020, $2.42, 366296, $2.54, $2.58, $2.3826
05/22/2020, $2.45, 231145, $2.34, $2.53, $2.34
05/21/2020, $2.35, 184455, $2.43, $2.5, $2.34
05/20/2020, $2.43, 284549, $2.32, $2.5, $2.31
05/19/2020, $2.3, 276663, $2.36, $2.47, $2.23
05/18/2020, $2.39, 361910, $2.43, $2.475, $2.325
05/15/2020, $2.31, 206176, $2.26, $2.37, $2.21
05/14/2020, $2.25, 242534, $2.27, $2.31, $2.2
05/13/2020, $2.35, 424917, $2.49, $2.51, $2.25
05/12/2020, $2.46, 413881, $2.54, $2.63, $2.45
05/11/2020, $2.5, 442770, $2.36, $2.64, $2.35
