Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.7301, N/A, $3.7301, $3.7301, $3.7301
07/30/2020, $3.7301, 809, $3.7327, $3.74, $3.7301
07/29/2020, $3.8, 800, $3.81, $3.81, $3.8
07/28/2020, $3.77, 1242, $3.7613, $3.8, $3.7613
07/27/2020, $3.74, 2849, $3.78, $3.85, $3.74
07/24/2020, $3.78, 392, $3.835, $3.835, $3.78
07/23/2020, $3.73, 6793, $3.75, $3.835, $3.73
07/22/2020, $3.7501, 3445, $3.82, $3.82, $3.7501
07/21/2020, $3.78, 5722, $3.75, $3.8, $3.75
07/20/2020, $3.78, 5803, $3.77, $3.8, $3.77
07/17/2020, $3.83, 2830, $3.84, $3.84, $3.78
07/16/2020, $3.81, 3935, $3.76, $3.83, $3.76
07/15/2020, $3.77, 864, $3.8128, $3.8128, $3.77
07/14/2020, $3.8276, 1963, $3.76, $3.8276, $3.76
07/13/2020, $3.76, 4693, $3.81, $3.81, $3.76
07/10/2020, $3.81, 5040, $3.8, $3.93, $3.8
07/09/2020, $3.77, 10651, $3.8, $3.81, $3.75
07/08/2020, $3.86, 35604, $3.7, $4.22, $3.7
07/07/2020, $3.7, 1247, $3.5669, $3.7, $3.5669
07/06/2020, $3.4, 4785, $3.63, $3.63, $3.4
07/02/2020, $3.7288, 840, $3.8, $3.8, $3.7288
07/01/2020, $3.72, 3886, $3.8, $3.8, $3.7
06/30/2020, $3.96, 188, $3.96, $3.96, $3.96
06/29/2020, $3.9, 2922, $3.87, $3.9, $3.73
06/26/2020, $3.9, 3541, $3.8, $3.9, $3.78
06/25/2020, $3.94, 429, $3.7501, $3.94, $3.7501
06/24/2020, $3.793, 2553, $3.8, $3.8177, $3.793
06/23/2020, $3.855, 1905, $3.9, $3.9, $3.81
06/22/2020, $3.8, 1083, $3.92, $3.99, $3.8
06/19/2020, $3.99, 761, $3.91, $3.99, $3.83
06/18/2020, $3.9805, 4575, $3.81, $4, $3.81
06/17/2020, $3.85, 984, $3.865, $3.95, $3.85
06/16/2020, $3.69, 1245, $3.94, $3.94, $3.6625
06/15/2020, $3.7816, 3886, $3.71, $3.92, $3.7
06/12/2020, $3.9434, 2535, $3.98, $3.99, $3.89
06/11/2020, $3.92, 4667, $3.9, $3.93, $3.85
06/10/2020, $3.9, 1037, $3.9, $3.91, $3.8826
06/09/2020, $3.97, 1645, $3.96, $3.97, $3.72
06/08/2020, $3.97, 6930, $3.77, $3.99, $3.7
06/05/2020, $3.8323, 4917, $3.8229, $3.85, $3.7
06/04/2020, $3.705, 4562, $3.6, $3.91, $3.5
06/03/2020, $3.69, N/A, $3.69, $3.69, $3.69
06/02/2020, $3.69, 665, $3.62, $3.69, $3.62
06/01/2020, $3.72, 2496, $3.77, $3.77, $3.6499
05/29/2020, $3.76, 1426, $3.7391, $3.76, $3.7391
05/28/2020, $3.669, 1077, $3.61, $3.669, $3.6
05/27/2020, $3.58, 1650, $3.63, $3.63, $3.58
05/26/2020, $3.6789, 1171, $3.64, $3.68, $3.64
05/22/2020, $3.65, 2181, $3.5701, $3.66, $3.5701
05/21/2020, $3.6799, 2648, $3.685, $3.685, $3.57
05/20/2020, $3.7621, 176, $3.7621, $3.7621, $3.7621
05/19/2020, $3.73, 624, $3.59, $3.73, $3.59
05/18/2020, $3.65, 929, $3.702, $3.775, $3.65
05/15/2020, $3.89, 1151, $3.6725, $3.93, $3.6725
05/14/2020, $3.78, 3107, $3.77, $3.78, $3.77
05/13/2020, $3.78, 1681, $3.96, $3.96, $3.78
05/12/2020, $3.78, 210, $3.78, $3.78, $3.78
05/11/2020, $3.88, 1362, $3.835, $3.88, $3.8
